ID,Japanese,English,Chinese,EnglishCensored,Korean,German
301,,...,………,,………,...
302,,...,………,,………,...
303,,............,……………,,……………,... ... ...
310,,Nasconditi... in fretta!,躲起來……快點！,,숨어… 빨리!,Schnell ... verstecken!
401,,"Aaah! Aaah!?
Che, che, che cosa sei!?","呀啊啊！
你們想幹嘛啦？",,"꺄아 꺄아!?
뭐야 뭐야, 너희들!?","Aaah! Aaah?!
W-Was, was bist du?!"
450,,"Sì, sono io, Jimiken!
Ya-------hu--------!!!","Yes～～I'm Jimmy Ken！
呀～～～～～呼～～～～～～～～～～！",,"이예~~~~스, 아이엠, 지미 켄!
이야아~~~~~~~호우~~~~~~!!","Jaha! Ich bin Jimiken!
Juuuhuuu!!!"
501,,Mostrati! Vieni fuori!,是誰！？不要鬼鬼祟祟，給我出來！！,,누구냐!? 숨지말고 이쪽으로 나와!!,Zeig dich! Komm raus!
502,,"Oh, cielo, ho catturato la tua attenzione!",哎呀，被發現了嗎？,,"어라, 들켜버리고 말았네요!","Meine Güte, jetzt habe ich deine Aufmerksamkeit!"
601,,Trovaci...,“來找記憶（我們）吧――”,,"""우리들(기억)을, 찾아줘――""",Finde uns ...
701,,"Ostinatamente e con tutte le tue forze, mostra
resistenza come duro ferro nero.","“專心致志，堅忍不拔——
　　　貫徹到底，要有鋼鐵般堅定的耐力。”",,"""그저 한결같이, 꾸준하게―
　　　철두철미, 견고한 강철같은 인내력으로 맞서라""","Immer hartnäckig und unbeirrbar bleiben,
beständig wie Eisen."
702,,Mio padre lo diceva sempre.,這是我父親常說的話。,,―아버지의 말이다.,Das hat mein Vater immer gesagt.
801,,"Efemerrrrralll ronzziiiiooo cooolibrììììì
Tuuuu tocccchiii il miiiio cuooore!","苦戀的～蜂鳥～♪
震撼～我的心～♪",,"애달프으은~ 허밍버어어드으으으~♪
나아아의~ 마으으음 떨리게 하네에에~♪","Kurzleeebiger Kooolibriii!
Duuu berüüührst mein Herz wie nieee!"
802,,............,……………,,............,... ... ...
901,,Benvenuto nel giardino digitale di EDEN!,歡迎來到電腦空間的樂園「EDEN」,,"어서오세요, 전뇌공간의 낙원「EDEN」에",Willkommen im digitalen Garten EDEN!
902,,"EDEN è un mondo virtuale (metaverso) che fornisce
diversi servizi rivoluzionari in una nuova generazione
di contenuti digitali.","EDEN是在虛擬世界（虛擬空間）中
提供各式各樣先進服務的新世代型數位平台",,"EDEN은 가상세계에서 혁신적인 서비스들을
제공하는 신세대형 콘텐츠입니다.","EDEN ist eine virtuelle Welt (Metaversum), die mit
einer neuen Generation digitaler Inhalte
ein revolutionäres Angebot bereithält."
903,,"Intrattenimento abbondante, inclusi shopping e
film. Tutto, dalle transazioni aziendali all'
amministrazione politica...","從購物到看電影等各項娛樂活動
到企業間的商務交易與行政機關的手續－－",,"쇼핑부터 영화 등 각종 엔터테인먼트
기업 간 상거래부터 행정기관 절차까지―","Faszinierende Unterhaltung samt Shopping und
Filmen. Alles von geschäftlichen Transaktionen bis
hin zu Regierungsaufgaben ..."
904,,"I bisogni di tutti sono soddisfatti. Sarò più che
felice di presentarti alcuni dei servizi disponibili
che faranno parte della tua vita quotidiana.","今日我們也誠摯地針對各位的需求
提供日常生活中的各項服務",,"여러분의 요구에 부응하고 여러분의 생활의 일부가 될 서비스를
오늘도 마음을 담아 안내하겠습니다.","Alle Bedürfnisse werden erfüllt. Ich möchte dir
gern einige der Angebote zeigen, die Teil deines
Alltags sein werden."
905,,"Il futuro della rete non è dietro uno schermo.
È realtà virtuale intuitiva attraverso l'uso di
avatar.","不同於過往的網路－－畫面上的交流
而是藉由化身進行感官上的虛擬實境體驗－－",,"기존의 인터넷―화면상으로만 이루어지는 왕래가 
아닌 아바타를 통한 직접적인 가상 현실 체험과―","Die Zukunft des Internets liegt nicht hinter einem
Bildschirm, sondern es ist eine intuitive
virtuelle Realität mit Avataren."
906,,"Spero vivamente che ti piaccia usare i nostri servizi
d'avanguardia nel Cyberspazio.",請盡情地享受最尖端的電腦空間服務,,최첨단의 전뇌공간 서비스를 마음껏 즐겨주세요.,"Ich hoffe, dir gefällt unser innovativer
Cyberspace-Service."
907,,"EDEN è una rete umana che connette il mondo al
futuro, gestita dalla Kamishiro Enterprises.","EDEN是連繫全世界、開創未來的人類網路，
由「神代企業」所經營。",,"EDEN은 세계를 잇고 미래를 엮는 휴먼 네트워크
「카미시로 엔터프라이즈」가 운영하고 있습니다.","EDEN ist ein von Menschenhand geschaffenes
Netzwerk der Kamishiro Enterprises, das die Welt
mit der Zukunft verbindet."
1001,,"Sei proprio un tipo curioso, non è vero?",妳的喜好還真是特殊呀,,……너는 별난 녀석이구나.,"Du bist echt neugierig, was?"
1002,,Bene. Sembra che voglia lottare con te.,看來它打算和你一起戰鬥。,,아무래도 너도 같이 싸울 생각인가보군.,"Nun, es scheint mit dir kämpfen zu wollen."
1101,,...,………,,………,...
1201,,Ho perso anche il loro segnale...,連她們的反應也消失了啊……,,그들의 반응까지 사라졌나…,Jetzt ist das Signal auch abgerissen ...
1202,,Un lungo vuoto sta finalmente per finire.,是時候向漫長的空白時間告別了。,,…기나긴 공백에 끝을 고할 때가 왔다.,Eine lange Leere geht endlich zu Ende.
1401,,Gahahahaha!,哈哈哈！,,크하하핫!,Gahahaha!
1402,,"Quindi, stupidi umani! 
Pagherete per i vostri peccati!",贖罪吧！　愚蠢的人類們……！,,"자아, 속죄해라! 어리석은 인간 놈들…!","Also dann, törichte Menschen! Ihr werdet für eure
Sünden bezahlen!"
1403,,Eh?,咦？,,…응?,Hä?
1404,,M-m-ma cosa!?,什……麼！,,뭐…지!?,W-W-Was?!
1501,,!,…！！！,,…!!!,!
1601,,!?,！,,!?,?!
1602,,"Grazie per avermi risposto...
Sono contento di averti incontrato.","謝謝你回應了我的聲音……
能夠見到你真是太好了。",,"내 목소리에 답해줘서 고마워…
너와 만나서 정말 다행이야","Danke für deine Antwort ...
Ich bin froh, dass wir uns begegnet sind."
1603,,"Dite a Yuuko, Nokia e Arata.
Io sto...bene...","希望你能幫我傳達給悠子、諾奇雅和新，
告訴他們……我沒事。",,"…유코나 노키아, 아라타에게 전해줘
나는… 괜찮다고","Sag es Yuuko, Nokia und Arata. Mir ...
geht es gut."
1604,,Quindi... Cercami...,所以，不用找我－－,,"그러니까, 나를, 찾…―",Also ... Halte Ausschau nach mir ...
1701,,Dove sono andati tutti?,各位……你們在哪？,,다들… 어디?,Wo sind sie alle hin?
1702,,...?,…？,,…?,...?
1703,,Ah!,啊！！,,앗…!!,Ah!
1704,,"Ma dai, non ci credo!",唔唔唔唔唔唔唔唔－－,,끄으으으으응――,Das ist wohl ein Scherz!
1705,,No! Sei in ritardo! Taaanto in ritardo!,真是的！　好慢、好慢，太慢～～～了！,,"정말! 느려느려, 느으으려~~~!",Nein! Du bist zu spät! Viel zu spät!
1801,,"Hai un aspetto interessante...
Sono molto curiosa.",你的模樣還真有趣……真令人感興趣。,,"재미있는 모습을 하고 있구나, 너. …정말 흥미롭군","Du siehst interessant aus ... Ich bin sehr
neugierig."
1802,,Gestiscilo! Prima che peggiori!,趁事情還沒變得更麻煩以前，快上車。,,차에 타― 번거로워지기 전에,Kümmre dich darum! Bevor es schlimmer wird!
1803,,"Aaaahhhh! Ferma quell'auto!
Ti arresterò! Aspetta!? Argh!?","啊啊啊啊啊－－！　喂，那邊那台車！
你再不停下來的話我就要逮捕你了啊－－！",,"아아아아앙!? 어이 기다려 거기 자동차!
멈추지 않으면 체포한다, 이 자식들아아아아!?","Aaahhh! Halt das Auto an! Ich verhafte dich!
Moment mal?! Argh?!"
1901,,Haaaaaaaaa!!!,喝啊啊啊啊啊啊－－！,,하아아아아아앗―――――――!,Haaaaaaaaa!!!
1902,,WarGreymon!,戰鬥暴龍獸！,,워그레이몬!,WarGreymon!
1903,,MetalGarurumon,鋼鐵加魯魯獸,,메탈가루몬,MetalGarurumon
1904,,Digifusione!,合體！,,합체―!,Digifusion!
2001,,"""Scegli il futuro...""
Crederò in quella possibilità incerta!","「選擇未來」……
我相信著那不明確的可能性！",,"「미래를 선택한다」…
그런 불확실한 가능성을, 나는 믿겠다!","„Die Zukunft wählen ...“ Ich werde an diese vage
Möglichkeit glauben!"
2002,,Whooooaaaahhh!,哦哦哦哦－－！,,하아아아아앗―――――――!,Boooaaahhh!
2101,,"Non tutti i misteri in questo mondo 
hanno bisogno di essere risolti.",這世界上有很多謎是不需要解開的,,"해석할 필요가 없는 수수께끼도, 이 세계에는 잔뜩 있어","Nicht alle Rätsel in dieser Welt müssen gelöst
werden."
2102,,Nakano Broadway riunisce molte cose...,中野這個地方……,,"여기는, 이 나카노는…",Nakano-Broadway verbindet viele Dinge ...
2103,,Il mondo degli spiriti e il mondo dei vivi...,黃泉與現世,,유령과 현세,Die Geisterwelt und die Welt der Lebenden ...
2104,,Il normale e il surreale...,常規與怪異,,상궤와 괴이,Das Normale und das Surreale ...
2105,,"E ora, il fisico e il digitale...",現實與數碼的模糊界線,,현실과 디지털이 황혼을 맞이할 때,Und nun das Physische und das Digitale ...
2201,,"Sbrigati! Vieni da questa parte!
Più veloce... più veloce!","快一點！來這邊喔！
快一點……快一點……",,"빨리! 이쪽으로 와!
빨리…빨리…","Schnell! Hierher!
Schneller ... schneller!"
2202,,Da questa parte... da questa parte...,來這邊……啦……來這邊……,,…이쪽으로 와…이쪽... 으로...,Hier lang ... hier ...
2301,,"Allora, Mastemon, mostrami questo potere.",來吧，「混沌神魔獸」，讓我見識你的力量。,,"자아,「마스테몬」. 너의 힘을 보여봐","Also dann, Mastemon, zeig mir diese Macht."
2401,,"Beh, che ne dici?
Se lavori per me, un quarto del mondo...","話說回來，你覺得如何呢？
如果你願意當我的手下，我可以把世界的四分之一－－",,"그런데 어떠냐?
혹시 내 부하가 되겠다면 세계의 사분의 일을―","Nun, wie sieht’s aus? Wenn du für mich arbeitest,
wird ein Viertel der Welt–"
2402,,Ooh! Questa è la mia occasione!,嘿嘿……有機可趁！！,,번쩍… 빈틈 발견―!!,Oh! Das ist meine Chance!
2403,,Prendi questo! Eh!? Cosa!?!!,分給你……唔！,,줘도 좋……우어억!?,Nimm dies! Hä?! Was?!
2501,,"Nghhhh!
Il mio potere...? Il mio potere!!!","嗚哇～～～！
我的力量……！？我的力量～～～！",,"크오오~~~!!
나의 힘이…!? 나의 힘이이~~!","Hargh!
Meine Macht ...?! Meine Macht!!!"
2601,,Ngh... Raaaawwwwrrr!,嗚……啊啊啊啊啊啊啊啊啊啊！,,큭…캬아아아아앗!,Hnngh ... Raaar!
2701,,Non ti arrendi facilmente!,煩人的傢伙……！,,…끈질긴 놈이네!,Du lässt nicht locker!
2702,,Non preoccuparti per me!,就說別管我了！,,나한테 간섭하지 마―!,Mach dir um mich keine Sorgen!
2801,,Dalle un taglio!,隨他們高興吧。,,좋을대로 하게 놔둬,Lass es gut sein!
2901,,Heh heh... Ci vediamo dopo.,呵呵呵，那麼……我先失陪了。,,"크흐흐, 그럼… 먼저 실례",Hehe ... Bis später.
3001,,"Ispirati dal discorso di Yuugo, gli hacker iniziarono a
dirigersi verso Under Zero, la loro terra sacra.","因為YUGO的演說，
駭客們紛紛前往他們的“聖地”——「Under Zero」。",,"유고의 연설로 인해 해커들은
그들의 ""성지""로 알려진「언더 제로」를 목표하기 시작했다…","Die Hacker waren von Yuugos Rede inspiriert und
machten sich auf nach Unter Null, in ihr gelobtes
Land."
3002,,Riavvolgiamo un po' le cose.,稍微將時間往前倒轉。,,"―이때로부터, 시간을 약간 거슬러 올라간다",Drehen wir die Dinge ein wenig zurück.
3101,,Dovresti smettere ora finché puoi.,……你最好住手。,,…그만두는 편이 좋아,"Du solltest aufhören, solange du noch kannst."
3102,,"Finalmente posso ricostruire il mondo...
Posso finalmente eliminare tutto ciò che è storto,
brutto o triste!","如此……如此一來，終於能重新構築世界……
可以消除扭曲、醜陋、令人悲傷的東西了！",,"이걸로…이걸로 간신히 세계를 재구축할 수 있어…
일그러진 것이나 추한 것, 슬픈 것을 제거할 수 있어…!","Endlich kann ich die Welt neu erschaffen ...
Alles beseitigen, was verdorben, hässlich oder
traurig ist!"
3103,,Cosa hai intenzione di fare al riguardo?,然後呢，有關那個，你要怎麼做？,,"그래서, 어쩌지? 저거!",Was wirst du dagegen tun?
3104,,"Il giudizio è stato emesso. Ragazzi 
umani, piegatevi al mio volere!",審判已經成立！人類的孩子們，遵從吾等的意志！,,"심판은 이루어졌다! 인간의 아이들이여, 자신의 의지에 따라라!","Das Urteil ist gefällt. Menschenkinder, beugt euch
meinem Willen."
3201,,È passata una settimana.,在那之後，經過了一個禮拜。,,―그로부터 일주일이 지났습니다,Eine Woche ist vergangen.
3202,,"Per Tokyo, è come se non fosse successo niente.
Oggi, come sempre, è piena di gente.","東京就像什麼事情都沒發生過一樣——
今天路上也是滿滿的人群。",,"도쿄는 마치 아무 일도 없었던 것처럼―
오늘도 사람, 사람, 사람으로 넘쳐나고 있습니다","Für Tokio ist es, als wäre nichts gewesen.
Auch heute wimmelt es wie immer von Menschen."
3203,,"È proprio così, però?
Forse non era davvero niente...","該這樣說嗎？
其實，或許什麼事情都沒發生過。",,"그렇게 말하지만
정말로 아무것도, 없었던 걸지도 모릅니다",Ist es denn so? Vielleicht war wirklich nichts ...
3204,,"Potrebbero essere solo i nostri ricordi...
Per tutti gli altri, sarebbe come se non fosse successo niente.","只屬於我們的記憶——
我想那對大家而言，等於是不存在的。",,"우리들만의 기억―
그것은 모두에게 있어서 없는 것이나 다름없다고 생각합니다","Vielleicht sind es nur unsere Erinnerungen.
Für alle anderen ist alles wie immer."
3301,,"Come dice Arata, l'autoproclamato non-geek:
""Le asce divise del tempo si sono fuse ancora una volta.""","根據“自稱非宅男”的新所說——
似乎是「分歧的時間軸會合在一起了」。",,"자칭 비 오타쿠 아라타 군이 말하기를―
""분기했던 시간축이 합류했다"" 고 합니다","Wie der selbsterklärte Nicht-Geek Arata sagt:
„Die verzweigten Zeitachsen sind wieder
zusammengekommen.“"
3302,,"Ha spiegato un sacco di cose, ma mi 
sono addormentato a metà... quindi non ho capito niente.","雖然他向我說明了很多，但我有一半時間都是邊聽邊睡……
所以老實說，我也不太清楚。",,"여러 가지 설명을 해 줬지만 반쯤 자면서 들었기 때문에…
솔직히 말해 잘 모르겠습니다","Er hat viel erklärt, aber ich habe die Hälfte
verschlafen ... Ich verstehe also kein Wort."
3303,,Ma il risultato è...,但總而言之就是……,,결국 요약하면…,Andererseits ...
3304,,"Siamo cambiati così tanto in otto anni.
Quasi come se non fosse mai successo...","我們度過的八年，已經完全改變了——
過去的種種幾乎都不曾發生。",,"우리들이 보낸 8년간이 말 그대로 바뀌어버렸다―
그 대부분이 없었던 일이 되어버린 것입니다","Wir haben uns in den acht Jahren so verändert.
Beinahe, als wäre es nie passiert ..."
3305,,"Per noi, questa Tokyo è una Tokyo completamente nuova.",這個東京對我們而言，是“新的東京”。,,"이 도쿄는 우리들에게 있어 ""새로운 도쿄"" 입니다",Für uns ist dies ein ganz neues Tokio.
3401,,"Ad esempio, Satoru Kamishiro. Il padre di Yuuko.",比方說「神代悟留」……小悠子的父親。,,"예를들면,「카미시로 사토루」… 유콧치의 아버지",Satoru Kamishiro zum Beispiel. Yuukos Vater.
3402,,"È solo un uomo qualunque.
Mi ha sorpreso molto.","居然若無其事在這裡。
真的是令人嚇了一跳。",,"놀랍게도 평범하게 살아있습니다.
이 점엔 정말로 깜짝 놀랐습니다","Er ist ein ganz normaler Mann.
Das hat mich echt überrascht."
3403,,"Come presidente di Kamishiro Enterprises, è
lì fuori a gestire EDEN e altre operazioni.","他以神代企業社長的身分，
幹勁十足地經營著EDEN。",,"카미시로 엔터프라이즈의 사장으로
열심히 EDEN을 운영하고 있습니다","Als Vorstandschef der Kamishiro Enterprises
betreibt er EDEN und alles Mögliche andere."
3404,,"Yuuko e Yuugo potrebbero essere 
ancora confusi ma...",雖然小悠子還很不知所措……,,유콧치는 아직 당황하고 있습니다만…,"Yuuko und Yuugo sind vielleicht noch verwirrt,
aber ..."
