ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Aumenta ATK del 15%.,ATK提升15%。,,공격력이 15% 상승한다.,Erhöht ANG um 15 %.
2,,Aumenta la DEF del 15%.,DEF提升15%。,,방어력이 15% 상승한다.,Erhöht VER um 15 %.
3,,Aumenta INT del 15%.,INT提升15%。,,지력이 15% 상승한다.,Erhöht INT um 15 %.
4,,Aumenta la SPD del 15%.,SPD提升15%。,,민첩이 15% 상승한다.,Erhöht GES um 15 %.
5,,Aumenta ACU del 15%.,ACU提升15%。,,명중률이 15% 상승한다.,Erhöht GEN um 15 %.
6,,Aumenta EVA del 7%.,EVA提升15%。,,회피율이 15% 상승한다.,Erhöht AWN um 7 %.
7,,Aumenta CRT del 15%.,CRT提升15%。,,크리티컬 발생률이 15% 상승한다.,Erhöht KRT um 15 %.
8,,"Aumenta i danni delle abilità Neutrali del 15%.",無屬性技能造成的傷害增加15%。,,"무속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Neutralfertigkeiten
um 15 %."
9,,"Aumenta i danni delle tecniche di Fuoco del 15%.",火屬性技能造成的傷害增加15%。,,"불속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Feuerfertigkeiten
um 15 %."
10,,"Aumenta il danno delle tecniche Acqua del 15%.",水屬性技能造成的傷害增加15%。,,"물속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Wasserfertigkeiten
um 15 %."
11,,"Aumenta il danno delle abilità di tipo Erba del
15%.",木屬性技能造成的傷害增加15%。,,"풀속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Pflanzenfertigkeiten
um 15 %."
12,,"Aumenta i danni delle abilità di Elettricità del 15%.",雷屬性技能造成的傷害增加15%。,,"전기속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Elektrofertigkeiten
um 15 %."
13,,"Aumenta i danni delle abilità Terra del 15%.",土屬性技能造成的傷害增加15%。,,"땅속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Erdfertigkeiten
um 15 %."
14,,"Aumenta i danni delle abilità Vento del 15%.",風屬性技能造成的傷害增加15%。,,"바람속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Windfertigkeiten
um 15 %."
15,,"Aumenta i danni delle abilità di Luce del 15%.",光屬性技能造成的傷害增加15%。,,"빛속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Lichtfertigkeiten
um 15 %."
16,,"Aumenta i danni delle abilità Oscure del 15%.",闇屬性技能造成的傷害增加15%。,,"어둠속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Dunkelfertigkeiten
um 15 %."
17,,Previene l'avvelenamento.,不會陷入劇毒狀態,,맹독에 걸리지 않는다.,Verhindert Vergiftung.
18,,Previene la confusione.,不會陷入混亂狀態,,혼란에 걸리지 않는다.,Verhindert Verwirrung.
19,,Previene la paralisi.,不會陷入麻痺狀態,,마비에 걸리지 않는다.,Verhindert Lähmung.
20,,Impedisce il sonno.,不會陷入睡眠狀態,,수면에 걸리지 않는다.,Verhindert Schlaf.
