ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Battaglia: Statistiche e Cronologia,【戰鬥】狀態及時限條,,【배틀】스테이터스와 타임라인,Kampf: Werte und Zeitleiste
2,,Battaglia: Comandi di Battaglia,【戰鬥】戰鬥指令,,【배틀】배틀 중의 커맨드,Kampf: Kampfbefehle
3,,Battaglia: Scanner Digimon,【戰鬥】掃描數碼寶貝,,【배틀】디지몬 스캐너,Kampf: Digimon-Scanner
4,,Battaglia: Tipi e Attributi,【戰鬥】種族及屬性,,【배틀】종족과 속성,Kampf: Typen und Attribute
5,,Battaglia: Status Anomali,【戰鬥】異常狀態的類型,,【배틀】상태이상의 종류,Kampf: Statusleiden
6,,Battaglia: Combo Incrociate e CAM,【戰鬥】交錯連擊和友情,,【배틀】크로스 콤보와 우정,Kampf: Kreuzkombos und KAM
7,,Battaglia: Personaggi Ospiti,【戰鬥】好友角色,,【배틀】게스트 캐릭터,Kampf: Gast-Figuren
8,,Impostazione Abilità,技能設定,,스킬 세팅,Fertigkeiten einstellen
9,,Abilità di supporto,輔助技能,,서포트 스킬,Unterstützungsfertigkeiten
11,,DigiLab,數碼實驗室,,디지랩,DigiLab
12,,Incontri con Digimon,與野生的數碼寶貝遭遇,,디지몬과의 조우,Begegnungen mit Digimon
13,,DigiBanca: Trasferimento Digimon,【數碼銀行】移動數碼寶貝,,【디지뱅크】디지몬 이동,Digibank: Digimon verschieben
14,,DigiBanca: Digievoluzione e De-Digievoluzione,【數碼銀行】進化與退化,,【디지뱅크】진화와 퇴화,Digibank: Digitation und De-Digitation
15,,DigiBanca: Caricamento Digimon,【數碼銀行】吸收數碼寶貝,,【디지뱅크】디지몬 로드,Digibank: Digimon laden
16,,DigiBanca: DigiConversione,【數碼銀行】孵化數碼寶貝,,【디지뱅크】디지컨버트,Digibank: Digi-Umwandlung
17,,DigiBanca: Ritorno ai Dati,【數碼銀行】回復為資料,,【디지뱅크】데이터로 돌린다,Digibank: Zu Daten umwandeln
18,,DigiFarm: Informazioni sulle DigiFarm,【數碼農場】什麼是數碼農場,,【디지팜】디지팜이란,Digifarm: Infos zu Digifarmen
19,,"DigiFarm: Allena, Sviluppa, Indaga",【數碼農場】下達指令（特訓、開發、調查）,,【디지팜】지시하기(특훈/개발/조사),"Digifarm: Training, Entwick., Ermitteln"
20,,DigiFarm: Merci della Farm,【數碼農場】農場道具,,【디지팜】팜 굿즈,Digifarm: Farmprodukte
21,,DigiFarm: Espansione Isola,【數碼農場】擴張島嶼,,【디지팜】섬의 확장,Digifarm: Inselerweiterung
22,,DigiFarm: Cambiare Leader,【數碼農場】變更隊長,,【디지팜】리더 변경,Digifarm: Anführer ändern
23,,Digiline,數碼連線,,디지라인,Digiline
24,,Medaglie Digimon,數碼寶貝獎牌,,디지몬 메달,Digimon-Medaillen
25,,Dungeon Specchio,鏡像迷宮,,미러 던전,Spiegel-Dungeons
26,,Punti di Accesso,登入地點,,액세스 포인트에 대하여,Zugangspunkte
27,,Bacheca (Casi),白板（委託）,,화이트 보드(의뢰),Schwarzes Brett (Fälle)
28,,Parole chiave,關鍵字,,키워드에 대하여,Stichwörter
29,,Salto di connessione,登入跳躍,,커넥트 점프,Verbindungssprung
30,,Muoversi in EDEN,在EDEN中移動,,EDEN 내의 이동,Fortbewegung in EDEN
32,,Salvataggio,保存,,저장에 대하여,Speichern
33,,Abilità di Hacking,駭客技能,,해킹 스킬,Hacking
34,,Abilità Hacker: Crack Firewall,【駭客技能】「Wall Crack」,,【해킹 스킬】「월 크랙」,Hacking: Mauerspalt
35,,Abilità Hacker: Furtività,【駭客技能】「Stealth Hide」,,【해킹 스킬】「스텔스 하이드」,Hacking: Tarnkappe
36,,Abilità Hacker: Scansione Codice,【駭客技能】「Code Scan」,,【해킹 스킬】「코드 스캔」,Hacking: Code-Scan
37,,Abilità Hacker: Copia e Incolla,【駭客技能】「Copy and Paste」,,【해킹 스킬】「카피 앤 페이스트」,Hacking: Kopieren und einfügen
41,,Guida Digimon,數碼寶貝圖鑑,,디지몬 도감,Digiführer
42,,Registrazione nella Guida Digimon,登錄到圖鑑,,도감 등록,Registrierung im Digiführer
43,,DigiFarm: Contatto con i Digimon,【數碼農場】與數碼寶貝接觸,,【디지팜】디지몬과의 접촉,Digifarm: Digimon-Affinität
44,,Rete Digitale,數碼網路世界,,디지털 네트워크,Digitales Netzwerk
46,,Rete: Impostazioni giocatore,【網路】玩家設定,,【네트워크】플레이어 설정,Netzwerk: Spielereinstellungen
47,,Rete: Battle Box,【網路】戰鬥盒,,【네트워크】배틀 박스,Netzwerk: Kampfbox
48,,Rete: Battaglia Personalizzata,【網路】自由規則戰鬥,,【네트워크】프리 룰 배틀,Netzwerk: Benutzerdefinierter Kampf
49,,Rete: Battaglia Classificata,【網路】排名戰,,【네트워크】랭킹 배틀,Netzwerk: Rangkampf
50,,Rete: Lotta Evento,【網路】活動戰鬥,,【네트워크】이벤트 배틀,Netzwerk: Eventkampf
51,,Rete: Negozio di Monete,【網路】硬幣商店,,【네트워크】코인숍,Netzwerk: Münzladen
52,,Cyber Sleuth e Hacker's Memory,保存資料共用,,저장 데이터 공유,Cyber Sleuth und Hacker's Memory
53,,Menu PC,PC選單,,PC메뉴,PC-Menü
54,,BBS,BBS,,BBS,ATL
55,,DigiMarket,數碼市場,,디지마켓,DigiMarkt
56,,Accessori Digimon,數碼寶貝的裝飾品,,디지몬의 액세서리,Digimon-Accessoires
57,,Dominio: Regole di base,【鎮壓】回合與移動,,【도미네이션】기본,Dominanz: Grundregeln
58,,Dominazione: Controllo dello Spazio,【鎮壓】格間的壓制,,【도미네이션】칸 제압,Dominanz: Kontrolle über Felder
59,,Dominio: Battaglie,【鎮壓】與敵方駭客之間的戰鬥,,【도미네이션】배틀,Dominanz: Kämpfe
60,,Emblemi Hacker,駭客徽章,,해커 엠블럼,Hacking-Embleme
61,,Hacker's Memory,駭客追憶,,해커스 메모리,Hacker's Memory
