ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Accedere al Mondo Digitale?,您要登入至電腦世界嗎？,,전뇌세계에 접속하겠습니까?,Die Digitale Welt betreten?
2,,Disconnettersi?,您要登出嗎？,,로그아웃하겠습니까?,Ausloggen?
5,,Sei sicuro di voler effettuare il Salto di Connessione?,您要登入跳躍嗎？,,커넥트 점프를 하겠습니까?,Möchtest du wirklich einen Verbindungssprung durchführen?
6,,Disconnettersi dall'ospedale?,您要登出至醫院嗎？,,병원으로 로그아웃하겠습니까?,Aus dem Krankenhaus ausloggen?
7,,Hai dei rapporti sui casi da compilare. Vuoi farlo ora?,有可以報告的委託，您要報告嗎？,,보고 가능한 의뢰가 있습니다. 보고하겠습니까?,Einige Fallberichte sind offen. Jetzt erledigen?
8,,Accettare questo caso?,您要接受這份委託嗎？,,이 의뢰를 수락하겠습니까?,Diesen Fall annehmen?
9,,Rimandare questo caso?,您要中止這份委託嗎？,,이 의뢰를 중단하겠습니까?,Diesen Fall verschieben?
10,,Da che parte andrai?,您要前往什麼地點？,,어디로 가겠습니까?,Welchen Weg wählst du?
11,,Andare al DigiLab?,您要前往數碼實驗室嗎？,,디지랩에 가겠습니까?,Zum DigiLab gehen?
12,,Salto di Connessione sul cellulare dello staff?,您要登入跳躍至職員的手機嗎？,,사원의 핸드폰으로 커넥트 점프 하겠습니까?,Verbindungssprung in das Mitarbeiterhandy?
13,,Salto di Connessione sul sito dell'Associazione di Boxe?,您要登入跳躍至拳擊協會的網站嗎？,,복싱협회 사이트로 커넥트 점프 하겠습니까?,Verbindungssprung zur Website des Boxverbands?
14,,Andare dal cliente?,您要前往委託人的所在地嗎？,,의뢰인이 있는 곳으로 가겠습니까?,Zum Klienten gehen?
15,,Investigare il cellulare del Belloccio?,您要調查帥氣男子的手機嗎？,,훈남의 핸드폰을 조사하겠습니까?,Das Handy des heißen Typen untersuchen?
16,,Tornare all'Agenzia Investigativa?,您要返回偵探事務所嗎？,,탐정사무소로 돌아가겠습니까?,Ins Detektivbüro zurückkehren?
17,,Andare alla lobby di EDEN?,您要移動至EDEN大廳嗎？,,EDEN 로비로 이동하겠습니까?,Zur Lobby von EDEN gehen?
18,,Sei pronto?,您準備好了嗎？,,준비됐나요?,Bist du bereit?
19,,Disconnettersi dal DigiLab?,您要從數碼實驗室登出嗎？,,디지랩에서 로그아웃하겠습니까?,Aus dem DigiLab ausloggen?
100,,Giocare come maschio?,您要以男性身份開始遊戲嗎？,,남성으로 플레이하겠습니까?,Als Junge spielen?
1000,,Sei sicuro di voler sovrascrivere?,您確定要覆蓋保存資料嗎？,,덮어쓰기 하겠습니까?,Wirklich überschreiben?
1001,,Caricare questi dati?,您要讀取這個保存資料嗎？,,이 데이터를 불러오겠습니까?,Diese Daten laden?
1002,,Eliminare questi dati salvati?,您要刪除這個保存資料嗎？,,이 저장 데이터를 삭제하겠습니까?,Diese gespeicherten Daten löschen?
1100,,Acquistare questo?,您要購買嗎？,,구입하겠습니까?,Das kaufen?
1101,,Vendere questo?,您要販賣嗎？,,매각하겠습니까?,Das verkaufen?
1200,,Svuotare la tua Fattoria?,您確定要將農場島淨空嗎？,,팜이 비어도 괜찮습니까?,Deine Farm räumen?
1201,,Digievolvere in [d0]?,要進化成[d0]嗎？,,[d0]으로 진화하겠습니까?,Zu [d0] digitieren?
1202,,Consumare [d0] per la DNA Digievoluzione?,您要消耗[d0]進行融合進化嗎？,,[d0]을 소비해 조그레스 진화하겠습니까?,[d0] für DNA-Digitation absorbieren?
1203,,De-Digievolvere a [d0]?,要退化成[d0]嗎？,,[d0]으로 퇴화하겠습니까?,Zu [d0] de-digitieren?
1204,,Cambiare modalità in [d0]?,您要變更模式為[d0]嗎？,,[d0]으로 모드체인지 하겠습니까?,Moduswechsel zu [d0]?
1205,,Caricare il Digimon?,您要吸收數碼寶貝嗎？,,디지몬 로드를 실행하겠습니까?,Das Digimon laden?
1206,,Convertire [d0]?,您要孵化[d0]嗎？,,[d0]을 컨버트하겠습니까?,[d0] umwandeln?
1207,,Restituire [d0] ai dati di scansione?,您要將[d0]回復為掃描數據嗎？,,[d0]을 스캔 데이터로 되돌리겠습니까?,[d0] in Scandaten umwandeln?
1300,,Iniziare a investigare questo caso?,您要開始調查這個委託嗎？,,이 의뢰의 조사를 시작하겠습니까?,Mit den Ermittlungen in diesem Fall beginnen?
1301,,Posticipare le indagini su questo caso?,您要中止調查這份委託嗎？,,이 의뢰의 조사를 중지하겠습니까?,Die Ermittlungen in diesem Fall verschieben?
1302,,Abbandonare questo caso?,您要中斷調查這份委託嗎？,,이 의뢰의 조사를 중단하겠습니까?,Diesen Fall abbrechen?
