ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Battaglia Normale (Cyber Sleuth),一般戰鬥(網路偵探),,노멀 배틀(사이버 슬루스),Norm. Kampf (Cyber Sleuth)
2,,Battaglia Normale (Hacker's Memory),一般戰鬥(駭客追憶),,노멀 배틀(해커스 메모리),Norm. Kampf (Hacker's Memory)
3,,Battaglia di Dominio,鎮壓戰鬥,,도미네이션 배틀,Dominanzkampf
4,,VS M-Boss,VS 中頭目,,VS 중간 보스,gg. M-Boss
5,,VS L-Boss,VS 大頭目,,VS 라스트 보스,gg. R-Boss
6,,VS Eater,VS 侵食者,,VS 이터,gg. Verschlinger
7,,VS Jimiken,VS 吉米肯,,VS 지미켄,gg. Jimiken
8,,VS Arata,VS 新,,VS 아라타,gg. Arata
9,,VS. i Royal Knights,VS 皇家騎士,,VS 로얄 나이츠,gg. Royal Knights
10,,VS I Sette Grandi Lord Demoni,VS 七大魔王,,VS 7대 마왕,gg. Sieben Dämonenkönige
11,,VS Arcadiamon,VS 阿卡迪獸,,VS 알카디몬,gg. Arkadimon
12,,VS Mother Eater (1),VS 侵食者母體(1),,VS 마더 이터(1),gg. Ver.-Procreatrix (1)
13,,VS Mother Eater (2),VS 侵食者母體(2),,VS 마더 이터(2),gg. Ver.-Procreatrix (2)
14,,VS Eater EDEN,VS 侵食者EDEN,,VS 이터 EDEN,gg. Verschlinger-EDEN
