ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Ottieni [d0] vittorie.,對戰勝利[d0]次,,전투에서 [d0]회 승리한다,Erringe [d0] Siege.
2,,Combatti [d0] volte.,進行[d0]次戰鬥,,배틀을 [d0]회 한다,Kämpfe [d0]-mal.
3,,"Infliggi oltre [d0] danni a un singolo nemico
in una volta in una battaglia.",戰鬥時，一次對敵方單體造成[d0]以上的損傷,,배틀 시 한 번에 [d0]이상의 대미지를 적 1체에 입힌다,"Verursache in einem Kampf bei einem Gegner
auf einmal über [d0] Schaden."
4,,"Infliggi più di [d0] danni totali a tutti
i nemici in una battaglia.",戰鬥時，一次對敵方全體造成[d0]以上的損傷,,배틀 시 적 전체에 합계 [d0]이상의 대미지를 한 번에 입힌다,"Verursache in einem Kampf bei allen Gegnern
insgesamt über [d0] Schaden."
5,,Combatti [d0] volte con Omnimon nel tuo party.,將奧米加獸加入戰鬥成員，並戰鬥[d0]次,,배틀 멤버에 오메가몬을 넣고 [d0]회 전투한다,Kämpfe [d0]-mal mit Omnimon in deiner Gruppe.
6,,"Combatti [d0] volte con un Digimon nella tua
squadra con ""Mamemon"" nel suo nome.","將名稱有「豆豆獸」的數碼寶貝加入戰鬥成員，
並戰鬥[d0]次",,"배틀 멤버에「콩알몬」이라는 이름이 들어간
디지몬을 넣고 [d0]회 전투한다","Kämpfe [d0]-mal mit einem Digimon in deiner
Gruppe, das „Mamemon“ im Namen hat."
7,,"Combatti [d0] volte con un Digimon nel tuo
gruppo con ""Numemon"" nel suo nome.","將名稱有「鼻涕獸」的數碼寶貝加入戰鬥成員，
並戰鬥[d0]次",,"배틀 멤버에「워매몬」이라는 이름이 들어간
디지몬을 넣고 [d0]회 전투한다","Kämpfe [d0]-mal mit einem Digimon in deiner
Gruppe, das „Numemon“ im Namen hat."
8,,Combatti [d0] volte con Pumpkinmon nella tua squadra.,將南瓜獸加入戰鬥成員，並戰鬥[d0]次,,배틀 멤버에 펌프몬을 넣고 [d0]회 전투한다,Kämpfe [d0]-mal mit Pumpkinmon in deiner Gruppe.
9,,"Combatti [d0] volte con Otamamon, Gekomon e
ShogunGekomon nel tuo party.","將蝌蚪獸、怪蛙獸、怪蛙皇加入戰鬥成員，
並戰鬥[d0]次",,"올챙몬, 개굴몬, 왕개굴몬을 
배틀 멤버에 넣고 [d0]회 전투한다","Kämpfe [d0]-mal mit Otamamon, Gekomon und
ShogunGekomon in deiner Gruppe."
10,,"Fai in modo che [d0] o meno Digimon alleati 
diventino impossibilitati a combattere in una singola battaglia.","在一次戰鬥時，陷入無法戰鬥的我方數碼寶貝
不超過[d0]個",,한 번의 배틀에서 전투 불능이 된 아군 디지몬이 [d0]체 이하,"Lass in einem Kampf [d0] oder weniger verbündete
Digimon kampfunfähig werden."
11,,"Non far sì che nessun Digimon alleato diventi 
incapace di combattere in una singola battaglia.",在一次戰鬥時，我方數碼寶貝未曾陷入無法戰鬥狀態,,한 번의 배틀에서 아군 디지몬이 한 번도 전투 불능이 되지 않는다,"Lass in einem Kampf keine verbündeten
Digimon kampfunfähig werden."
