ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,DigiLab,數碼實驗室,,디지랩,DigiLab
2,,DigiFarm,數碼農場,,디지팜,Digifarm
3,,Digievoluzione,進化演出,,진화 연출,Digitation
4,,De-Digievoluzione,退化演出,,퇴화 연출,De-Digitation
5,,Conversione,轉換演出,,컨버트 연출,Umwandlung
6,,Battaglia Normale (Cyber Sleuth),一般戰鬥(網路偵探),,노멀 배틀(사이버 슬루스),Norm. Kampf (Cyber Sleuth)
7,,Battaglia Normale (Hacker's Memory),一般戰鬥(駭客追憶),,노멀 배틀(해커스 메모리),Norm. Kampf (Hacker's Memory)
8,,Battaglia Dominio,鎮壓戰鬥,,도미네이션 배틀,Dominanzkampf
9,,VS M-Boss,VS中頭目,,VS 중간 보스,gg. M-Boss
10,,VS L-Boss,VS大頭目,,VS 스테이지 보스,gg. R-Boss
11,,Caffè Hudie,hudie店內,,후디에 가게 안,Hudie-Café
12,,Agenzia Investigativa,偵探事務所,,탐정사무소,Detektivbüro
13,,Stanza d'ospedale (Luogo),病房（據點）,,병실(거점),Krankenhauszimmer (Ort)
