ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,3002,"","No...
This...isn't supposed to happen...","我受夠了……
不該來這種地方的……","","이제 싫어…
이런 곳에… 오는 게 아니었어…","Nein ...
Das ... ist so nicht gedacht ..."
150,4008,"","Looking for your friend? If they're not here,
did you try looking in the community area?","你正在找你的朋友？
如果沒有在這裡的話，會不會是在「公共區域」那裡啊？","","친구를 찾고 있다고?
여기에 없다면「커뮤니티 에어리어」에 있지 않을까?","Suchst du jemanden?
Hast du im Gemeinschaftsbereich schon geschaut?"
151,4008,"","It's an open area just like the entrance,
so you can get there from any terminal.","那裡跟入口處一樣是開放區域，
所以隨時都可以從移動點過去哦。","","엔트런스와 마찬가지로 오픈 에어리어니까
발착 포인트에서, 언제든지 갈 수 있어","Das ist ein freier Bereich, wie der Eingang.
Du kommst also von jedem Terminal aus dorthin."
1100,5004,"","File 001: EDEN Syndrome","File:001 【關於EDEN症候群】","","File:001 【EDEN 증후군에 관해】","Akte 001: EDEN-Syndrom"
1101,5004,"","A mysterious illness whereby people suddenly fall
into comas while connected to the EDEN network.","EDEN症候群是指人們在使用EDEN網路系統時，會陷入
意識不明的狀態，並且逐漸變得衰弱的怪病。","","EDEN 네트워크의 이용중에 의식불명에 빠져
쇠약해져 가는 기이한 병","Eine rätselhafte Krankheit, die Nutzer des
EDEN-Netzwerks plötzlich ins Koma fallen lässt."
1102,5004,"","Originally, the term was given to the incessant
vomiting and other symptoms common to those
unused to spending time in the Digital World.","醫界原本是用來稱呼不習慣使用電腦空間
所引起的嘔吐不斷等諸多症狀。","","원래는, 익숙지 않은 전뇌공간을 이용하는 것으로 나타나는
구역질이나 현기증 등의 여러 증상을 총칭하여
EDEN 증후군이라 부르고 있었다","Ursprünglich waren mit dem Begriff die andauernde
Übelkeit und andere Symptome gemeint, die vor der
Gewöhnung an die digitale Welt häufig auftreten."
1103,5004,"","But now, EDEN Syndrome is used to describe the
more serious malady of inexplicable loss of
consciousness while connected to the EDEN Network.","但從某個時期開始，在使用EDEN網路系統時陷入意識不明、
昏倒狀態的病況日漸嚴重，於是該名詞便被用來稱呼此種症狀。","","어느 시점부터 중병화하여, EDEN 네트워크의 이용중에
의식불명에 빠져 혼절해 버리는 증상에 쓰이게 되었다","Jetzt beschreibt EDEN-Syndrom die deutlich
ernstere, unerklärliche Ohnmacht, die während des
Aufenthalts im EDEN-Netzwerk auftritt."
1104,5004,"","After extended time in a coma, the body weakens,
becoming more susceptible to complications.
In the worst cases, this has led to death.","其中甚至還有因長期昏迷而引起衰弱或
併發症而死亡的案例。","","장기적인 혼수 상태로 인해, 쇠약이나 합병증을 일으켜
사망하는 예도 있다","Ein länger andauerndes Koma schwächt den Körper.
Dadurch werden Komplikationen wahrscheinlicher.
In den schlimmsten Fällen endet dies tödlich."
1105,5004,"","File 002: Treatments for EDEN Syndrome","File:002【EDEN症候群的應對與治療方法】","","File:002【EDEN 증후군의 대처와 치료법】","Akte 002: Behandlungsmöglichkeiten für das
EDEN-Syndrom"
1106,5004,"","No effective treatment has been found for EDEN
Syndrome. Research continues into treatments
and causes of this unexplained illness.","目前尚未發現治療的方法。
醫界希望政府將其歸為未分類疾病，
派人盡全力研究其應對方式及發病原因。","","현재, 치료법은 발견되지 않았다
미분류 환자로서, 정부의 인가를 받아
대응과 원인을 규명해 가도록 한다","Für das EDEN-Syndrom ist bislang keine wirksame
Behandlungsmethode bekannt. Es wird weiter daran
geforscht, wie auch an den Ursachen der Krankheit."
