ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,4032,"","We trained so hard,
there's no way we're gonna lose!","它們是我努力培育至今的數碼寶貝，
絕對不會輸給你的！","","열심히 키웠다고
그러니 질 수 없어!","Wir haben so hart trainiert, wir werden auf gar
keinen Fall verlieren!"
2,4033,"","My Digimon is just the cutest!","我的數碼寶貝非常可愛哦。","","내 디지몬 정말 귀여워","Mein Digimon ist das allerniedlichste!"
3,4002,"","My job is a series of failures...
At least let me succeed at this!","我在工作上都一直犯錯……
至少讓我在這件事上成功個一次吧。","","직장에선 실패의 연속…
적어도 여기서는 성공하게 해 줘","Im Job geht eine Sache nach der anderen schief ...
Gönn mir wenigstens hier einen Erfolg!"
4,4004,"","I won't hold back just because you're a kid!","就算對手比我小，我也不會手下留情哦！","","상대가 연하라도 봐주지 않아!","Ich werde mich nicht zurückhalten, nur weil du
noch jung bist!"
5,4006,"","I know what you're thinking.
""Maybe I can get through this! Maybe I can win!""
...Sorry, but I'm here to show you you're wrong.","你是以為自己說不定能獲得優勝嗎？　
真可惜，
那種事情是不會發生的啦！","","어쩌면 계속 이겨나갈 수 있을지도 모른다고
생각하고 있어? 유감이네
그럴 일은 없거든, 이게 말이지!","Ich weiß, was du gerade denkst: „Vielleicht
schaffe ich das! Vielleicht kann ich gewinnen!“
Ich bin hier, um dir das Gegenteil zu beweisen."
6,4029,"","Me and my bae be looking fierce.
And in the arena, we fighting fierce, too!","它是最可愛的對吧？
就算是對戰，我也不會把第一名讓給別人！","","이 애가 최고로 귀엽지?
배틀이라고 해도 최고 자리는 양보하지 않을 거야!","Mein Schatz und ich sehen wild aus.
Und in der Arena kämpfen wir auch wie die Wilden!"
7,4028,"","Sure, I've got kids, but these darlings are my
pride and joy. Please don't be too hard on them!","它們是我趁撫養小孩的空閒時所培育起來、
令我感到自豪的數碼寶貝們。
還請手下留情。","","애들을 키우면서 짬짬이 기른 자랑스러운 아이들이에요
살살 부탁드립니다","Ich habe schon Kinder, aber diese Kleinen hier
sind mein ganzer Stolz. Bitte sei nicht zu grob
mit ihnen!"
8,4030,"","For a guy like me,
if I get into something, I don't go halfway.","就算是我這樣的大叔，
一旦迷上了也是很專情的。","","이런 아저씨라도
무언가에 빠지면 꽤 일편단심이라고","Ein Kerl wie ich macht keine halben Sachen."
9,4023,"","Welcome and thank you for your patronage!
Whether you win or lose, please come by the shop!","歡迎光臨，非常感謝您每次的惠顧。
無論是嬴或是輸，還請在對戰結束後，
務必到本店來看看。","","어서오세요, 항상 이용해 주셔서 감사합니다
이기든 지든 배틀 후에는
부디 저희 가게에 들려주세요","Willkommen, und danke für deinen Besuch!
Ob siegreich oder nicht, bitte komm in den Laden!"
10,4007,"","You'll lose for me, right?","你就算輸給我也沒關係哦～？","","져줘도 된다구~?","Für mich wirst du aber verlieren, oder?"
11,4001,"","Don't think this'll be easy because you're young.
I'll teach you the suffering of a full-time job!","就算是年輕人，我也不會手下留情哦。
你就在這裡體驗一下社會的殘酷吧。","","어리다고 해서 봐주진 않을 거야
사회의 혹독함을 여기서 체험하고 가도록","Denk nicht, dass das ein Leichtes wird, nur weil
du jung bist. Ich zeige dir, wie man als
Arbeitnehmer leidet!"
12,4014,"","Ready to face the angel you see when you survive?
...Or whatever.","由白衣天使的我來當你的對手。
……開玩笑的啦。","","백의의 천사가 상대를 해주지
…라고 할까~","Bist du bereit, die Engelchen zu sehen?
... Oder was es auch immer war."
13,4033,"","...I won't lose!","…………我不會輸的。","","…………지지 않을 거야","Ich werde nicht verlieren!"
14,4015,"","Here come the cyber police!
Once I prove my strength, I'll get that charter!","電腦警察在此！
我要證明我的實力，讓上頭同意成立電腦警察！","","전뇌경찰 여기에 있도다!
실력을 증명해서 설립 허가를 받을 테다!","Hier kommt die Cyber-Polizei!
Wenn ich meine Kraft unter Beweis gestellt habe,
werde ich sie gründen!"
15,5018,"","My boss told me that not only do I have to win,
I have to advertise our cafe, too.
Can you believe that guy?","我們店長有夠亂來的，
居然要我藉由獲勝來替店裡宣傳耶～","","이겨서 가게 선전을 하고 오라니
점장님도 터무니없는 말을 하네~","Mein Chef hat gesagt, ich muss nicht nur gewinnen,
sondern auch Werbung für unser Café machen.
Ist das denn zu fassen?"
16,4019,"","I've been through years of harsh training.
It'll take a helluva lot to break me!","我經歷過許多嚴格的特訓，
小小的挫折是無法打敗我的。","","혹독한 특훈을 경험하고 왔어
웬만한 일로는 좌절하지 않아","Ich habe jahrelanges hartes Training hinter mir.
Mich kriegt keiner so leicht klein!"
17,4006,"","I'm just here to have fun. We don't have to go
all out, do we? C'mon, just relax! And then lose,
so I can send you crying to your mom, haha!","這只是場遊戲，你用不著那麼認真吧～？
好了好了，放輕鬆點～～
然後快點輸一輸回家去吧，哈！","","라이트니까 그렇게 진심으로 안 해도 되지 않아~?
자자, 어깨 힘 빼~~
…그리고 빨랑빨랑 져서 돌아가버려ㅋ","Ich will nur ein bisschen Spaß haben. Nur keinen
Stress. Entspann dich! Und verlier dann, damit
ich dich heulend zu deiner Mama schicken kann!"
18,4003,"","I'm trying to kill some time...
Try not to lose too quick, would you?","希望能打發一點無聊的時間啊～
你可要好好努力，不要一下子就輸給我囉。","","심심풀이가 되면 좋겠는데~
간단히 지지 않도록 열심히 힘내줘","Ich will etwas Zeit totschlagen ...
Verliere bitte nicht gar zu schnell, in Ordnung?"
19,5019,"","You've heard of the saying ""the older, the
wiser,"" yes? Well, this wise man isn't in
the mood to lose to some whippersnapper!","你知道「薑是老的辣」這句諺語嗎？
我可完全沒有輸給年輕人的意思哦。","","「소리개도 오래면 꿩을 잡는다」는 속담을 알고 있느냐?
젊은이한테 질 생각 따윈 전혀 없단다","Du hast sicher schon gehört, dass man mit dem
Alter weiser wird. Nun, dieser weise Mann
wird nicht gegen einen Grünschnabel verlieren!"
20,4029,"","My Digimon and I do more than just look good!","我會證明給你看，
我和我的數碼寶貝都不是只有可愛而已。","","나도, 내 디지몬도
귀엽기만 하진 않다는걸 보여주겠어","Meine Digimon und ich sehen nicht nur gut aus!"
21,4009,"","Do you like flowers? I love flowers!
I'll never let you take my autumn bellflower!","你喜歡花嗎？　我非常喜歡哦！
勝利之花是不會讓給你的！","","넌 꽃을 좋아해? 난 정말 좋아해!
용담꽃은 양보하지 않을 거야!","Magst du Blumen? Ich liebe sie!
Meine Glockenblume wirst du niemals kriegen!"
22,5020,"","I cut into my anime-watching time so we could
train! So there's no way you'll find a weakness!
...Probably.","我可是不惜減少看動畫的時間來拼命訓練它們的，
所以我不會有死角！
……應該、大概、肯定不會。","","이 녀석들을 강하게 만들기 위해 애니메이션 보는 시간을 줄였어
그런 내게 사각은 없다!
…없을 거야, 아마도, 분명","Ich habe mehr trainiert, anstatt Anime zu gucken!
Also wirst du keine Schwäche finden!
Vermute ich zumindest."
23,4006,"","I'm in a real bad mood right now.
So let me cheer up by annihilating you!","我現在非常不爽耶～～
你可以讓我稍微出口氣嗎？","","지금 엄청나게 기분 최악이야~~
그러니까 좀 맞아주지 않을래?","Ich bin gerade richtig übel gelaunt.
Also mach mir eine Freude und lass dich umboxen!"
24,4030,"","People are always attracted to strong men,
whether they're hero or villain.
Win, and become a saint. Lose, and...well.","無論在任何時代，強悍的男人都會受到崇拜。
而且不管是英雄還是壞蛋都一樣。
也就是說，勝者為王，敗者為寇。","","강한 남자는 어떤 시대에서든 동경을 받지
그게 히어로든 악역이든 말이야
이기면 관군, 지면… 알겠지","Ob Held oder Bösewicht, alle mögen starke Männer.
Wer gewinnt, wird geradezu verehrt.
Wer verliert ... eher weniger."
25,4004,"","The BF asked me who I preferred, Digimon, or him.
...So there's no way we're gonna lose!","男朋友甚至問我說
「我和數碼寶貝是哪邊比較重要啊」。
……所以，我絕不會輸的！","","그에게「나와 디지몬 중 뭐가 더 중요해?」
라고 말해버렸어
…그러니까 지지 않을 거야!","Mein Freund hat mich gefragt, ob ich ihn oder
Digimon lieber mag ... Also ...
Na, immerhin werden wir nicht verlieren!"
26,4005,"","...Let's do it?","……嗯，請多指教。","","…뭐, 잘 부탁해?","... Wollen wir mal?"
27,4005,"","I put my pride as a Zaxon Hacker on the line!","我會賭上Zaxon駭客的至高榮譽！","","잭슨 해커의 드높은 긍지에 걸고!","Mein Stolz als Zaxon-Hacker steht auf dem Spiel!"
28,4007,"","I don't need to be part of a team to be strong.
I'll prove to you how good a hacker I am.","我之所以沒有加入任何團隊，是因為沒有那個必要。
……好啦，就麻煩你讓我確認一下，
我身為駭客的實力如何吧。","","어디에도 소속되어 있지 않은 건, 할 필요가 없기 때문이야
…그럼 내 해커로서의 실력을
확인시켜 줘야겠지?","Ich brauche kein Team, um stark zu sein.
Ich beweise dir, was ich für ein guter Hacker bin."
29,4008,"","You might've had it easy 'til now, but this's as
far as you go. Imma knock you out with one shot!","感覺已經來到相當前面的名次了吧？
這樣下去搞不好可以拿下冠軍哦！","","꽤 괜찮은 데까지 올라왔다고 생각하지?
이대로 단숨에 이겨나갈 수 있을지도!","Bis jetzt war es vielleicht ganz einfach, aber
weiter wirst du nicht kommen. Dich haue ich
mit einem Schlag um!"
30,4032,"","We worked real hard to get strong!
So, you scared 'cause we're so much cooler?","它們可是我拼了命培育茁壯的！
如何，它們看起來很強吧？　很帥吧？？！！","","열심히 키웠어!
어때, 강해보여? 멋지지??!!","Wir haben hart gearbeitet, um stark zu werden!
Hast du Angst, weil wir so viel cooler sind?"
31,4014,"","I just get so stressed at work...
Sometimes I have to let it all out!","這個工作的壓力很大，
就讓我偶爾發洩一下吧！","","이 일은 스트레스 쌓이기 쉬우니까
가끔씩은 발산하게 해주라고!","Ich habe so viel Stress auf der Arbeit ...
Manchmal muss ich den einfach rauslassen!"
32,4003,"","Just take it easy.","就麻煩你手下留情啦。","","그―래도, 살살 좀 부탁할게","He, nur kein Stress."
33,5020,"","I specialize in collecting only the rarest.
So there's no way I'm going to lose!
Heheh *snort*","我收集了不少稀有的數碼寶貝，
所以你是無法輕易打敗我的。
呵、呵呵……","","레어한 것만 모아봤지
어지간해서는 지지 않겠는걸
후, 후후…","Ich habe mich darauf spezialisiert, nur die
seltensten zu sammeln. Also kann ich gar nicht
verlieren! Hehehe *Schnaub*!"
34,4007,"","Congratulations for making it this far.
Now it's time for me to send you home!","好啦～
一路戰鬥到這裡真是辛苦你了～
那麼，就麻煩你在這裡退場吧！","","네네―
지금까지 수고했습니다~
그럼 퇴장해 주세요!","Glückwunsch, dass du so weit gekommen bist.
Jetzt ist es aber Zeit, dass ich dich nach
Hause schicke!"
35,5018,"","Welcome home!
I've sent my most powerful Digimon to greet you!","歡迎回來，主人～
我會用最強的數碼寶貝迎接您的～！","","어서오세요, 주인님~
최고의 디지몬으로 맞이하겠습니다~!","Willkommen zu Hause!
Ich habe meine mächtigsten Digimon als Begrüßung
geschickt!"
36,3010,"","Woooo! Hellooo champions, are you ready to rock!?
Hope that opening act wasn't too much of a snooze
'cause the real show starts...now! Hit it!!!","呀呼～～～冠軍你好嗎～～～？
是說，直到Now的家家酒盃賽，你都是認真打的？
接下來才是重頭戲，你就好好體會一下吧，哈哈哈。","","이얏호우~~~ 챔피언 잘 있었어~~~?ㅋㅋㅋㅋㅋㅋ
근데 Now까지는 그냥 라이트 컵, 설마 진짜로 한 거냐?
이쪽이 진짜니까ㅋㅋㅋ 진짜를 실감하게 해 주지ㅋㅋㅋㅋ","Heee! Hallooo Champions, seid ihr bereit zum
Abrocken? Hoffentlich war die Vorband nicht zu
öde, denn jetzt geht's richtig los!"
37,3003,"","I'm still new to this type of battle...
Still, I won't hold back,
and I hope you'll do me the same courtesy.","以這種形式對峙……還滿新鮮的呢。
……我沒有放水的意思，你也盡全力戰鬥吧。","","이런 방식으로 마주하다니… 조금 신선하군요.
…봐줄 생각은 없습니다. 부디 당신도 전력으로 와주세요","Ich habe noch wenig Übung in diesen Kämpfen ...
Aber ich werde mich nicht bremsen, und du bist
hoffentlich so höflich und tust das auch nicht."
38,3012,"","I reckon you done me more'n a few favors up to now,
and I sure ain't forgot. But that an' this is
night an' day. Get ready!","我之前受過你不少照顧……
不過那個跟這個是兩碼子事，
我會盡全力戰鬥的。","","요전번에는 굉장히 신세를 졌지예
하지만… 그것과 이건 다른 문제
있는 힘껏, 상대해주겠소이!","Du hast mir ’n paar Gefallen getan, und die
vergess ich auch nicht. Aber das is’ jetzt was
ganz anderes. Halt dich fest!"
39,3004,"","So, I'm up against you next? Works for me.
Chance like this doesn't come along every day.
...You'd better fight like you mean it.","跟你對戰應該很有趣。
難得有這種機會，
彼此就全力以赴吧。","","댁을 상대하게 되다니 재미있는걸?
이런 기회는 아마 거의 없을 테지?
…서로 진심으로 가보자","Als Nächstes geht es also gegen dich? Soll mir
recht sein. Solche Chancen gibt’s nicht jeden Tag.
Macht du aber bitte auch ernst."
40,3014,"","Heyyy, didn't expect to meet you here! How crazy!
Anyhoo, nothing personal, but we're gonna totally
trash you, lol! 'Kay, c'mon, V.V., it's showtime!","嘿嘿————！　在這裡碰上我算你倒楣！
雖然我們沒什麼深仇大恨，但我會痛‧宰‧你‧的☆
好啦，VV！　你就去把它們打趴吧！","","이예―――이! 여기서 만나다니 1만년 만이군!
특별히 원한은 없지만 작신작신 밟 아 줄 게♡
자아 브이브이! 고우! 해치워버려!","Heee, dass du auch hier bist! Abgefahren!
Also, nichts gegen dich, aber wir werden dich
versohlen, lol! Okay, Veevee, es geht los!"
41,3019,"","It took a lot to make it this far...
I'll show you my strength. Dianamon, here we go!","就讓我見識一下你一路戰鬥到這裡的實力吧。
……狄安娜獸，要上囉。","","여기까지 이겨온 실력… 보여줘
…디아나몬, 가자","Dass du es so weit geschafft hast ...
Ich zeige dir, wie stark ich bin.
Dianamon, es geht los!"
42,3013,"","It seems that I shall be your next opponent.
I'm afraid your destiny ends right here.","這次由我來當你的對手。
你的命運就由我來承受。","","다음엔 내가 상대해줄게
당신의 운명, 내가 멈춰주겠어","Offenbar werde ich deine nächste Gegnerin sein.
Damit endet deine Bestimmung leider hier."
43,3002,"","I like you, but I'm still gonna kick your butt!
Ready? We're doing this! Let's fight!!!","就算對手是你，我也不會手下留情的～～～！！！
來吧！　堂堂正正地一決高下！！！","","상대가 너라도 봐주진 않을 거니까 말이야~~~!!!
자! 정정당당히!! 승부!!!","Ich mag dich zwar, aber ich werde dich trotzdem
vermöbeln! Fertig? Los geht’s!!!"
44,2000,"",".........!","……！","","………!","... ...!"
45,2001,"",".........","……♪","","………♪","... ..."
46,5009,"","Oh! Hello! It's me, Mr. Navit! Congratulations!
You've made it to the real final boss--me! Don't
get careless, and good luuuck! ...You'll need it!","喲，你好啊！　我是NAVIT！
恭喜你！　我就是真正的最終魔王哦！
就請你努力堅持到最後一刻吧！　呵呵呵。","","야아야야 안녕! 내빗군이야!
축하해! 내가 진짜 최종보스야!
마지막까지 방심하지 말고 힘내! …쿠후훗","Ach, hallo! Ich bin’s, Herr Navit! Glückwunsch!
Du hast es zum wahren Endboss geschafft! Mir!
Bleib wachsam, und ... viel Glück!"
51,9126,"","No way I'm losing! I'm a hacker too, you know!","我不會輸的！
我也是駭客喔！","","지지 않아!
나 역시 해커니까!","Ich werde auf keinen Fall verlieren! Ich bin
auch ein Hacker, weißt du!"
52,4040,"","Now, these li'l ones are still learning, so give
'em a good battle they can get some valuable
experience from!","這群孩子還在學習喔～
請用優秀的戰鬥讓他們累積經驗吧～","","이 아이들~ 아직 공부중이예요~
훌륭한 배틀로 경험을 쌓게 해주세요~","Diese Kleinen lernen ja noch. Also biete ihnen
einen guten Kampf, aus dem sie Erfahrung gewinnen
können!"
53,4006,"","Look, I'm in a pretty crappy mood, so why don't
I just vent my rage for a bit and then wipe the
floor with ya?","……我心情不太好啊。
我就遷怒欺負你一下吧。","","…기분이 그다지 좋지 않거든.
화풀이 겸 가볍게 해치워주지","Ich bin ziemlich mies gelaunt. Kann ich also ein
bisschen Wut ablassen und dich auseinandernehmen?"
54,4051,"","All right, here goes! I, um, wouldn't mind if you
took it a little easy on me, though.","請多指教。
……但是請你下手輕一點喔。","","잘 부탁드립니다.
…그러면 부드럽게 잘 부탁해?","Also, dann mal los! Ich, äh, habe aber nichts
dagegen, wenn du mir auch eine Chance lassen
könntest."
