ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
10,9183,,"È Mr. Navit! Grazie per avermi tirato fuori da
quella brutta situazione. Ecco un piccolo qualcosa per
dirti grazie!","我是NAVIT喔！
謝謝你把我修好了！
這個給你當作謝禮！",,"내빗군이야!
곤란했었는데 고쳐줘서 고마워!
답례로 이걸 줄게!!","Ich bin Herr Navit! Danke, dass du mir aus der
Klemme geholfen hast. Hier ist ein kleines
Dankeschön!"
11,9183,,"Sembra che ci siano altri corrotti
oltre a me in EDEN. Fammi un favore
e sistemali se li trovi!","EDEN裡除了我，好像也有其他夥伴壞掉了。
要是你找到他們，請你修好他們喔！",,"나 말고도 망가진 동료가 EDEN에 있는 것 같아.
만약 발견하면 고쳐줘!","Sieht aus, als wären außer mir noch andere in EDEN
kaputt. Sei doch so nett und repariere die
anderen, wenn du sie findest!"
20,9184,,"Ti ringrazio sentitamente per avermi aiutato
nella mia difficile situazione. Spero accetterai
questo segno della mia gratitudine.","謝謝你把我修好，實在是非常感激。
這份謝禮請您收下。",,"곤란했던 차에 도와주셔서 감사합니다.
답례로 이것을 드리겠습니다","Vielen herzlichen Dank, dass du mir aus der
misslichen Lage geholfen hast. Nimm dies als
Ausdruck meiner Dankbarkeit an."
30,9185,,"Fwaah! Finalmente mi sento di nuovo bene! Grrr...
Quei dannati hacker e i loro virus! Tieni, prendi
questo come ringraziamento.","嗚喔───！！　終於恢復啦───！！！
可惡的駭客，居然對我用病毒──
這個拿去當謝禮！",,"우오~~~~!! 드디어 기운을 차렸다고~~~~!!!
해커 녀석, 바이러스를 집어넣고 말이지
답례로 이걸 줄게!","Hurraaa! Endlich geht es mir wieder gut! Grr ...
Verdammte Hacker mit ihren Viren! Hier, nimm
das als Dankeschön."
40,9186,,"Idiota! Perché mi hai riparato?! Finirò per essere rotto di nuovo
da qualche umano! Urgh. Non ho intenzione di rimanere in debito
con te, quindi prendi questo e vattene!","幹麼修好我啊你這混蛋！
哼，反正又會被人類弄壞了啦！
我可不想欠你人情，這個拿去快滾吧！",,"어째서 고친 거야 이 자식!
흥, 어차피 또 인간이 망가트릴 뿐인데!!
빚은 안 만들어, 이걸 줄 테니까 딴 데 가버려!","Trottel! Warum hast du mich repariert?! Damit mich
der nächste dämliche Mensch kaputt machen kann?
Nimm das hier und geh weg!"
50,9187,,"È inutile... Sarò di nuovo pieno di bug presto. Oh,
che spreco... Tieni. Prendi questo. Grazie per
avermi riparato.","不行了……不行了……
我一定又要出現Bug了……
這個……給你……謝謝你修好我……",,"이젠 틀렸어…틀린 거야…
나 따위 또 금방 버그가 날 거야…
이거…줄게…고쳐준 답례야…","Es hat keinen Zweck ... Ich bin bald schon wieder
verbuggt. Alles umsonst ... Hier, nimm das.
Danke dir."
60,9188,,"DEBUG_LOG ERRORE ERRORE ERRORE ERRORE ERRORE
ERRORE ITEM_OUTPUT","ＤＥＢＵＧ＿ＬＯＧ
ＥＲＲＯＲ　ＥＲＲＯＲ　ＥＲＲＯＲ
ＥＲＲＯＲ　……ＩＴＥＭ　ＯＵＴＰＵＴ",,"DEBUG_LOG
ERROR ERROR ERROR ERROR
ERROR ERROR …ITEM OUTPUT","DEBUG_LOG FEHLER FEHLER FEHLER FEHLER FEHLER
OBJEKT_AUSGABE"
70,9189,,"Ehi, mi hai aiutato! Sarebbe andato tutto bene anche restando
così, ma ehi, prendi questo come ringraziamento!","是你修好我的喔～
繼續那樣也沒關係，但謝謝你啦～
這個是謝禮喔～",,"네가 나를 고쳐줬구나~
그대로 있었어도 상관은 없지만, 덕분에 살았어~
답례로 이걸 줄게~","He, du hast mir geholfen! So zu bleiben, wäre auch
okay gewesen, aber nimm das als Dank!"
80,9190,,"Ahh, il mio corpo è tornato *sniff* normale! Sono così
*sniff* felice che mi metterò a piangere a dirotto...*sniff*
Tieni, grazie per queste lacrime di gioia!","嗚～修好了耶～
我好高興喔～高興到要哭了～
這是眼淚謝禮～",,"으앙~, 몸이 고쳐졌어~
기뻐~, 기뻐서 눈물이 나~
눈물의 답례로 이걸 줄게~","Ach, mein Körper ist wieder normal! *Schnüff* Ich
bin so *Schnüff* glücklich, dass ich gleich heule.
*Schnüff* Hier, danke dir vielmals!"
90,9191,,"*sbadiglio* Mmm... Oh, mi hai salv-
*sbaaadiglio* mi hai salvato? Grazie. *ronf ronf* Oh, giusto, ecco
un... *sbadiglio* *ronf ronf*","嗚，啊嗯啊嗯
是你叫我起來的啊，謝……ZZZ
喔……謝禮……ZZZ……給你……ZZZZ",,"으음, 음냐음냐…
네가 깨워줬구나, 고마……ZZZ
아차, ……답례……ZZZ ……줄게……ZZZZ…","*Gähn* Mmm ... Ach, du hast mich *Gääähn*
gerettet? Danke. *Schnarch* Ach ja, hier hast
du ... *Gähn* *Schnarch*"
100,9192,,"G-grazie m-mille per avermi s-salvato!
Pensavo che fosse f-finita quando gli hacker... Oh!
Oh, tieni, prendi questo!","真、真、真、真、真是非常謝謝你！！
被駭客攻擊……我已經……
那個……這、這、這個給你當作謝禮！！",,"가, 가, 가, 감사합니다!!
해커들에게 공격을 받아서…나 이제…
저기… 다, 다, 다, 답례로 이거 드릴게요!!","V-vielen h-herzlichen D-Dank f-für die R-Rettung!
I-Ich dachte, es wäre vorbei, als die Hacker ...
Ah! Ach, hier, nimm das!"
110,9193,,"Ah ah ah! Mi hai salvato la pelle. Che gioia!
Tieni, prendi questo... e un grande sorriso in aggiunta!","啊哈哈！ 是你救了我啊！
現在心情好開心喔！
這是謝禮喔！ 再送你個笑臉！",,"아하하! 네가 구해줬구나!
굉장히 해피한 기분이야!
이거 답례야! 그리고 스마일도 줄게!","Haha! Du hast mich gerettet. Wie entzückend!
Hier, nimm dies ... und ein Lächeln dazu!"
120,9194,,"...
...
...Qui.","…………………………
…………………………
…………………謝禮。",,"……………………………
……………………………
………………………답례","...
...
... Hier, bitte."
