ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4235,"","Purrrsenting the Offline Colosseum!
I'm your host, the cutie kitty maid, Oruru!
Is there anything you'd like to ask ameowt?","這裡是離線競技場喵！
我是導覽員貓耳女僕「麻瑠瑠」喵♪
你有什麼想問我的事嗎？","","이곳은, 오프라인 콜로세움이다냥!
내비게이터인 고양이 귀 메이드「오루루」야냥♪
뭔가 물어보고 싶은 건 있냥?","Hier geht es schnurrstracks ins Offline-Kolosseum!
Ich bin die süße Kätzchen-Maid Oruru und bin
für dich da! Miau dich ruhig, was zu fragen!"
10,4235,"","Battle for the Bronze Cup!
Ready? Go!","青銅盃！
Ready Go♪","","브론즈컵 전!
레디 고♪","Kämpf um den Bronze-Cup!
Fertig? Los!"
20,4235,"","Battle for the Silver Cup!
Ready? Go!","白銀盃！
Ready Go♪","","실버컵 전!
레디 고♪","Kämpf um den Silber-Cup!
Fertig? Los!"
30,4235,"","Battle for the Gold Cup!
Ready? Go!","黃金盃！
Ready Go♪","","골드컵 전!
레디 고♪","Kämpf um den Gold-Cup!
Fertig? Los!"
40,4235,"","Battle for the Platinum Cup!
Ready? Go!","白金盃！
Ready Go！","","플래티넘컵 전!
레디 고!","Kämpf um den Platin-Cup!
Fertig? Los!"
50,4235,"","Battle for the Legendary Cup!
Ready? Go!","傳奇盃！
Ready Go！","","레전드컵 전!
레디 고!","Kämpf um den Legenden-Cup!
Fertig? Los!"
60,4235,"","Battle for the Masters Cup!
Ready? Go!","大師盃！
Ready Go！","","마스터컵 전!
레디 고!","Kämpf um den Meister-Cup!
Fertig? Los!"
61,4235,"","Rematch for the Masters Cup!
Ready? Go!","大師盃，再次挑戰！
Ready Go！","","마스터컵 전, 재도전!
레디 고!","Kämpf wieder um den Meister-Cup!
Fertig? Los!"
100,4235,"","Eliminated in Bronze Cup round 1...
Meowch!
But turn that furown upside down and try again!","唔～真可惜喵！
你在青銅盃初賽中戰敗了喵……
我會等待你再次前來挑戰喵！","","크으~, 유감이다냥!
브론즈컵 전, 초전 탈락이다냥…
다음 도전을 기다리고 있겠다냥!","In Runde 1 des Bronze-Cups ausgeschieden ...
Miautsch!
Probier es gleich noch mal!"
101,4235,"","Eliminated in Bronze Cup round 2...
You must feel pawful!
But turn that furown upside down and try again!","怎麼會這樣喵！
你在青銅盃第2回合中戰敗了喵……
我會等待你再次前來挑戰喵！","","이럴수가냥!
브론즈컵 전, 2회전 탈락이다냥…
다음 도전을 기다리고 있겠다냥!","In Runde 2 des Bronze-Cups ausgeschieden ...
Alles für die Katz!
Probier es gleich noch mal!"
