ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
200,4746,,......,……,,………,...
201,3002,,"Uh, ciao, ciao! Scusami. Se potessi solo...
sgattaiolare proprio di qui. Ehehehe! Grazie!","那、那個～？我們想要過去耶，
可以麻煩你讓開嗎？",,"…저, 저기요~? 저희들 이 앞으로 가고 싶으니
비켜 주셨으면 하는데요~?","Ach, hallo! Entschuldigung. Ich müsste nur ...
eben vorbei. Hihihi! Danke!"
202,4746,,Shhh! Sto cercando di concentrarmi!,"噓！！
不要跟我說話！！！",,"…쉿!!
말 걸지 말아 줘!!",Pssst! Ich versuche mich zu konzentrieren!
203,4746,,"Ho lavorato alla risoluzione di questo enigma per
secoli. Seeeeecoli... Ci sono così vicino.","我煩惱已久的問題，
差一點點就能想出答案了！",,"지금… 계속 고민하던 문제의 답이…
목구멍까지 나왔단 말이야…!","Ich tüftle schon seit Ewigkeiten an diesem Rätsel.
Eeewigkeiten ... Ich bin so nah dran."
204,3002,,"Uh... Certo... È decisamente
salutare. Qual è l'indovinello, comunque?","啊？
順便問一下，你正在煩惱的問題是……？",,"어, 뭐?
혹시, 무슨 문제인데…?","Äh ... klar ... Ist ja auch völlig normal.
Um welches Rätsel geht es denn überhaupt?"
205,4746,,"Uno dei più problematici dei nostri
tempi: Come... faccio a trovarmi una ragazza?",就是……「要怎麼做才能交到女朋友」啦。,,"…어떻게 하면, 여자 친구가 생길까… 다","Um das große Rätsel unserer Zeit:
Wie ... finde ich eine Freundin?"
206,3002,,"Oh... OH! Già, beh, è dura. Io in
realtà devo proprio andare e--","……………………喂，
我可是急著去找我的朋友耶！",,"………………………저기
난 친구를 찾아야만 해서―","Oh ... OH! Ah, ja, das ist knifflig.
Ich, äh, muss aber weg und ..."
207,4746,,"""Difficile""?! È più che difficile! È
ridicolo! Ho quasi trent'anni e non ho
nessuno, accidenti! Non conosci il mio dolore.","妳懂屁啊！？我都快三十歲了還沒有女朋友耶，
妳能明白我的心情嗎？",,"네가 뭘 알아!? 서른 가까이가 돼도
애인이 없는 내 기분을 알아!?","„Knifflig“?! Das ist ein wenig untertrieben!
Es ist schier unmöglich! Ich bin fast 30 und
habe niemanden! Du weißt ja nicht, wie das ist."
208,4746,,"Non potrai mai conoscere il mio dolore...
Lasciami... solo con il mio dolore. Un giorno. Un
giorno troverò il mio modo... per una tipa super-sexy!","不明白的話就不要管我！
我就快要想出答案了！",,"모르겠으면 내버려 둬…!
답을 생각해 낼 것 같단 말이야","Du wirst diesen Schmerz nie kennen ...
Lass mich einfach allein damit. Eines Tages
werde ich ... eine heiße Schnitte klarmachen!"
209,3002,,"Beh... quel tipo ha dei problemi fondamentali che
devono essere risolti, ma penso che dobbiamo concentrarci
sul trovare Agumon e gli altri.","唔唔，那確實是很重大、很迫切的問題……
不過人家想快點去找亞古獸他們啦～",,"으, 윽… 확실히 심각하지만… 절실하지만…
하지만 빨리 아구몬과 파피몬을 찾으러 가고 싶은데~","Ähm ... Der Gute hat ein paar Probleme zu
verarbeiten, aber wir müssen vor allem Agumon
und die anderen finden."
210,3002,,"Ok... Ok, ok, ok! Aiuterò, ok?
Aiuterò. Solo, fammi chiedere in giro e
vedere se posso darti qualche buon consiglio.","啊～！真是的！既然如此，只好先去打聽了！
去打聽看看要怎麼做才能交到女朋友！",,"아―! 정말! 이렇게 된 이상 탐문 조사야!
어떻게 하면 여자 친구가 생기는지에 대해!","Na gut ... ist ja gut! Ich helf dir ja, okay?
Ich höre mich ein bisschen um und schaue,
ob ich gute Ratschläge für dich finde."
211,3002,,"Resta nei paraggi di Kowloon però. È già
abbastanza folle così com'è, non voglio dover
andare in giro a cercarti.","不過我懶得跑太遠，只能在Kowloon問哦！
趕快解決吧！",,"귀찮으니까 쿠롱 한정으로!
빠르게 끝내 버리자!","Bleib aber in Kowloon. Ich habe schon genug
um die Ohren und will dir nicht auch noch
nachlaufen müssen."
