ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1109,"","Maybe I'll become a computer whiz if a
hacker can teach me. You're one, right?","據說只要被叫駭客的人教過，就會變得
很會操作電腦耶！　你也是駭客對吧？","","해커라는 인간에게 배우면 컴퓨터 다루는 
실력이 좋아진대! 너도 해커지?","Vielleicht werde ich ein Computergenie,
wenn ein Hacker wie du mich lehrt?"
1122,"","Hey, buy me an accessory! I want a
stylish hat!","好嘛好嘛，買飾品給我啦～！
我想要時髦的帽子～！","","있잖아~ 액세서리 사줘사줘~!
멋진 모자같은 걸 갖고 싶어~!","He, kauf mir Accessoires! Ich will eine
schicke Kopfbedeckung!"
1126,"","Humans study at places called schools,
right? Do you go school?","那個那個，人類是在學校這地方學習的對吧。
你有去學校嗎？","","저기저기, 인간은 학교란 곳에서 공부하지?
너도 학교에 다니고 있어?","Menschen lernen in Schulen, oder? Gehst
du zur Schule?"
1209,"","I heard human computer experts are
called hackers. Are you one of them?","人類裡好像有電腦專家喔。
好像是叫……駭客，你也是駭客嗎？","","인간 중에는 컴퓨터 전문가가 있다는 모양이야.
해커…라고 부른다는데…너도 그런 건가?","Menschliche Computerexperten werden
Hacker genannt. Bist du einer?"
1222,"","Can you buy me a hat accessory? I want
to change my look sometimes.","那個，你能買帽子的飾品給我嗎？
……偶爾也會有想享受打扮一下的時候。","","이봐, 모자 액세서리를 사다주지 않겠나?
…가끔은 멋을 부리고 싶을 때가 있다","Kannst du mir eine Kopfbedeckung
kaufen? Ich will mal anders aussehen."
1226,"","I was wondering, are you a good student
at school?","我有點在意，你真的有在學校好好讀書嗎？","","조금 신경쓰이는데 너는 학교에서 제대로
공부하는 건가?","Ich würde gern wissen, ob du gut in
der Schule bist."
1309,"","If I had hacking skills, I could develop
like a pro. Please teach me!","你是駭客對吧？　只要有駭客的技術，
就算是開發人員也能簡單打倒吧。教教我訣竅吧！","","너, 해커였지? 해커 기술이 있으면
개발도 쉽겠지. 나한테도 요령을 알려줘!","Wenn ich Hacken könnte, würde ich mich
schnell entwickeln. Bring es mir bei!"
1322,"","I've got a favor to ask. I want a cool
hat. Please buy me one!","喂，我有事要拜託你。我想要帥氣的
帽子飾品……拜託你，買給我吧！","","이봐, 너한테 부탁이 있어. 멋진 모자 액세서리를
갖고 싶거든…부탁해, 사다줘!","Ich will dich um einen Gefallen bitten.
Bitte kauf mir eine coole Kopfbedeckung!"
1326,"","This may seem like a weird question, but
do you go to school?","嗚，雖然很突然……你真的有好好去上學嗎？","","이봐, 당연한 질문이겠지만…넌 학교에 제대로
다니고 있는 거야?","Vielleicht ist das eine seltsame Frage,
aber gehst du zur Schule?"
1409,"","You're a hacker, right? Hackers are
special. I hope you can teach me things.","你是駭客對吧？　我聽說駭客有特殊的技能，
希望你能教我啊。","","너는 해커지? 해커는 특수한 기술을 쓴다고
들었는데 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Hacker sind
was Besonderes. Bitte bring mir was bei."
1422,"","I heard they sell stylish accessories
called hats. I wish I had one.","那個，我聽說有在賣時髦的飾品。
好像是帽子……真好，好想要喔～","","있잖아, 화려한 액세서리를 팔고있다고 들었어.
모자였는데…좋겠다아, 갖고싶다아~","Ich habe von modischen Accessoires wie
Kopfbedeckungen gehört. Ich will eine."
1426,"","I want to ask you something. Is school
fun?","對了，我有事想問你。
你去上學開心嗎？","","맞아, 묻고 싶은 게 있는데.
너는 학교 다니는게 재미있어?","Ich möchte dich etwas fragen. Macht die
Schule Spaß?"
1509,"","You're a hacker, right? You must be
smart. Please teach me stuff.","那個，你是駭客……對吧？　駭客很聰明吧？
下次請教我各種事情喔。","","저기, 너는 해커…였었지? 해커란 건
머리가 좋잖아? 다음에 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Du bist sicher
schlau. Bitte bring mir was bei."
1522,"","Hey, can you buy me a hat accessory? I
want to make myself stand out!","聽我說聽我說！　你能買帽子飾品給我嗎？
我想變時髦，讓自己跟其他數碼寶貝不一樣！","","저기저기, 모자 액세서리를 사다주지 않을래?
멋을 부려서 다른 디지몬과 처별화하고 싶으니까!","Kannst du mir eine Kopfbedeckung
kaufen? Ich will auffallen!"
1526,"","By the way, do you go to school?","對了，你有好好去上學嗎？","","그러고보니 너는 학교엔 제대로
다니고 있어?","Gehst du eigentlich zur Schule?"
1609,"","Some humans called hackers are really
good with computers. Are you one?","人類裡，似乎有精通電腦技術，
名為駭客的人呢，你也是駭客嗎？","","인간 중에는 해커라고 하는 컴퓨터 기술에 뛰어난
분들이 있다고 하더군요. 당신 역시 그렇습니까?","Manche Hacker-Menschen sind gut im
Umgang mit PCs. Du auch?"
1622,"","I want a new accessory... A stylish hat.
How about it?","那個，我想要新的飾品。
就是時髦的帽子……可以嗎？","","저어, 새로운 액세서리를 갖고 싶습니다.
화려한 모자입니다만…안되겠습니까?","Ich möchte ein neues Accessoire ... Eine
modische Kopfbedeckung. Was meinst du?"
1626,"","I've got a question: Are you still in
school?","我有問題，你有好好去上學認真讀書嗎？","","질문입니다만 당신은 제대로 학교에 다니며
공부하고 있습니까?","Ich habe eine Frage: Gehst du noch zur
Schule?"
1701,"","Don't worry! Just take it easy.","不用擔心啦！　就輕鬆上吧。","","걱정하지 않아도 돼! 편하게 가자.","Keine Bange! Mach dir keinen Stress."
1702,"","I'll think about it if you get stronger.
Keep up the training.","變得更強之後我會考慮的。
特訓加油喔。","","좀 더 강해진다면 생각해볼게.
특훈 열심히 해.","Wenn du stärker wirst, überlege ich es
mir. Trainiere weiter."
1703,"","Oh, did you have a strange dream? Tell
me what it was if you can remember it.","喔，真是有趣的夢想。要是想起來要告訴我喔。","","헤에, 재미있는 꿈인가. 떠오르면 가르쳐줘.","Hattest du einen seltsamen Traum? Erzähl
ihn mir, wenn du dich noch erinnerst."
1704,"","You woke up early? Wow, I don't think I
could do that.","真早起床，真厲害。
我也得學習……","","빨리 일어났구나. 굉장한걸.
나도 본받아야겠어…","Du bist früh aufgestanden? Ich glaube
nicht, dass ich das könnte."
1705,"","You'll get used to it and then start
enjoying yourself!","之後習慣了就會開始有趣了喔！","","조만간 익숙해지면 재미있을거래두!","Du gewöhnst dich daran und dann fängt es
an, Spaß zu machen!"
1706,"","Okay, I'll think of something.","我知道了，要想想喔。","","알았어. 뭔가 생각해 볼게.","Okay, ich lasse mir etwas einfallen."
1707,"","I'm fine as long as I have Hudie and all
of you.","有hudie的大家跟你在，沒問題的。","","후디에의 동료와 너희가 있으니까 괜찮아.","Solange ich Hudie und euch alle habe,
ist alles in Ordnung."
1708,"","You've done so much for me; I wouldn't ask 
you to do something like that! Hang in there.","因為很受你照顧，就別說這種話啦！
好啦，加油吧。","","신세를 지고 있으니까 그런 말 하면 안되지!
자자, 열심히 해봐.","Du hast so viel für mich getan. So etwas
würde ich dich nicht fragen! Halte durch."
1709,"","You're still new to hacking. If you have
any questions, I'll answer at the farm.","還是新人駭客呢。有問題的話，
下次到數碼農場時跟我說吧。","","아직 신출내기 해커지만 말이지. 질문이 있다면
다음에 팜에 갔을 때 들어줄게.","Du bist noch neu beim Hacken. Hast du
Fragen, stelle sie auf der Farm."
1710,"","Nice. I wanna lie down and sunbathe too.","真好啊，我也想一起躺著做日光浴……","","좋겠다아. 나도 같이 뒹굴면서 일광욕하고 싶어…","Schön. Ich möchte mich auch hinlegen und
sonnen."
1711,"","Are you okay? You should get some rest
and recover.","沒事吧？　今天就早點休息吧，要早點康復喔。","","괜찮아? 이번엔 푹 쉬고 빨리 나아야해.","Geht es dir gut? Du solltest dich
ausruhen und erholen."
1712,"","Things I like? I'm into lots of stuff.
We should talk about it sometime.","喜歡的東西……食物跟興趣等，有很多很多事喔。
之後慢慢說給你聽。","","좋아하는 거라…먹을 것이나 취미 같은 게 이것저것 있어.
다음에 느긋하게 얘기해보자.","Was ich mag? Viele Sachen. Wir sollten
mal darüber plaudern."
1713,"","It might be tough, but do your best!","大概會很辛苦，但加油喔！","","힘들지도 모르겠지만 화이팅!","Es mag zwar nicht einfach sein, aber gib
dein Bestes!"
1714,"","Don't push yourself too hard. It's
important to keep up your training.","不能太亂來喔。
訓練要持之以恆才是最重要的。","","너무 무리하면 안 돼.
트레이닝은 계속하는 것이 중요하다고 생각해.","Übernimm dich nicht. Es ist wichtig,
dein Training fortzusetzen."
