ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,3002,,"Hai fegato a invadere il
nostro territorio! Ti faremo pentire di esserti
messo contro di noi!","你，竟然敢來我們的地盤搗亂還真是有膽量啊！
要讓你後悔，當初來找我們的碴啊！！！",,"너, 우리 구역을 망치다니 배짱도 참 좋구만!
우리한테 싸움을 건 걸 후회하게 해주마아아아아!!","Ihr habt ja Nerven, in unserem Revier
aufzukreuzen! Es wird euch leidtun, dass ihr euch
mit uns angelegt habt!"
1,3002,,"Non montarti la testa!
Ti schiaccerò come il perdente che sei!","你不要給我太得意忘形喔，啊啊！？
你那若無其事的路人臉，看我還不把它給弄爛！！",,"이 자식 기어오르지 말라고, 아앙!?
그 점잖은 척하는 잔챙이 얼굴, 와지끈 부숴주겠어!!","Werd bloß nicht frech!
Ich werde dich zermalmen, du Loser!"
2,3002,,"Un hacker potente significa Digimon potenti!
Ti farò vedere quanto sono forte, moccioso!","只有在健全的駭客下，才能夠培育出健全的
數碼寶貝！就讓我來教教你這像豆芽菜一樣
的傢伙吧！",,"건전한 해커 밑에서 건전한 디지몬이 자란다!
약해빠진 네게 가르쳐주마!","Starke Hacker haben starke Digimon! Ich werde
dir zeigen, wie stark ich bin, du Winzling!"
3,9366,,"Siamo i più forti e cattivi di EDEN!
Siamo i Dinosauristi! Ti faremo provare la
vera paura!","我們是EDEN最強最可怕的！　「恐龍教」！
就讓你徹底瞧瞧我們的厲害！！",,"EDEN 최강이며 가장 무서운!「다이노소어교」다!
뼛속까지 맛봐주겠어!!","Wir sind die stärksten und gemeinsten in EDEN!
Wir sind Dinosauristen! Wir zeigen dir, was
Angst ist!"
4,9159,,"La nostra ardente passione è
inarrestabile! Il Team Potenza di Fuoco
brucerà il nemico!","燃燒炙熱胸口的這份氣勢，任誰也無法阻止！
隊伍「火焰熱力」猶如爆裂般地燃燒吧！",,"뜨겁게 가슴을 태우는 이 정열의 기세는 아무도 막을 수 없어!
팀「파이어 파워즈」폭렬적으로 불태우겠어!","Unsere brennende Leidenschaft ist nicht
aufzuhalten! Team Firepower wird den Feind
einäschern!"
5,9164,,"Guarda che muscoli fantastici, fra'!
Prurito di allenamento! Pensi di poter
gestire Muscle Gym?!","寄宿在鍛鍊肌肉的強悍靈魂！
揮灑的汗水相當美麗！
「肌肉健身房」，登場！！",,"단련된 근육에 깃드는 것은 강인한 영혼!
날리는 땀은 아름답다!「머슬 짐」, 간다!!","Zieh dir meine Muckis rein! Die juckt es nach
einem Workout! Denkst du, du kommst gegen
Muscle Gym klar?!"
6,9157,,"Bene, bene, bene. Se non è il capo
degli Hudie! Ti sbagli di grosso se pensi di
avere una possibilità contro di me!","什麼嘛，hudie的頭子沒來啊。
區區一個廢物，根本不是我的對手啊！！",,"뭐야, 후디에의 톱이 나온 게 아닌 건가.
잔챙이 따윈 내 적수가 아니라고!!","Na sieh mal einer an. Wenn das nicht Hudies
Oberboss ist. Du irrst dich, wenn du glaubst,
du hättest eine Chance gegen mich!"
7,9157,,"Quanti dei miei amici hai sconfitto per
arrivare fin qui? Non importa. È ora che io veda
quanto sei bravo realmente!","來到這裡為止，你打倒了我多少伙伴啊？
沒關係啦。你的實力，就由我親自確認！",,"여기에 오기까지 몇 명의 동료를 쓰러뜨린 거야?
뭐 됐어. 당신 실력은 내가 확인해주겠어!","Wie viele meiner Freunde hast du besiegt, um so
weit zu kommen? Egal. Jetzt will ich mal sehen,
wie gut du wirklich bist!"
8,9157,,"Pensi davvero di essere un avversario degno
di me? Avanti allora! Mostrami cosa sai fare!","憑你也能當我的對手？
好吧，允許你上！！",,"당신 따위가 날 상대할 수 있을까?
좋아, 덤벼봐!!","Du denkst wirklich, du bist ein würdiger Gegner
für mich? Dann mal los! Zeig mir, was du kannst!"
9,9157,,"C'è chi è forte e chi è debole. Noi
siamo le Strisce di Nakano! Ti mostreremo
tu chi sei!","命運是劃清是非的黑與白……我們是
「中野條紋」！究竟哪邊比較強，
該來明辨黑白是非！",,"운명은 빛과 어둠을 가른 백과 흑……우리「나카노 스트라이프스」!
어느 쪽이 강한지 흑백을 가려보자고!","Es gibt Starke und es gibt Schwache. Wir sind die
Nakano Stripes! Wir zeigen dir, zu welcher Sorte
du gehörst!"
10,9363,,"Il Circolo del Coniglio governa la notte. E stasera,
danziamo in celebrazione della tua morte.","在月夜的輝映下……閃耀神秘的兔子「兔籠」。
……今宵，與你共舞死之舞……",,"달밤에 비춰지며……빛나는 신비의 토끼「래빗 서클」.
……오늘 밤, 당신과 죽음의 춤을 춰줄게……","Die Nacht gehört Rabbit Circle. Und heute Nacht
tanzen wir auf deinem Grab."
11,9360,,"Abbiamo scioccato più di un hacker! E oggi, il
Tokyo Shock Groove ti farà vivere momenti
indimenticabili!","在眾多的駭客的心上開一槍！！
「東京觸電嗨」，今天也要嗨起來喔喔喔──！！",,"수많은 해커의 마음을 쇼킹!!
「도쿄 감전 그루브」, 오늘도 기운차게 간다~!!","Wir haben schon viele Hacker geschockt! Und heute
zeigt dir Tokyo Shock Groove die Show deines
Lebens!"
12,9365,,"Quindi sei tu quello che ha invaso il nostro territorio.
Chiunque si metta sulla nostra strada deve essere eliminato.","在我們的地盤搗亂的人就是你嗎？
如果要打擾我們，只能在這驅逐你了。",,"우리 구역을 어지럽히는 건 바로 너로군.
우릴 방해하겠다면 여기서 제거하도록 하겠어","Du bist also in unser Revier eingedrungen.
Wer uns im Weg steht, wird ausgeschaltet."
13,3002,,"Vuoi sfidarmi? Dubito che otterrò
dei dati interessanti da questo.","你說想要挑戰我嗎？
這真是……感覺能取到無聊的數據呢。",,"나한테 도전하겠다는 거야?
이거……시시한 데이터를 얻을 수 있겠군","Du willst mich herausfordern? Daraus werde ich
wohl kaum interessante Daten erhalten."
14,9369,,"Purgheremo il cyberspazio dalla
stagnazione e dalla sporcizia. Noi siamo gli Steam Dealers,
protettori dell'ordine.","電腦世界的混濁及汙穢……必須淨化……哈啊。
秩序幕後的守護者「蒸氣領薪族」……哈啊。",,"전뇌세계의 고인 물과 더러움을……정화하라……쉬익~
질서 이면의 수호자「스팀리맨」……쉬익~","Wir werden Stillstand und Schmutz aus dem
Cyberspace verbannen. Wir sind die Steam Dealers,
Wächter der Ordnung."
15,3002,,"Affrontiamo le contraddizioni di questo
mondo! Ci opponiamo fermamente alle tue
battaglie.","我們是對抗這世界上矛盾的「尖刺與大盾」！
對你的戰鬥提出異議。",,"이 세상의 모순에 맞서는 우린「호코타테」!
너의 배틀에 이의를 제기한다","Wir zeigen die Widersprüche dieser Welt auf!
Wir erheben ausdrücklich Einspruch gegen deine
Kämpfe."
16,9162,,"Noi Amanti delle Ruote non siamo mai senza le nostre
fidate ruote! Se non ti togli di mezzo, ti falceremo!","世界中的旅行都與輪圈共同！
我們是「輪圈愛好家」！！
不讓路的話，就把你給彈飛喔！",,"세계여행을 휠과 함께! 우리「휠 애호가」!!
길을 비키지 않으면 날려버리겠어!","Wir Wheel Lovers sind nie unmotorisiert unterwegs!
Aus dem Weg, oder wir mähen dich nieder!"
17,3002,,"Ehehehe, pensi davvero di potermi
battere? Presto ti pentirai del tuo ingenuo
ottimismo.","呼呼呼，你以為贏得了我嗎？
你那天真的想法，之後可會後悔喔。",,"후후후, 나를 이길 수 있다고 생각하는 거니?
그 물러터진 생각, 나중에 후회하게 될 거야","Hehehe, glaubst du wirklich, du kannst mich
schlagen? Diesen blinden Optimismus wirst du bald
bereuen."
18,3002,,"Questo non è un posto per bambini. Ti
darò una lezione per essere stato così sciocco.","這裡不是小朋友可以來的地方喔。
無知的你，就讓我來好好的懲罰你。",,"여기는 어린애가 와도 되는 곳이 아니야
말귀를 못 알아먹는 네겐 내가 벌을 주도록 할게","Kinder gehören hier nicht hin. Ich werde dir
eine Lektion erteilen für deinen Leichtsinn."
19,9368,,"Siamo i fiori curativi di EDEN. Siamo Angeli
Leggendari! Ehehehe, e ora vi mandiamo
all'ospedale!","於EDEN中盛開的治癒花朵，
我們是「傳說天使」。
呵呵呵，讓我送你進醫院吧。",,"EDEN에 피는 치유의 꽃들, 우리는「레전드 천사」.
우후후, 당신을 병원으로 보내주도록 하겠어","Wir sind die heilenden Blumen EDENs. Die Legend
Angels! Hehehe, und jetzt ab ins Krankenhaus mit
dir!"
20,9151,,"Noi siamo gli Animali Oceanici! Come la forza bruta delle onde,
siamo una forza da non sottovalutare!","海水的閃爍是夢的光芒。
「海洋動物群」，乘上網路的海浪！",,"바다의 스팽글은 꿈의 반짝임.
「오션 애니멀즈」, 인터넷의 파도에 라이드 온!","Wir sind die Ocean Animals! Wir sind kraftvoll
wie die Wogen der See!"
21,9160,,"In sintonia con gli alberi, ora è il momento di
risvegliarci dal nostro profondo sonno. Siamo le Ragazze
della Foresta! Ora sentite la nostra potenza!","與樹木一同沉睡，如今正是甦醒之時。
「森林女孩」，將解放這份思念。",,"나무들과 함께 깊은 잠에서 지금이야말로 깨어날 때,
「포레스트 걸즈」, 지금 이 마음을 해방합니다","Wir sind eins mit den Bäumen. Jetzt ist die Zeit,
aus unserem Tiefschlaf zu erwachen! Wir sind
die Forest Girls! Spüre unsere Kraft!"
22,9167,,"Una mente aperta porta a grandi
cose. Ora vediamo proprio cosa
possiamo fare.","心靈寬裕～時間充裕～
我們是「展翅高飛隊」喔～
讓你們看看大人的從容吧～",,"마음의 여유는~ 시간의 여유~,「날개 편 부대」야~
어른의 여유를 보도록 해~","Eine offene Gesinnung schafft großartige
Möglichkeiten. Und jetzt schau nur, was wir
können."
23,3002,,"Mwahaha! Copriremo tutto di cacca! Se
proverai a fermarci, ti tratteremo come un
nemico!","嗚哈哈哈哈！　讓你全身上下都沾滿那個！
想要阻止我的話，你就是敵人～！！",,"우햐햐햐햐! 여기저기 그거투성이로 해주마!
방해한다면 너는 적이다~!!","Muahaha! Wir bedecken alles mit Kacke! Wenn du
versuchst, uns aufzuhalten, behandeln wir dich als
Feind!"
24,3002,,"La gente dice che la cacca è disgustosa; non potrebbero
sbagliarsi di più. Ti mostreremo quanto è fantastica!","大家都覺得那個東西很髒，這也太奇怪了！
好好領會一下那個的偉大性～！！",,"모두 그거 따위 불결하다고 하는데, 이상하다고!
그것의 위대함을 깨달아라~!!","Die Leute sagen, Kacke wäre eklig. Da haben sie so
unrecht! Wir zeigen dir, wie toll die ist!"
25,9364,,"Amiamo i Digimon sporchi! L'Alleanza della Polvere ti
farà realizzare quanto può essere fantastica la sporcizia!","我們是最喜歡髒髒數碼寶貝的！！
「塵埃同盟」，來教教你汙物的厲害！！",,"우리가 좋아하는! 더러운 디지몬!!
「더스트 동맹」이 오물의 굉장함을 가르쳐주마!!","Wir mögen dreckige Digimon! Die Dust Alliance
wird dir zeigen, wie schön Schmutz sein kann!"
26,3002,,"Questo è il nostro castello! Ragazzi sfigati non
ammessi!","這裡是我們的城堡！
拒絕路人臉男子！",,"여긴 우리 성이야!
얼굴이 흔해빠진 남자는 사양이라고!","Das ist unser Schloss! Kein Zutritt für doofe
Jungs!"
27,3002,,"Odio i ragazzi! Sono rumorosi,
fastidiosi, disordinati e disgustosi!","男生真的都太討人厭了！！
又吵、又孩子氣、也不會打掃，
真是太糟糕了啦！",,"남자 따위 정말 싫어!!
시끄럽고, 어린애고, 청소도 안 하고, 야만스러워!!","Ich hasse Jungs! Sie sind laut, nerven, machen
Schweinerei und sind eklig!"
28,9158,,"Il mio cuore batte forte mentre cerco il
mio principe designato! Ecco Giovane di Cuore!","在小小的胸中懷抱著憧憬，
要去跟命運的王子殿下見面！
你也對「童心」著迷就好！！",,"작은 가슴에 두근거림을 안고서 운명의 왕자님을 만나러 가겠어!
당신도「하트 오브 차일드」에 빠지도록 해!!","Mein Herz schlägt höher, wenn ich meinen mir
bestimmten Prinz suche! Seht: Young at Heart!"
29,3002,,"Oh, questo cliente qui vorrebbe uno dei
nostri sorrisi da 100.000 yen! ...Ora paga o
sparisci!","這位主人大人，點了付費笑容一個☆
……是10萬元，付不起的話就給我快滾！！",,"이쪽 주인니임, 유료 스마일 1개 주문입니다~♥
……10만엔, 낼 수 없으면 냉큼 나가!!","Oh, dieser Kunde hätte gerne ein Lächeln für
100 000 Yen! ... Jetzt bezahl oder mach die
Fliege!"
30,3002,,"Guardaci. Lasciati incantare dalla nostra
bellezza! Quindi ora farai tutto quello che
diciamo, giusto?!","給大哥哥，一個最特別的萌萌小愛心～☆
怎麼樣？　你已經對我們著迷了吧！？",,"오빠한테, 스페셜한 모에모에 콩콩~♥
어때? 이걸로 이제 우리의 포로지!?","Sieh uns an. Lass dich von unserer Schönheit
verzaubern! Jetzt tust du, was wir sagen,
nicht wahr?!"
31,9361,,"Padrone, Cat Ears stava
aspettando con ansia il tuo arrivo! Sarà un piacere
servirti!","盼望主人的愛撒嬌小貓咪，「萌萌貓耳」！
誠心誠意的為您服務喵☆",,"주인님을 애타게 기다리는 어리광쟁이 아기고양이,「캣 이어」!
성심성의껏 봉사해드리겠습니다냥♥","Cat Ears hat deine Ankunft schon
erwartet! Es wird uns ein Vergnügen sein, dir zu
dienen!"
32,3002,,"Mi sembri un appassionato di film
horror. Penso che andremo d'accordo.
Vuoi vedere il mio Digimon spaventoso?","你該不會很喜歡恐怖片吧。我們好像很合……
就讓你看看我那恐怖的數碼寶貝吧？
……呵呵呵。",,"당신, 혹시 호러 좋아하니? 마음이 맞을 것 같네…….
내 무서운 디지몬을 보여줄까? ……우후후","Du siehst aus, als würdest du Horrorfilme mögen.
Ich glaube, wir werden uns verstehen.
Willst du meine schaurigen Digimon sehen?"
33,3002,,"Vuoi vedere il mio vero volto? Forse
quello potrà essere la tua ricompensa se mi batterai?","想看我的素顏嗎？
那這樣吧，如果你贏我的話，
我就作為獎勵給你看看吧～？",,"내 민낯이 보고 싶어?
그럼 승부에서 이기면 상으로 보여주도록 할까~?","Willst du mein wahres Gesicht sehen?
Vielleicht zur Belohnung, falls du mich schlägst?"
34,9362,,"Le Cameriere Mascherate abbracciano il lato oscuro
di EDEN. Ti daremo uno spavento che non
dimenticherai presto!","與狂氣共同生存於EDEN中的闇系少女
「假面女僕」……
我會在你心中烙印下無法忘記的恐怖……！",,"광기와 함께 EDEN을 살아가는 어둠 계열 소녀「마스크 메이드」…….
네 마음에 잊을 수 없는 공포를 새겨줄게……!","Die Masked Maids nehmen die dunkle Seite EDENs an.
Wir erschrecken dich so, dass du es nicht so
bald vergisst!"
35,3002,,"Hai un bel coraggio a sfidarmi! Lascia che ti
mostri il mio approccio unico al
servizio clienti!","哼～　竟敢挑戰兼職領班的我，
膽子還真大啊！可以呀，就讓你看看
我的終極“待客七大奧義”……！",,"후훗, 알바 리더인 내게 도전하다니 좋은 배짱이네!
좋아, 내가 마스터한 ""접객 7대 오의""……보여주겠어!","Ganz schön dreist, mich herauszufordern! Ich zeige
dir meinen einzigartigen Ansatz beim
Kundendienst!"
36,3002,,"Sei tu il nuovo aiuto?
Ti avviso, sono molto severo!","你就是新來的打工？
我們這裡很嚴格喔，做好心理準備吧！",,"네가 신입 알바 군?
우리는 스파르타야. 각오하도록 해!","Bist du die neue Teilzeitkraft?
Ich warne dich, ich bin sehr streng!"
37,9166,,"Per il miglior uno contro uno, non puoi battere il
101! Come proprietaria, il mio servizio clienti è leggendario! Oggi
è il tuo giorno fortunato!","最適合你喔♪　唯一就選「101」！
由我這鑽研待客服務的店長來當您的對手吧！",,"당신에게 딱♪ 온리 원이라면「원 오 원」!
접객에 통달한 점장인 제가 당신을 상대해드리지요!","Hier bei 101 kennen wir das Einmaleins der
Kundenfreundlichkeit! Unsere ist legendär! Heute
ist dein Glückstag!"
38,3002,,"Chiudi il becco, moccioso! Devi essere
qui per una battaglia Digimon? Sarà un piacere per me.","閉嘴，小毛頭！
你是為了決鬥數碼寶貝才來到這的吧？
讓我來當你的對手吧。",,"닥쳐라, 애송이가!
디지몬 승부를 하러 온 거겠지? 상대해주마","He, Mund zu! Du bist wohl wegen eines
Digimon-Kampfs hier? Wird mir ein Vergnügen."
