ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
20000,2000,,(Non è il momento di deviazioni.),（…不是閒晃的時候）,,(…딴 길로 샐 때가 아니야),(Das ist jetzt nicht der Zeitpunkt für Umwege.)
20002,2000,,"Ho finito il caso, ma devo
vedere Yu al K-Cafe.","雖然委託已經完成了，
但是還得去K-Café找優才行……",,"의뢰는 달성했지만
K-카페에 있는 유우를 만나러 가야겠지……","Ich habe den Fall abgeschlossen, muss aber noch
Yu im K-Café treffen."
20003,2000,,Meglio chiedere a qualcuno di questi hacker cosa sta succedendo.,跟附近的駭客打聽消息吧,,주변 해커의 이야기를 들어보자,"Ich sollte diese Hacker fragen, was los ist."
20004,2000,,Sembra qualcosa di cui Yu dovrebbe occuparsi.,這裡就交給優了,,이쪽은 유우에게 맡기자,Das sieht nach einer Angelegenheit für Yu aus.
20005,2000,,"Non c'è bisogno dell'Agenzia
Investigativa per ora.",現在沒有事要去偵探事務所,,지금은 탐정 사무소에 볼일은 없다,"Momentan gibt es für mich nichts zu
tun im Detektivbüro."
20006,2000,,"(Suppongo che la BBS non abbia casi particolarmente
importanti al momento.)",（目前沒有重要委託發到BBS的樣子）,,(지금으로선 중요한 의뢰는 BBS에 오지 않은 것 같다),"(An der ATL gibt es wohl aktuell keine allzu
dringenden Fälle.)"
20007,2000,,(Forse è ora di chiedere a Mirei cosa sta succedendo.),"（去問問米蕾有沒有哪裡
　發生事件吧）",,"(어딘가에서 사건이 일어나지 않았는지
 미레이에게 물어보러 가자)","(Vielleicht sollte ich Mirei fragen, was los ist.)"
20008,2000,,"(Sembra che io possa accettare casi dalla BBS proprio
come sempre con questo PC.)","（BBS的委託就跟以往一樣，
　從這裡的PC來接）",,"(BBS 의뢰는 지금까지 그랬듯이
 여기 둔 PC로 받을 수 있을 것 같다)","(Mit diesem PC kann ich wohl wie gewohnt Fälle
vom ATL übernehmen.)"
20009,2000,,"(...o potrei una volta che ci siano casi 
importanti da affrontare, comunque.)","（但就算這麼說，目前
　好像沒有重要委託發到BBS上）",,"(그렇다고는 해도 지금으로선
 중요한 의뢰는 BBS에 오지 않은 것 같다)","(... Zumindest, sobald es wichtige Fälle gibt.)"
20010,2000,,"(Non è il momento di
accedere a EDEN.)",（現在不是登入EDEN的時候）,,(지금은 EDEN에 로그인하고 있을 때가 아냐),"(Das ist nicht der Zeitpunkt, sich in EDEN
einzuloggen!)"
