ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2020,,"(Dovrei trovare tutto sulla lista a Ikebukuro. Vado a ""Tokyo Handy"".)","（購物清單上的東西，池袋應該都有。
　先去東京手創館看看吧）",,"(구매목록에 있던 것은 전부 이케부쿠로에서 살 수 있을 거야.
 일단은 도쿄 핸디에서 심부름을 끝마치자)","(In Ikebukuro sollte ich alles auf der Liste
bekommen. Ich gehe zu „Tokyo Handy“.)"
510,9108,,"Ah, questo è il signor Navit, che fa anche PR nel mondo reale. Che senso degli affari! Potresti imparare qualcosa da lui!","喔，這不是NAVIT嗎。連在現實世界
都在宣傳啊，還真是厲害的業務魂！
你也給我學習一下啊！",,"오오, 내빗군이잖아.
현실세계에서도 PR하다니, 역시~ 대단한 영업정신이야!
너도 잘 보고 배우라고!","Ach, das ist Herr Navit, der auch in der echten
Welt PR macht. Was für ein Geschäftssinn!
Du könntest etwas von ihm lernen!"
511,9109,,È il signor Navit? Non credo. Sono persino piuttosto sicuro che non sia lui!,"那、那個是NAVIT嗎！？
怎麼感覺不太一樣！？
一定不太一樣吧！？",,"아, 아니 내빗군이라구요!?
뭔가 다르지 않슴까!?
완전 아닌 것 같지 않슴까!?","Ist das Herr Navit? Ich glaube nicht. Ich bin mir
sogar ziemlich sicher, dass er es nicht ist!"
512,9101,,Che schifo! Cos'è quel coso brutto dietro di te?!,"呀！
後面那個噁心的東西是什麼！？",,"꺄악!
뒤쪽에 있는 징그러운 건 뭐야!?","Igitt! Was ist denn das hässliche Ding hinter
dir?!"
513,9105,,"Vuoi sapere qualcosa del signor Navit? Vorrei poterti aiutare, ma non ne ho idea. Hm?","你想要知道後面的NAVIT的事情？
……雖然我也想告訴你，但我也不曉得喔。
那是什麼東西！？！？",,"뒤쪽의 내빗군에 관해서 알고 싶은 거야?
…알려주고 싶지만 나도 잘 모르겠어
뭐야 저건!?!?","Du willst etwas über Herr Navit wissen? Ich
wünschte, ich könnte dir helfen, aber ich
habe keine Ahnung. Hm?"
514,9103,,"Abbiamo un gioco completamente nuovo...
Ehi! Dietro di te!","這裡有新的街……咿！
後、後、後、後面……！！！",,"신작 아케이드 게임도 취급하고 있…히익!
뒤, 뒤, 뒤, 뒤에…!!","Wir haben ein ganz neues Spiel ...
Hey! Hinter dir!"
515,9104,,"È quello... il signor Navit?! In qualche modo, sembra diverso.","喔，不是……NAVIT！？
好像跟我知道的NAVIT不太一樣！？",,"오오, 내빗군……이 아니잖아!?
내가 아는 내빗군이 아닌 것 같은데!?","Ist das ... Herr Navit?! Irgendwie sieht er anders
aus."
516,9106,,Guarda qui. I bambini giocano con il Signor Navit. Che carino.,"哎呀哎呀，小朋友正在跟NAVIT玩鬼抓人。
看了好療癒啊。",,"오 이런, 아이가 내빗군과 
술래잡기를 하고 있네.
흐뭇하구먼","Schau dir das mal an. Die Kinder spielen mit Herr
Navit. Wie süß."
710,4121,,Passo in rassegna le informazioni che abbiamo finora...,整合了一下目前為止的資訊……,,여기까지의 정보를 정리해보면…,"Ich gehe die Informationen durch, die wir bisher
haben ..."
711,4121,,Il Navit-san a Ikebukuro ama le apparizioni e segue spesso le persone.,"池袋的NAVIT很喜歡表演，
有尾隨跟蹤人類的習性。",,"이케부쿠로의 내빗씨는 퍼포먼스를 좋아하고
사람 뒤를 시종일관 쫓아다니는 생태를 가지고 있다","Der Navit-san in Ikebukuro mag Auftritte und folgt
oft Leuten."
