"ID","Speaker","Japanese","English","Chinese","EnglishCensored","Korean","German"
"1","4116","","I miei sogni... Sono tutti...
Senza di essi... non riesco più a disegnare...","怎麼會這樣……我的夢想……
沒有它……我就再也畫不出來了……","","그럴 수가… 내 꿈이…
그게 없으면… 더 이상, 그릴 수 없어…","Meine Träume ... Sie sind alle ...
Ohne sie ... kann ich nicht mehr zeichnen ..."
"2","2000","","...","………","","………","..."
"3","3004","","Nishino...
Non vedevo l'ora di leggere il tuo manga.","西野小姐……
我其實很期待妳的漫畫的……","","니시노 씨…
나, 당신의 만화, 꽤 기대하고 있었다고…?","Nishino ...
Ich hatte mich so auf dein Manga gefreut."
"4","3004","","Ti piace disegnare manga, vero?","妳熱愛畫漫畫的那種感覺……","","어쨌든 만화를 그리는 걸 정말 좋아한다는 그 느낌이…","Du zeichnest doch gerne Manga, oder?"
"5","3004","","Ero invidioso perché sembra che sia
davvero divertente. Ma posso solo leggerli.","因為我只會看漫畫，所以我一直很羨慕妳……
可以享受畫漫畫的樂趣。","","난 읽기만 하니까 말이야, 그렇게도 즐길 수 있는 당신이
부럽다고, 생각했었어","Ich war neidisch, weil es aussieht, als würde es
wirklich Spaß machen. Aber ich kann sie nur lesen."
"6","4116","","...","………","","………","..."
"7","3004","","Non riesco proprio a credere che sia
andata così. NON VOGLIO crederci.","只是沒想到事情會變成這樣……
我真不敢相信……我根本不想相信……","","그게, 이런 일이 되다니…
솔직히 못 믿겠다고 할까, 믿고 싶지 않다고 할까…","Ich kann wirklich nicht glauben, dass das so
gelaufen ist. Ich WILL es nicht glauben."
"8","3004","","Non l'ho mai capito, Nishino.","沒有注意到，我很抱歉。西野小姐……","","눈치채지 못해서 미안해, 니시노 씨","Ich habe es wohl nie verstanden, Nishino."
"9","4116","","Sanada...
Volevo solo... che tutti si
divertissero...","真田……
我……只是……想讓大家開心……","","사나다… 군…
난… 그저, 모두가… 즐겨 줬으면 해서…","Arata ...
Ich wollte nur ... dass alle Freude daran
haben ..."
"10","4116","","Ma dentro di me qualcosa si è accumulato...
Non potevo sopprimerlo...","可是我心中……有某個東西一直在膨脹……
停不下來……","","하지만, 내 안에서… 무언가가 부풀어 올라서…
멈추지, 못했어…","Aber in mir hat sich etwas angestaut ...
Ich konnte es nicht unterdrücken ..."
"11","4116","","Perché mai? Dimmi perché!","為什麼……為什麼我會……","","어째서…… 나, 어째서……","Warum nur? Sag mir warum!"
"12","2000","","Ah?!","！？","","!?","Ah?!"
"13","3004","","Non va bene. SCAPPA!","不好！快逃……！！","","위험해, 도망쳐…!!","Gar nicht gut. LAUF!"
"14","4116","","Eh?","咦……？","","……에?","Wie?"
"15","4116","","Ah, ah... Aaaaaaaaargh!!!","啊、啊……啊啊啊啊啊啊啊啊……！！","","아, 아… 아아아아아아아아아아아…!!","Ah, ah ... Aaaaaaaaargh!!!"
"16","3004","","N-Nishino?!","西、西野小姐……！？","","니, 니시노 씨…!?","N-Nishino?!"
"17","3004","","Mostro!
Come hai potuto?!","可惡……！ 
饒不了你！","","…큭, 이 자식!
용서 못해!","Ungeheuer!
Wie konntest du nur?!"
"18","2000","","...!!!","……！！","","…!!","...!!!"
