ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3005,"","Now what?
Huh? Rie's Heart-Wrenching Diary?","這次又是什麼啦？
嗯？「里繪的心怦怦日記」？","","…이번엔 또 뭐야?
……응?「리에의 심쿵 일기」?","Was denn jetzt?
Wie? „Ries herzzereißendes Tagebuch“?"
2,3005,"","All right, let's see what you've got...
...","我看看……
……","","어디어디…
……","So, dann wollen wir mal sehen ...
..."
3,3005,"","It looks like the contents are encrypted.
It can't be. This is the confidential library?","內容好像被加密了，
該不會……這就是最高機密的函式庫？","","안쪽은 암호화되어 있는 모양이구만
설마… 이게 극비 정보의 라이브러리라는 거야?","Der Inhalt ist wohl verschlüsselt.
Das kann doch nicht sein! Wir sind doch schon
im vertraulichen Bereich!"
4,2000,"","!","！","","!","!"
5,2000,"","Come in! This is the secret room search squad!
Hey, y'all! This is Dendenken Ramen!
This is Arata's Neighborhood Watch.","你好！這裡是機密屋搜查隊！
您好！這裡是電電軒拉麵店！
這裡是“守護新搜索民宅協會”！","","네! 이쪽은 비밀의 방 수색대!
매번 감사합니다! 라~면 가게 덴덴켄입니다!
이쪽은, ""아라타 군의 집 안 수색을 지켜보는 모임""입니다","Hier ist der Geheimraum-Suchtrupp!
Guten Tag, was darf’s für eine Pizza sein?
Hier ist Aratas Nachbarschaftswache!"
6,3006,"","Are you two okay?!","你們兩個都沒事吧！？","","…둘 다, 무사한가!?","Geht es euch beiden gut?!"
7,2000,"","?","？？","","??","?"
8,3005,"","Has something happened, Kyoko?","發生什麼事了嗎？杏子姊！","","무슨 일 있었던 거야, 쿄코 씨!?","Ist etwas passiert, Kyoko?"
9,3006,"","It seems there was a disturbance at the preview.","更新體驗會上好像發生騷動了。","","업데이트 체험회에서 소란이 일어난 모양이다","Offenbar gab es einen Vorfall beim Schnupper-
Event."
10,3005,"","A disturbance? What's that supposed to mean?
At the preview venue?","騷動？怎麼了？
體驗會的會場嗎？","","소란? 대체 뭐야…?
…체험회의 회장이었지?","Einen Vorfall? Was heißt das denn?
Im Event-Raum?"
11,3005,"","Uh-oh!","這、這是！？","","이, 이건…!?","Auweia!"
