ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,"","...!","……！！","","……!!","...!"
2,3045,"","Argh...it's running away!","啊……要逃走啦！","","아……도망가잖아!","Argh ... Es läuft weg!"
3,3009,"","No need to chase it. I got all the data I need.","沒關係不用追，
我已經收集到足夠的數據了。","","추적하지 않아도 상관없습니다.
데이터는 충분히 모았으니까요","Du musst es nicht verfolgen. Ich habe alle
nötigen Daten."
4,3009,"","No abnormalities, despite direct contact...
It appears that the Digital Monsters have a
resistance to Eaters after all.","接近侵食者，也不會出現異常……
看來數碼寶貝果然對侵食者有抗性呢。","","이터와 접촉해도 이상은 없다라……
역시 디지털 몬스터는 이터에 내성을 가지고 있는 모양이군요","Trotz direkten Kontakts keine Anomalitäten ...
Anscheinend sind die digitalen Monster doch
gegen Verschlinger resistent."
5,3009,"","That fact alone is a significant dividend from the
battle. I thank you for your cooperation.","光是能知道這些，這場戰鬥就算有很大的收穫了，
感謝你們的協助。","","그걸 알아낸 것만으로도 이번 전투는 큰 수확이라고 할 수 있겠죠.
야아, 협력에 감사드립니다","Diese Tatsache allein ist eine wichtige Dividende
des Kampfs. Ich danke dir für deine Kooperation."
6,2020,"","...","…………","","…………","..."
7,3009,"","We also learned how to oppose them, and we can
perform a legitimate investigation--","知道對抗方法後，接下來要正式調查還有——","","대항 방법도 알아냈으니 이제부터 본격적으로 조사에――","Außerdem haben wir erfahren, wie man sie abwehrt.
Jetzt können wir eine gründliche Untersuchung ..."
8,7113,"","Hey, who's there?! Hurry up and take shelter!","喂，有誰在那！？
快點離開這裡去避難！","","어이, 거기 누구 있는 건가!?
빨리 거기서 피난해라!","He, wer ist da?! Schnell, bringt euch in
Sicherheit!"
9,3009,"","...I'm in no mood to let anyone interrupt my
investigation.","……我還不想被打斷調查呀。","","……아직 조사를 방해받고 싶지는 않군요","... Ich lasse nicht zu, dass jemand meine
Nachforschungen unterbricht."
10,3009,"","You two, go back already. Oh, and do keep my
involvement off the record, would you?","你們就快回去吧。
我的事情記得一定要保密喔……","","당신들은 이제 돌아가십시오.
저에 대한 건 부디 비밀로……","Ihr zwei, geht zurück. Und sagt niemandem, dass
ich euch geholfen habe, ja?"
11,3045,"","Wait! I'm not done talking!","等一下！　我還沒說完——","","기다려! 아직 이야기를――","Moment! Ich bin noch nicht fertig!"
12,3045,"","Ah...","啊……","","아……","Ah ..."
13,2020,"","?!","！？","","!?","?!"
14,3007,"","You're Ryuji's--! Erika, right?!","你是龍司那邊的——","","너는 류지의――","Du bist Ryujis ...! Erika, oder?!"
914,3007,"","Erika! It is you!","！！　這不是艾莉卡嗎！","","!! 
에리카가 아니냐!","Erika! Du bist es!"
15,3007,"","This is bad! I'll carry you out of here in a
hurry! Hey, you come, too!","這可不行……！　快點帶她出去！
喂，你也快跟上來！","","이거 위험해…! 서둘러 밖으로 옮긴다!
자, 너도 따라와!","Das ist gar nicht gut! Ich bringe dich hier
schnell weg! He, du kommst mit!"
16,2020,"","...","…………","","…………","..."
