ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,2020,"","I'd be lying if I didn't admit it was a shock...
the way Yu betrayed me...","說我沒被優的背叛所打擊──是騙人的。","","유우에게 배신당한 것이 충격은 아니었다――
고 하면 거짓말이 된다","Es wäre gelogen, wenn ich behaupten würde, nicht
schockiert zu sein ... Wie Yu mich verraten
hat ..."
2,2020,"","But I realized something.
It's harder to choose than to be chosen.","但是我開始這麼想：
要選擇誰，比被選擇更加困難。","","하지만 생각했다.
누군가를 선택하는 것은 선택받는 것보다 어렵다","Aber mir ist etwas klar geworden. Sich Leute
auszusuchen ist schwerer, als ausgesucht zu
werden."
3,2020,"","If your choice goes wrong, people laugh.
They say you chose wrong.","如果選擇造成不好的結果，
會受人恥笑，還會被人否定。","","선택한 결과가 일그러지면 사람은 웃는다.
틀렸다고 부정한다.","Wenn man sich falsch entscheidet, lachen sie.
Sagen, man hat eine schlechte Wahl getroffen."
4,2020,"","They don't know how much courage it took to make
that choice.","渾然不知做出選擇的背後，需要多大的勇氣。","","그 선택에 어느 정도의 용기가 숨겨져 있는지도 모르고","Dabei wissen sie nicht, wie viel Mut diese Wahl
erfordert hat."
5,2020,"","I was the one who thought no one would ever choose
him.","自以為沒有人會選擇自己的人，反而是我。","","누구에게도 선택받지 못하는 인간이라고 생각한 건 내 쪽이다","Ich dachte, dass niemand mich je haben wollen
würde."
6,2020,"","Boring, average me...
Yu killed that me.","不起眼、無趣……
什麼都不是的我，優毀了這樣的我。","","평범하고, 지루하고
아무것도 없었던 나를 유우가 죽였다","Langweilig und durchschnittlich ...
Aber Yu hat diese Person in mir vertrieben."
7,2020,"","So I told him the truth.","所以我想坦率地說：","","그래서 나는 솔직하게 전했다","Also habe ich ihm die Wahrheit gesagt."
8,2020,"","Thanks, I said.","謝謝你。","","고맙다, 고","Danke, habe ich gesagt."
9,2020,"","You chose me over lots of other people.","謝謝你在茫茫人海之中，選擇了我。","","많은 사람들 중 나를 골라줘서","Du hast dich für mich und gegen viele andere
entschieden."
10,2020,"","It may be a strange way of saying it, but...
if Yu hadn't chosen me, I wouldn't even be in
Hudie.","雖然這說法有點詭異……
但要是優沒有選擇我，現在我不會身在hudie。","","묘한 표현이지만……
유우가 나를 선택하지 않았다면 나는 지금 후디에에 없었다","Es klingt vielleicht seltsam, aber wenn Yu nicht
mich ausgesucht hätte, wäre ich gar nicht in
Hudie."
11,2020,"","So now it's my turn to live up to that choice.","所以，這次輪到我做選擇了。","","그러니 이번엔 내가 누군가의 선택에 응할 차례라고 생각한다","Jetzt liegt es also an mir, dem gerecht zu werden."
12,2020,"","That's why I'm going back.","為此，我會回去。","","그 때문에 나는 돌아간다","Deshalb kehre ich wieder zurück."
13,2020,"","I'm going to my new place.
To that place.","回去我新的歸屬，
回去那個地方。","","나의 새로운 거처
그 장소로","Ich gehe in mein neues Zuhause.
Dieses Zuhause."
