ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,3013,"","Oh my, have you wandered off and gotten lost?
It certainly looks that way...","唉呀，難不成你是迷失了方向嗎？
說的也是呢……","","어머 너, 혹시 길을 잃은 거니?
그러네…","Huch, bist du umhergelaufen und hast dich verirrt?
So wirkt es jedenfalls ..."
1001,3013,"","Hee hee... If you get lost again, do come back.","呵呵呵，如果你不知道接下來該怎麼辦的話，就再來找我吧。","","우후후, 만약 길을 잃으면 언제든 찾아 오렴","Hihi ... Wenn du dich wieder verirrst,
komm ruhig zurück."
1010,3013,"","But once again, we're out of time. Perhaps you
should get back to your real job, ""Cyber Sleuth""?","時候還沒到呢。
你只要繼續從事本行……繼續當你的偵探就行了吧？","","아직, 때는 되지 않았어
본직… 탐정 업무를 하면 괜찮지 않을까?","Wieder einmal läuft uns die Zeit davon. Vielleicht
solltest du dich um deinen richtigen
Job kümmern, „Cyber-Detektiv“?"
1020,3013,"","Why don't you take what you've learned back to
Kyoko? It isn't that I don't want to chat, but
there is someone you report to, and it's not me.","試著把獲得的情報告訴在事務所的杏子如何？
我不是不了解你想見我一面的心情，
但你應該報告的對象可不是我哦。","","입수한 정보를, 사무소의 쿄코에게 전해 주는 건 어때?
나를 보고 싶은 마음을 모르진 않지만,
네가 보고해야 할 상대는, 내가 아닐 거야","Warum berichtest du Kyoko nicht davon, was du
erfahren hast? Ich plaudere ja gern, aber es ist
dein Job, ihr Bericht zu erstatten."
1500,3013,"","I'll give you a good explanation of the terminals
here. So make sure you remember them all.","我來一一為你介紹這裡的設施。
你可要牢牢記住使用方法。","","이곳에 있는 시설에 대해, 하나하나 소개할게
사용법을 제대로 기억해 둬","Ich werde dir die Terminals hier gut erklären.
Ich hoffe, du wirst dich an alle erinnern."
1505,3013,"","I'm not finished explaining.","我還沒說明完哦。","","아직 설명 도중이야","Ich bin mit meiner Erklärung noch nicht fertig."
1510,3013,"","Have you understood the DigiLab?
Everything here is meant to assist you.
So please use them well.","你瞭解數碼實驗室了嗎？
這裡所有的東西都能幫上你的忙，
你要好好利用它們哦。","","디지랩에 관해서 이해가 됐을까?
이곳에 있는 것은 모두 네 힘이 되어 주는 것들이야
잘 이용하도록 하렴","Hast du das DigiLab verstanden?
Alles, was du hier findest, soll dir helfen.
Bitte setze es also klug ein."
1520,3013,"","You were heading to Kowloon, I suspect?
Just this once, I'll let you use the special exit.","你正在前往「Kowloon」嗎？
唯獨這次，我就破例幫你連接上出口吧。","","「쿠롱」으로 향하던 도중이었던 걸까?
이번 만은, 특별히 출구를 연결해 줄게","Du wolltest nach Kowloon, nicht wahr?
Nur dieses eine Mal lasse ich dich den
Spezialausgang benutzen."
1521,3013,"","Next time, go to the access point, if you please.","接著就從“登入地點＂開始找起吧。","","다음부터는 ""접속 포인트""를 통해서 방문해 줘","Geh nächstes Mal bitte zum Zugangspunkt."
2000,3013,"","Did you speak with the woman in front of the CD
shop? And don't forget Kyoko's request to get
more coffee beans. The shop is in Nakano Broadway.","你有跟唱片行前面的女孩子說話嗎？
還有，你也要記得完成杏子所委託的「咖啡豆採購」任務哦。
中野館內有買得到咖啡豆的店。","","CD 숍의 앞에 있는 여자애와는 이미 대화를 나눈 걸까?
그리고, 쿄코의 의뢰「커피콩의 조달」도 잊으면 안 돼
커피콩을 살 수 있는 가게는, 나카노 관내에 있어","Hast du mit der Frau vor dem CD-Laden gesprochen?
Und vergiss nicht Kyokos Bitte um mehr
Kaffeebohnen. Das Geschäft ist in Nakano-Broadway."
