ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,3013,"","Oh my, look at that face. Might you be lost?
I think so...","唉呀，看你那張臉，
該不會是迷路了吧？　我看看……","","어머 너, 그 얼굴은 혹시
길을 헤매고 있는 걸까? 그렇네……","Huch, so ein trauriges Gesicht. Hast du
dich verlaufen? Ich glaube schon ..."
1,3013,"","Do come again if you ever lose your way.","如果找不到路的話，再過來這裡吧。","","가야 할 장소를 잃었다면, 다시 오도록 해","Komm ruhig wieder, wenn du dich verläufst."
2,3013,"","See for yourself exactly what the DigiLab can do.","數碼實驗室的功能……
就用你的那雙眼好好的確認吧。","","디지랩의 기능…그 눈으로 확실히
확인하도록 해","Schau selbst, was das DigiLab genau kann."
3,3013,"","Your fated hour doesn't seem to have arrived yet.
Try solving some more cases and establishing
deeper bonds with your friends and Digimon.","看來你的命運還不到“那個時候”呢……
完成其他委託，加深與夥伴和數碼寶貝
之間的羈絆吧。","","네 운명은 아직 ""그때""가 아닌 듯하네……
다른 의뢰를 해내며 동료나 디지몬들과의 유대를
돈독히 하렴","Deine Schicksalsstunde ist noch nicht gekommen.
Löse noch ein paar Fälle und vertiefe das
Verhältnis zu deinen Freunden und Digimon."
4,3013,"","You may want to talk to the hackers in the Hacker
Forum and on Under Kowloon Lv. 2. Information-
gathering is one of a hacker's most useful tools.","去聽聽看位於駭客廣場跟
Under Kowloon Lv.2的駭客所說的話如何？
“打聽”，對駭客也是很重要的技能喔。","","해커 포럼과 언더 쿠롱 Lv.2에
있는 해커에게 이야기를 들어보는 게 어때?
""탐문""은, 해커에게 있어서도 중요한 스킬이야","Sprich doch mit den Hackern im Hackerforum und
auf Ebene 2 in Unter Kowloon. Daten sammeln gehört
zu den wichtigsten Fähigkeiten eines Hackers."
5,3013,"","Looks like you can get to the Steam Dealers
Hideout from the EDEN menu. Make sure you're well
prepared before you go.","蒸氣領薪族的基地，好像能從EDEN選單過去……
要充分準備再前往喔。","","스팀리맨의 아지트는
EDEN 메뉴를 통해 갈 수 있나 봐…
잘 준비해서 가도록 해","Anscheinend kommt man vom EDEN-Menü zum Versteck
der Steam Dealers. Bereite dich gut vor,
bevor du hingehst."
6,3013,"","Could the mastermind be set up on Kowloon Lv. 2?
Another crossing of paths. I'm intrigued at where
this one might lead.","主使者的交易場所是不是在Kowloon Lv.2？
又有一個命運交錯了嗎……
就讓我期待注視那命運的前進吧。","","원흉의 거래 장소는 쿠롱 Lv.2가 아닐까?
또 하나, 운명이 엇갈려가…
그 행방, 기대하면서 지켜보도록 하겠어","Sitzt der Drahtzieher vielleicht auf Ebene 2 von
Kowloon? Wieder Wege, die sich kreuzen. Es
interessiert mich, wo dieser vielleicht hinführt."
7,3013,"","You should be able to get to the Financial
Institution Server by accessing the URL from
terminal. Hopefully you'll find a clue there.","你應該能從終端的URL來連上
金融企業伺服器喔。
如果能夠找到你的帳號的線索就好了呢。","","금융기업 서버는 단말을 통해 URL로 갈 수 있을 거야. 
네 계정의 행방…발견하길 바래","Indem du über ein Terminal auf die URL zugreifst,
solltest du zum Server des Finanzinstituts kommen.
Hoffentlich findest du dort einen Hinweis."
8,3013,"","You're taking her to Shinjuku, no? Just leave
Ikebukuro and you should be able to get there. Hee
hee! Hope you find an interesting rendezvous!","她不是說希望你帶她去新宿嗎？
只要出了池袋，就能夠去想去的地方了喔。
希望遇到有趣的相遇就好了呢……呵呵。","","그녀가 신주쿠로 데려가 달라고 하지 않았니?
이케부쿠로에서 나가면 가고 싶은 곳으로 갈 수 있을 거야.
재밌는 만남이 있으면 좋겠네…후후","Du bringst sie nach Shinjuku, oder? Verlasse
einfach Ikebukuro, dann kommst du schon hin. Hihi!
Hoffentlich hast du eine interessante Verabredung!"
9,3013,"","Your fate's on the move again, hmm? Still, we all
need a break sometimes. Weren't there vending
machines in the hospital lobby?","你的命運似乎正在開始動作了呢……
但是偶爾也需要休息一下喔……話說，
醫院的大廳裡不是有自動販賣機嗎？","","너도 운명도, 다시 움직이기 시작한 모양이네…
하지만 가끔은 휴식도 필요해. …그러고 보니
병원 로비에 자판기가 있지 않았던가?","Dein Schicksal wirkt wieder, wie? Manchmal braucht
man eben eine Pause. Gab es am Empfang des
Krankenhauses nicht Automaten?"
