ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,3006,"","Ah, yes, a new case has just been submitted to the
office, from a Digimon. I'd like you to take it.","對了，事務所有新的委託進來了。
是一個數碼寶貝委託的，我想請你接下來。","","그렇지, 사무소에 새로운 의뢰가 와 있었다
디지몬에게서 온 의뢰다. 네가 담당해줬으면 한다","Ach ja, im Büro ist gerade ein neuer Fall
von einem Digimon eingetroffen. Ich möchte,
dass du ihn übernimmst."
101,3006,"","This case is a little tricky...
It needs to be taken care of by a human.","內容有點麻煩……
呃不是，委託內容是以接案者為人類做前提。","","내용이 조금 귀찮…
아니, 담당하는 게 인간이 전제라는 의뢰 내용이어서 말이지","Dieser Fall hat es in sich ...
Ein Mensch muss sich darum kümmern."
102,3006,"","I'm too much of a Digimon at heart, and so I have
decided you should take care of it.","我本來就是數碼寶貝，
所以才判斷由你接下來比較好。","","나는 원래는 디지몬이다
네가 담당하는 편이 좋을 거라고 판단했다","Im Herzen bin ich zu sehr ein Digimon, weshalb
ich beschlossen habe, dass du ihn
übernehmen solltest."
103,3006,"","You may chose to begin whenever you like. As
always, check the white board and then I'll have
the client come over for a meeting.","你可以自己安排時間，
像平常一樣從白板接下委託就好，
到時會請委託人過來的。","","네가 편한 타이밍에 해도 괜찮다
언제나처럼 화이트보드에서 의뢰를 받아주길 바란다
그 때 의뢰인에게 와달라고 연락하도록 하지","Du kannst selbst bestimmen, wann du anfängst.
Schau wie immer auf das Schwarze Brett und dann
bestelle ich den Klienten für ein Treffen her."
110,1701,"","Ah, you must be the detective in charge.","啊，你就是負責這件委託的偵探大人吧。","","아, 네가 담당인 탐정님이구나","Ach, du bist wohl der zuständige Detektiv."
111,1701,"","When the interdimensional wall broke down, I was
sent from the Digital World to this one.","我是在次元之壁崩壞時
從數碼世界被彈飛到這個世界的。","","나, 차원의 벽이 무너졌을 때
디지털 월드에서 이 세계로 날려와버렸어","Als die interdimensionale Mauer durchbrochen
wurde, hat man mich aus der Digitalen Welt in diese
geschickt."
112,1701,"","Right now there are Digimon in this world that are
afraid, don't know where they are, and think of
humans as their enemies.","現在待在這個世界的數碼寶貝中，
有些數碼寶貝很害怕，不知道自己的歸處在哪，
就把人類視為敵人……","","지금 이 세계에 있는 다른 디지몬들 중에는
무서운 데다 자신이 있을 곳이 어딘지 알 수 없게 되어버려서
인간을 적이라고 생각하게 된 디지몬도 있지만……","In dieser Welt befinden sich Digimon, die Angst
haben, nicht wissen, wo sie sind, und Menschen
für ihre Feinde halten."
113,1701,"","I would rather not see humans as my enemy. I'd
still like to think there is a way that humans and
Digimon can coexist peacefully.","不過我還不想直接斷定人類就是敵人。
我想再思考一下，
有沒有人類和數碼寶貝可以友好相處的方法。","","나는 아직 인간을 적이라고 단정짓고 싶지 않아
인간과 디지몬이 함께 사이좋게 지낼 수 있는 방법이 없을지
좀 더 생각해보고 싶어","Ich möchte Menschen eher nicht als Feinde
betrachten. Ich glaube lieber daran, dass Menschen
und Digimon in Eintracht leben können."
114,1701,"","But I didn't know what to do... So, that's when I
heard about you guys and how you have solved many
problems for Digimon.","但我不曉得該怎麼做才好……
這時我聽到一個傳聞，
是關於可以解決數碼寶貝煩惱的偵探事務所。","","하지만 어떻게 해야 좋을지 모르겠어서…
그러고 있을 때 이런 소문을 들었어
디지몬의 고민을 들어준다는 탐정사무소 이야기를 말이야","Aber ich wusste nicht, was ich tun sollte ... Dann
habe ich von euch gehört und dass ihr schon viele
Probleme für Digimon aus der Welt geschafft habt."
115,1701,"","So, I would like to examine you in detail. Please
show me all the good that humanity has to offer!","所以……我就想貼身採訪你一段時間。
希望你讓我看見人類更多美好的一面！","","그러니까… 나, 당분간 너를 밀착취재하고 싶어
내게 인간의 좋은 점을 잔뜩 보여줬으면 해!","Deshalb möchte ich dich genau unter die Lupe
nehmen. Bitte zeig mir all das Gute,
das die Menschheit zu bieten hat!"
