ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3047,"","Hi there, [p]!
Help hand out our flyers!","喲，[p]！
你也來幫忙發一下店裡的傳單吧！","","여어, [p]!
너도 가게 전단지 돌리는 것 좀 도와!","Hallo, [p]!
Hilf mir, die Flyer zu verteilen!"
2,3047,"","You're on a case? That's too bad.","什麼嘛，原來你正在進行委託啊。
那就沒辦法了。","","뭐야, 의뢰를 해결하는 중인가.
그러면 할 수 없지~","Du arbeitest an einem Fall? Schade."
3,3047,"","What case are you working on?","所以，你現在接了什麼樣的委託啊？","","근데 지금은 무슨 의뢰를 받았는데?","Um welchem Fall kümmerst du dich denn?"
4,3047,"","Oh, a book about friendship?","嘿～……要找關於朋友的參考資料呀。","","헤에~ ……친구용 참고자료 찾기, 인가","Ach, ein Buch über Freundschaft?"
5,3047,"","Sounds interesting! Let me help!","聽起來很有趣呀！
我也要幫忙！","","재미있어 보이잖아!
나도 협력하게 해줘!","Klingt interessant! Ich möchte dir gern helfen!"
6,3047,"","I just happen to have a couple of books like that.
How about these?","對了，剛剛好，我現在身上有帶著這本書喔。
這種的話如何啊？","","그렇지, 지금 마침 이런 책을 갖고 있거든.
이런 건 어때?","Zufällig habe ich hier zwei Bücher, die infrage
kommen. Wie wäre es mit denen?"
7,2020,"","(There are two books.)
(Which one should I borrow?)","（似乎有兩本，
　要借哪本書呢……？）","","(두 권이 있는 것 같다.
 어느 책을 빌릴까……?)","(Es sind zwei Bücher.)
(Welches soll ich mir ausleihen?)"
8,2020,"","How to Hook Up with Young Hotties
101 Ways to Find the Perfect Lady","調查池袋女子！　想要邀請年輕妹妹就來這裡！
人氣男子攻略　～夜晚綻放的紅玫瑰．成熟女性篇～","","이케부쿠로 여자 리서치! 연하 여동생 타입을 꼬시려면 여기!
인기있는 남자의 공략본  ~밤에 피는 붉은 장미/성인여성편~","Wie man sich Babes angelt
101 Wege die perfekte Lady zu finden"
9,3047,"","Take it. It's filled with information about how to
make friends with younger women!","OK，這本啊。
這本滿載著能和年輕妹妹型的女生
當朋友的情報喔！","","오케이~ 이쪽이구나.
연하 여동생 타입과 친구가 되기 위한 정보가 풍부하다고!","Hier, nimm. Es ist voller Infos, wie man sich mit
jüngeren Frauen anfreundet!"
10,3047,"","Take it. It's filled with information about how
to get close to the more sophisticated lady.","OK，這本啊。
這本滿載著能感受到成熟的從容，
和很棒的女性們變得更加貼近的情報喔！","","오케이~ 이쪽이구나.
성인의 여유가 느껴지는 멋진 여성들과
가까워지기 위한 정보가 가득하다고!","Hier, nimm. Es ist voller Infos, wie man sich
anspruchsvolleren Damen nähert."
11,3047,"","They both look like guides for picking up women...
Yea, that's exactly what they are.","……怎麼兩本都是搭訕的書？
本來就是啊？","","……어쩐지 양쪽 다 헌팅용 책 같다고?
실제로 그런데?","Die sehen beide wie Anleitungen aus, um Frauen
aufzugabeln ... Ja, genau das sind sie."
12,3047,"","Think about it. Romance starts with friendship.","你好好的思考一下。
先從朋友開始……那就是搭訕啊。","","잘 생각해봐라. 일단 친구가 되는 부분부터 시작한다…
그것이 헌팅이다","Denk doch mal nach. Romantik beginnt mit
Freundschaft."
13,3047,"","The basic principle is the same as for friendship,
and that book's a gold mine of information.","這就是說，這類雜誌都聚集了
史上最多學習友情的精華啊！","","즉, 이런 종류의 잡지에는 우정에 대해 배우는 에센스가
이 이상 없을 만큼 가득하단 소리지!","Das Hauptprinzip ist das gleiche wie bei der
Freundschaft. Das Buch ist eine wahre Goldgrube
an Informationen."
14,3047,"","Makes sense, right? See if she finds them helpful.","知道的話，就拿著這個過去試試吧！","","알았지? 알겠으면 시험삼아 들고 가봐!","Das ergibt doch Sinn, oder? Schau mal, ob sie
sie hilfreich findet."
15,2020,"","...","…………","","…………","..."
16,2020,"","(I'm pretty skeptical, but it can't hurt to try.)","（雖然覺得哪裡不太對……
　但都收到了，就拿去試試看吧）","","(뭔가 아닌 것 같은 기분이 들지만……
 모처럼이니 시험삼아 가져가보자)","(Ich bin ziemlich skeptisch, aber es kann ja nicht
schaden, es zu versuchen.)"
