ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,7196,,Hai cacciato via il Digimon? Ho appena sentito da fuori che è stato visto volare via.,"這樣啊，把數碼寶貝趕出去了啊，
剛剛也從外面收到了數碼寶貝飛走的通知。",,"그렇구나, 디지몬을 쫓아내는 데 성공했구나.
밖에서도 디지몬이 날아가는 걸 확인했다는 연락이 있었어","Ihr habt das Digimon verjagt? Ich habe gerade
von draußen gehört, dass es weggeflogen ist."
2,7196,,"Ah, quando dico ""fuori"", intendo la polizia.",啊，外面是指警察。,,"아아, 밖에 있는 건 경찰 분을 말하는 거야",Mit „draußen“ meine ich die Polizei.
3,7196,,"Stanno monitorando i Digimon a causa del
potenziale pericolo per l'area circostante.","因為有可能會殃及周遭，
所以他們在監視著數碼寶貝。",,"주변에 위험이 미칠 가능성이 있으니
디지몬의 감시 정도는 해주고 있었어","Sie überwachen das Digimon wegen der möglichen
Gefahr für die Umgebung."
4,7196,,"Ho sentito che un altro enorme Digimon ha volato sopra e tu
hai combattuto entrambi. Stai bene?","但是我聽到了在途中，有另一隻
巨大數碼寶貝飛來的消息？
一次對付兩隻你還好嗎？",,"그런데 도중에 커다란 디지몬이
또 한마리 날아온 것 같더라고 들었는데?
두 마리나 상대하면서 괜찮았어?","Ich habe gehört, dass noch ein riesiges Digimon
angeflogen kam und du gegen beide gekämpft hast.
Geht es dir gut?"
5,7196,,"Sei incredibile. Era troppo per la polizia,
ma tu hai portato a termine il lavoro. Grazie mille!","你真厲害，解決了連警察也束手無策的事
……真的很感謝你。",,"너희는 굉장하구나. 경찰도 손 쓸 수 없던 문제를
해결하다니……정말 고맙다","Du bist einfach großartig. Die Polizei war
überfordert, aber du hast das erledigt. Vielen
Dank."
6,7196,,"A proposito, ho appena ricevuto la notizia che ci trasferireemo
al vecchio municipio domani.","對了對了，剛剛接到消息。
我們從明天開始也都要搬到舊都廳了。",,"그래그래, 아까 연락이 왔었어.
우리도 내일 구 도청으로 이동하게 됐지","Ich habe übrigens gerade erfahren, dass wir morgen
alle ins alte Rathaus umziehen."
7,1392,,"È sicuro lì, giusto? Sono contento di sentirlo!","這樣啊，舊都廳那裡是安全的對吧？
太好了！",,"그렇구나. 구 도청 쪽이 안전하지?
잘됐다!","Dort seid ihr in Sicherheit, oder? Das ist schön
zu hören!"
8,7196,,"Mi assicurerò di contattarti di nuovo se c'è
qualcos'altro.",是啊，如果還有委託的話會再找你商量的。,,"그래, 또 부탁하고 싶은 것이 있다면 상담해줘","Ich melde mich wieder bei euch, wenn noch etwas
ist."
9,7196,,"Hmph, che fine farà mai questa città?","……話說回來，
這城市到底會變成什麼樣子啊。",,"……그건 그렇고
이 거리는 대체 어떻게 되버리는 걸까","Hmpf, was soll nur aus dieser Stadt werden?"
10,2020,,...,…………,,…………,...
