ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1349,"","Urgh...","嗚……
唔唔……","","뀨우우…
으으…","Argh ..."
2,7233,"","The patient seems to have stopped now. Good job.","看樣子患者似乎停止失控了。
你做得很好。","","환자의 폭주는 진정된 모양이군.
거기 자네, 잘했네","Es scheint vorbei zu sein. Gut gemacht."
3,7233,"","Phew... I was worried for a moment there.","哎……一瞬間我還想說會變成什麼樣……
呼……","","하아……한때는 어떻게 되나 했어~……
후우……","Puh ... Für kurze Zeit hatte ich mir Sorgen
gemacht."
4,7233,"","But the patient's just lying there. What shall we
do?","……嗯哼。
不過患者一直躺在那裡，似乎沒有要起來的跡象。
那麼該怎麼辦呢。","","……어험.
하지만, 환자는 누운 채로 일어날 기미가 보이지 않는군.
이거 어떻게 해야 하나","Aber es liegt nur da und rührt sich nicht.
Was sollen wir tun?"
5,7233,"","Take care of Togemon.
Hit Togemon.","溫柔地照顧仙人掌獸
把仙人掌獸打醒","","니드몬을 상냥하게 돌봐준다
니드몬을 두들겨 깨운다","Dich um Togemon kümmern.
Togemon schlagen."
6,1349,"","Urgh... It's you... What...happened?","唔唔……駭客先生……
我究竟是……？","","으으…해커 씨…
나는 대체…?","Argh ... Du bist es ... Was ... ist passiert?"
7,1349,"","Ouch! Who hit me?!","好痛！！
是誰打了我！？","","아파!!
나를 때린 건 누구야!?","Autsch! Wer hat mich geschlagen?!"
8,1349,"","Urgh... It's you... What...happened?","啊，駭客先生。
我究竟是……？","","아, 해커 씨.
나는 대체…?","Argh ... Du bist es ... Was ... ist passiert?"
9,1349,"","I remember... I went crazy after taking the
medicine.","……這樣啊。
我吃了藥之後，
不小心失控了啊。","","…그랬구나.
나, 약을 먹은 후에
폭주해버렸구나","Ich erinnere mich ... Nachdem ich die Medizin
genommen hatte, hatte ich einen Anfall."
10,1349,"","Sorry about that. Thanks for stopping me.","很抱歉給你們添麻煩了。
謝謝你救了我。","","폐를 끼쳐서 죄송해요.
구해줘서 고마워요","Tut mir leid. Danke, dass du mir geholfen hast."
11,7233,"","How do you feel now, Togemon? It looks like you
experienced one of the medicine's side effects.","仙人掌獸，身體狀況如何？
你剛才似乎因為新藥的副作用，
陷入了很醉的狀態。","","니드몬, 상태는 어떤가?
아까는 신약의 부작용으로
만취 상태에 빠진 것 같았다만","Wie fühlst du dich jetzt, Togemon? Anscheinend
hatte die Medizin eine Nebenwirkung."
12,1349,"","Yeah...but my cough's gone and I feel much better.","我看看……
現在感覺身體很輕，咳嗽也停了。
而且我的感覺相當良好。","","어디…
몸도 가볍고 기침도 멈췄어.
그리고 굉장히 기분도 좋아","Ja ... aber mein Husten ist weg und ich
fühle mich viel besser."
13,1349,"","I'm still full of energy from that battle.","雖然我似乎到剛才為止都在跟駭客先生戰鬥，
但力量還是繼續湧現。","","나 아까까지
해커 씨랑 싸웠다는데
아직 더 힘이 솟아나","Ich bin noch voller Energie von dem Kampf."
14,1349,"","I need to release it! Whoa!","我好想解放這份力量……！！
看我的～～～！！","","나, 이 힘을 해방시키고 싶어…!!
에~~~잇!!","Ich muss sie loswerden! Wow!"
15,2020,"","?!","！？","","!?","?!"
16,1359,"","Phew! That felt great! Huh?!","呼～真舒服♪
……咦，奇怪！？","","후우~. 기분 좋았어♪
…어, 어라!?","Puh! Das war klasse! Was?!"
17,1359,"","My body... It's different?! Have I Digivolved from
Togemon to Lillymon?!","我的身體是不是起了變化！？
難不成……我從仙人掌獸進化成花仙獸了！？","","내 몸, 조금 변했어!?
설마 나…니드몬에서 릴리몬으로
진화한 거야!?","Mein Körper ... Er hat sich verändert?! Bin ich
von Togemon zu Lillymon digitiert?!"
18,7233,"","Hmm, it seems my new medicine also has the side
effect of causing Digivolution. Remarkable!","……嗯，看樣子我開發的新藥，
似乎也有讓被實驗者進化的副作用。
太棒了，真是棒極了……！！","","…흠. 내가 개발한 신약에는 피험자를 진화시키는
부작용도 있는 것 같군. 훌륭해, 참으로 훌륭해…!!","Hm, Hervorrufen von Digitation scheint eine
weitere Nebenwirkung meiner neuen Medizin zu sein.
Bemerkenswert ..."
