ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1050,"","Was that the last one? That was too easy.","打倒剛剛的對手就結束了嗎？
好無聊喔～","","어라, 지금 상대가 마지막이야?
재미없어~","War das der Letzte? Das war zu einfach."
2,1151,"","Hey Agumon, remember that thing? Why don't we ask
[p] about it?","亞古獸，
之前的那個，找[p]討論看看吧。","","저기저기, 아구몬.
저번에 그거, [p]랑 상담해보자","Hey, Agumon, erinnerst du dich an diese Sache?
Warum fragen wir nicht [p] deswegen?"
3,1050,"","Oh yeah! Listen up, [p]!","啊，對了！　聽我說喔[p]！","","아, 그랬지! 들어봐, [p]!","Ach, stimmt! Hör zu, [p]!"
4,1050,"","We want to give Nokia a present to thank her for
being so nice to us!","我們兩個，下次想要送禮物
給一直很照顧我們的諾奇雅！","","우리, 이번에 신세 지고 있는 노키아한테
선물 주려고 그러거든!","Wir wollen Nokia etwas schenken, um ihr dafür zu
danken, dass sie so nett zu uns ist!"
5,1151,"","But we don't know about human presents, so wanted
to ask you.","但是呀，不知道可以送什麼給人類當禮物。
所以才想來聽聽看你的意見","","그런데 말야, 인간한테 주는 선물에 대해 잘 모르니까
너랑 상의하고 싶어","Aber wir wissen nicht, was man Menschen schenken
kann, also wollten wir dich fragen."
6,1050,"","What would she like? As long as it's something we
can give her.","要送什麼她才會開心呢？
如果是我們有辦法能送的禮物就好了……","","저기, 어떤 걸 줘야 기뻐해줄까?
우리가 선물할 수 있을 법한 거라면 좋겠는데……","Was würde ihr gefallen? Es muss nur etwas sein,
was wir ihr geben können."
7,1151,"","If you don't know what she'd like, just tell us
what you'd like.","那個，要是覺得很難想到諾奇雅會喜歡的東西，
那就想想看你收到會覺得開心的東西。","","그러니까, 노키아가 좋아할 만한 게 어렵다면
네가 받으면 기쁜 걸 생각해줬으면 좋겠어","Wenn du nicht weißt, was ihr gefällt, dann sag
uns einfach, was du gern hättest."
8,2020,"","How about a back massage?
It has to be money!
How about a practical accessory, like a watch?","槌肩膀票券？
當然是……錢啊！
實用的時鐘或是飾品之類的？","","어깨 안마권 같은 거?
툭 까놓고 말하자면……돈이겠지!
실용적인 시계나 액세서리 같은 거?","Wie wär’s mit einer Rückenmassage?
Geld natürlich!
Ein praktisches Accessoire wie eine Uhr?"
9,1050,"","I see. Would you like someone to give you that?","原來如此～……嗯，奇怪？
收到那個會開心嗎？","","그렇구나……아니, 어라?
그거 받으면 기뻐?","Verstehe. Würdest du gern eine bekommen?"
10,1151,"","Agumon, remember when we offered Nokia a massage
and she declined forcefully?","亞古獸，之前有對諾奇雅說過
「我幫妳槌肩膀唷──」，
結果被馬上拒絕的事情吧？","","아구몬, 전에 노키아한테 「어깨 안마해줄게~」라고
그랬더니 엄청난 기세로 거절당한 적 있었지?","Agumon, erinnerst du dich, als wir Nokia eine
Massage angeboten haben und sie vehement abgelehnt
hat?"
11,1050,"","Right, we'll try it on you. Tell us how it feels.","好，那就先讓你來試試看
會不會很舒服吧！","","좋아~ 그럼 기분 좋은지 아닌지
너한테 해서 시험해볼게!","Okay, probieren wir es mal bei dir. Sag uns, wie
es sich anfühlt."
12,5004,"","Urgh!","……刺！！","","……푹!!","Argh!"
13,1151,"","Maybe a massage isn't such a good idea.","……放棄槌肩膀好了。","","……어깨 안마는 그만두자","Vielleicht ist eine Massage keine so gute Idee."
14,1050,"","I think you're right.","嗯，我也這麼覺得……","","응, 나도 그렇게 생각해……","Ich glaube, du hast recht."
15,1050,"","Didn't Nokia give her friend a present before?
What was it?","話說之前，諾奇雅不是有送給她朋友禮物嗎？
那時候她送了什麼呀？","","그러고 보니 저번에 노키아가 친구한테 선물 주지 않았던가?
뭐 줬더라?","Hat Nokia ihrem Freund schon mal was geschenkt?
Was war es?"
16,1151,"","Was it a watch?","好像是，時鐘的樣子…………","","아마 시계 아니었던가……잠깐……","War es eine Uhr?"
17,5008,"","Yeah!","就是那個了！","","그거다!","Ja!"
18,1050,"","Money?","錢？","","돈?","Geld?"
19,1050,"","How much? About 5,000 yen? I heard Nokia say
that's a lot of money.","大概是多少？　差不多是五千圓嗎？
之前諾奇雅有說過，這是對學生很不友善的金額。","","그건 얼마? 5천 엔 정도?
전에 노키아가 학생한테는 쓰라린 금액이라고 그랬는데","Wie viel? 5 000 Yen? Nokia hat doch mal gesagt,
das wäre viel Geld."
20,1151,"","But we'd rather give her an actual thing instead.","但是呀，可以的話，
我們想一起送“東西”當作禮物。","","하지만 말이야, 우린 되도록
""물건""을 선물하고 싶거든","Aber wir würden ihr lieber ein tatsächliches Ding
schenken."
21,1050,"","Didn't Nokia give her friend a present before?
What was it?","話說之前，諾奇雅不是有送給她朋友禮物嗎？
那時候她送了什麼呀？","","그러고 보니 저번에 노키아가 친구한테 선물 주지 않았던가?
그거, 뭐 줬더라?","Hat Nokia ihrem Freund schon mal was geschenkt?
Was war es?"
22,1151,"","Was it a watch?","好像是，時鐘的樣子…………","","아마 시계 아니었던가……잠깐……","War es eine Uhr?"
23,5008,"","Yeah!","就是那個了！","","그거다!","Ja!"
24,1050,"","Accessory? What's an accessory? Is it food?","時鐘或飾品？
飾品是什麼？　很好吃嗎？","","시계나 액세서리?
액세서리가 뭐야? 맛있는 거야?","Accessoire? Was ist ein Accessoire? Kann man das
essen?"
25,1151,"","Nokia told us! It's a shiny thing you wear, right?","諾奇雅之前有說過喔！
就是帶在身上會閃閃發光，很時尚的道具吧？","","노키아가 그랬어! 몸에 달거나 하는
반짝반짝거리고 멋진 아이템 말이지?","Nokia hat uns davon erzählt! Das ist was
Glänzendes zum Anziehen, oder?"
26,1151,"","That's a good idea. A watch would be great.","雖然飾品也不錯，
亞古獸，時鐘是不是更好呢。","","액세서리도 좋지만
시계 같은 게 좋지 않을까, 아구몬","Das ist eine gute Idee. Eine Uhr wäre prima."
27,1050,"","Hehehe, I agree! That's settled then!","嘿嘿嘿～我也是這麼想的！
禮物就決定是時鐘了！","","헤헤헤~ 나도 그렇게 생각해!
선물은 시계로 결정이다!","Hehehe, einverstanden! Das wäre geklärt!"
28,1050,"","Let's get her an amazing watch! I hope she'll
like it.","挑一個非常時尚的時鐘吧！
如果會開心就太好了～……","","완전 멋진 시계로 하자!
기뻐해주면 좋겠다……","Besorgen wir ihr eine fantastische Uhr!
Hoffentlich gefällt sie ihr."
29,1151,"","Okay, now we just need to make a watch. Come on,
Agumon!","那麼就只剩下準備了呢。
亞古獸，我們趕快回去吧！","","그럼 남은 건 준비뿐이네.
아구몬, 서둘러서 돌아가자!","Okay, jetzt müssen wir nur eine Uhr bauen.
Komm mit, Agumon!"
30,1151,"","Thanks for your help! Please take this.","找你討論真的是找對人了，謝謝你！
這個，當作謝禮給你喔。","","너랑 상담하길 잘했어. 고마워!
이거 답례로 줄게","Danke für deine Hilfe! Bitte nimm das."
31,1050,"","Thanks so much, [p]! See you!","[p]，真的很謝謝你！
那麼，下次再見喔～！","","[p], 정말 고마워!
그럼 다음에 봐~!","Vielen Dank, [p]! Tschüs!"
