ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,1391,,Ottimo lavoro. Abbiamo eliminato gli hacker.,辛苦了，這麼一來駭客就排除完畢了。,,수고했어. 이로써 해커는 제거 완료로군,Gute Arbeit. Wir haben die Hacker eliminiert.
2,1391,,Eh? Vuoi chiedermi qualcosa? Cosa c'è?,"嗯？　你有什麼事情想問我嗎……？
是什麼事？",,"응? 나한테 물어보고 싶었던 게 있다고……?
뭐야?",Hm? Du möchtest mich etwas fragen? Worum geht es?
3,1391,,"Ah, perché ho detto che non posso fidarmi degli hacker? Forse
posso dirtelo.","啊，我之前雖然說過無法相信駭客，
但如果是你，跟你說應該也沒關係吧。",,"아, 내가 해커를 신용할 수 없다고 그랬던 얘긴가.
너라면 말해도 괜찮겠지","Ach, warum ich gesagt habe, Hackern könnte ich
nicht trauen? Vielleicht kann ich es dir
erzählen."
4,1391,,"Dopo essere caduto in questo mondo dal Digital World,
ho vissuto su un angolo di strada con altri Renamon.","……我是從數碼世界掉來這裡的世界。
在某個巷弄的角落，跟同樣是妖狐獸的
夥伴們住在一起。",,"……난 디지털 월드에서 이쪽 세계로 떨어져서
어느 마을 한구석에서 같은 레나몬의 동료들과 지내고 있었어","Nachdem ich aus der Digitalen Welt in diese Welt
gefallen bin, habe ich mit anderen Renamon an
einer Straßenecke gelebt."
5,1391,,"Mentre dormivamo una notte, alcuni hacker
ci hanno attaccato solo per divertimento.","某一天的夜晚，正當我們熟睡的時候――
有幾個駭客說是在“消遣時間”，朝我們襲擊過來。",,"어느 날 밤, 우리가 잠든 동안――
해커 여러 명이 ""심심풀이""라며 쳐들어왔어","Als wir eines Nachts geschlafen haben, haben uns
ein paar Hacker nur zum Spaß angegriffen."
6,1391,,"Fortunatamente sono scappato, ma gli altri Renamon sono stati
feriti gravemente.","我雖然很幸運的沒有受傷，
但他們卻把其他的妖狐獸們給打到重傷。",,"난 우연히 상처 없이 끝났지만, 놈들은
다른 레나몬들을 호되게 상처입히고 갔어","Zum Glück bin ich davongekommen, aber die anderen
Renamon wurden schwer verletzt."
7,1391,,"Uno dei miei amici è riuscito a sconfiggere uno degli
hacker, e gli altri sono scappati.","那時候，我們正想對其中一位駭客
報同伴被襲擊的仇，但其他的駭客
卻頭也不回的逃走了。",,"그때 해커 중 하나가
내 동료에게 반격당했지만
다른 해커들은 돌아보지도 않고 도망갔지","Einem meiner Freunde ist es gelungen, einen der
Hacker auszuschalten, und der Rest ist
davongelaufen."
8,1391,,"Urlava aiuto, ma lo hanno semplicemente abbandonato.",……拋棄了大聲呼救的同伴。,,……도움을 요청하는 동료를 내버려 두고 말이야,"Er hat um Hilfe gerufen, aber sie haben ihn
einfach im Stich gelassen."
9,2020,,"Non tutti gli hacker sono così.
Che cosa è successo all'hacker che hanno lasciato indietro?
È orribile! Grazie per avermelo detto.","不是所有駭客都像他們那樣過份
在這之後，沒逃掉的駭客如何了？
明明是很痛苦的事情，謝謝你願意告訴我",,"그런 지독한 해커가 전부는 아냐
그 후에 도망 못 간 해커는 어떻게 했어?
괴로운 일인데 말해줘서 고마워","Nicht alle Hacker sind so.
Was wurde aus dem zurückgelassenen Hacker?
Schrecklich! Danke, dass du es mir erzählt hast."
10,1391,,Almeno tu sei diverso.,對。至少，你不一樣。,,그래. 적어도 넌 달라,Zumindest du bist anders.
11,1391,,"Da quando ti ho incontrato, ho cominciato a pensare che
forse non tutti gli hacker sono così.","而且，自從與你相遇後，
我開始覺得，或許不是
所有駭客都跟那些人一樣……",,"게다가 너와 만난 이후로
해커가 그런 놈들만 있는 건
아닐지도 모르겠다고 생각하기 시작했지……","Seit ich dir begegnet bin, vermute ich, dass
vielleicht nicht alle Hacker so sind."
12,1391,,Ma non ne sono ancora completamente sicuro. Ci sono ancora un sacco di cose che non so sugli hacker.,"雖然還不是非常確定啦，
因為我還不算非常了解駭客。",,"아직 확신엔 이르지 않았지만 말이야.
내가 해커에 대해 너무 모르는 거겠지","Aber ich bin mir immer noch nicht ganz sicher.
Es gibt noch vieles, was ich über Hacker nicht
weiß."
13,1391,,Vuoi davvero saperlo? L'abbiamo fatto pagare per quello che ha fatto e poi l'abbiamo lasciato andare.,"你想知道嗎？
我教訓他一頓後，就讓他走了。",,"듣고 싶어?
적당히 혼내주고 돌려보냈어","Das möchtest du wirklich wissen? Wir haben ihn
für seine Tat bestraft und ihn dann laufen
lassen."
14,1391,,"Hanno ucciso così tanti di noi. Non possiamo restare
con le mani in mano.","……如果他們當初奪走夥伴的性命，
我一定不會只做到那種地步。",,"……동료의 목숨을 뺏었더라면
그 정도론 안 끝냈겠지","Sie haben so viele von uns getötet. Gar nichts zu
unternehmen wäre nicht in Frage gekommen."
15,1391,,"Va bene, e forse una parte di me voleva che me lo chiedessi.","……沒事，你不用在意。
我或許也想讓你知道。",,"……아니, 신경 쓰지 마.
나도 네가 들어줬으면 했던 걸지도 모르겠어","Es ist in Ordnung, und vielleicht wollte ich
insgeheim, dass du danach fragst."
16,1391,,"Sarai anche un hacker, ma non sei come loro.
Ora lo vedo.","就算一樣是駭客，但你和那些人不一樣。
這我還是知道的。",,"같은 해커라도 넌 놈들하곤 달라
그건 알고 있어","Du magst zwar ein Hacker sein, aber du bist
überhaupt nicht wie sie. Das ist mir jetzt klar."
17,1391,,Scusa se ti ho annoiato. Puoi semplicemente dimenticartelo.,"……抱歉讓你聽了無聊的事，
就算忘了也沒關係喔。",,"……재미없는 얘길 들려주고 말았군.
잊어도 괜찮아","Entschuldige, falls ich dich gelangweilt habe. Du
kannst es einfach vergessen."
18,1391,,"A proposito, ho trovato questo adesso. Puoi
tenerlo. Usalo bene.","比起這個，剛剛找到了這東西，就給你吧。
希望你可以好好運用。",,"그보다 방금 이런 걸 발견했으니까 너한테 넘겨줄게.
유용하게 써줬으면 좋겠어","Übrigens, das habe ich gerade gefunden. Du kannst
es haben. Mach das Beste draus."
19,1391,,"È ora che io vada. Richiamami se hai bisogno di
qualcosa.","那麼，我先走了。
如果有需要時再叫我吧。",,"그럼 이제 가기로 할게.
필요하면 또 불러줘","Es wird Zeit, dass ich gehe. Ruf mich wieder, wenn
du was brauchst."
