ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,2000,,Meglio dare un'altra occhiata qui intorno.,再稍微調查一下這一帶吧。,,좀 더 이 주변을 조사해 보자,Ich sollte mich lieber noch weiter umsehen.
114,2000,,Questo dovrebbe bastare come parola chiave di indagine [2[k12]].,"關於關鍵字【[2[k12]]】的調查，
應該這樣就行了吧。",,"키워드 【[2[k12]]】에 관한 조사는
이 정도면 충분하겠지","Das sollte zum Stichwort [2[k12]]
reichen."
200,2000,,"Ottenuta Medaglia Digimon
""[d0]!""",得到數碼寶貝獎牌「[d0]」了！,,"디지몬 메달「[d0]」
를(을) 손에 넣었다!","Digimon-Medaille „[d0]“
erhalten!"
300,2000,,Ho troppa roba con me... Non posso portare altro. Meglio riordinare le mie cose e tornare.,"持有物太多，沒辦法再拿了……
先整理一下再來吧。",,"소지품이 너무 많아서 이 이상 가질 수 없어…
정리하고서 다시 오자","Ich habe zu viel dabei und kann nichts mehr
tragen. Ich sollte meine Sachen ordnen und dann
wiederkommen."
400,2000,,"Non ho i soldi...
Forse la prossima volta.","現金不足……
下次再買吧。",,"돈이 부족해…
다음 기회로 미루자","Ich habe nicht genug Geld ...
Vielleicht nächstes Mal."
500,2000,,Non c'è spazio per questa medaglia...,"這個獎牌的持有數已經到達上限，
所以只能忍痛丟棄了……",,"이 메달은 더 이상 가질 수 없어서
버렸다…",Kein Platz für diese Medaille ...
600,4230,,"Ohh, sei qui per darmi una medaglia anche tu?",喔！你也拿「獎牌」來給我啦！？,,"앗! 너도「메달」을 가져와
준 거니!?","Oh, bist du auch hier, um mir eine Medaille zu
bringen?"
601,4230,,"...Che tipo di medaglie, chiedi!
Medaglie Digimon, come se ce ne fossero altri tipi!","什麼的「獎牌」？
當然是「數碼寶貝獎牌」囉！",,"…무슨「메달」이냐고?
그야 너,「디지몬 메달」인 게
당연하잖아!","... Was für Medaillen, fragst du?
Digimon-Medaillen natürlich, was denn sonst!"
602,4230,,"Collezionare Medaglie Digimon è il mio sogno!
È la mia vita! È il mio tutto!!!","大叔我的夢想就是收集「數碼寶貝獎牌」！
那是大叔我的人生！大叔我的一切！",,"「디지몬 메달」모으기는, 아저씨의 꿈!
아저씨의 인생! 아저씨의 전부!","Digimon-Medaillen sammeln ist mein großer Traum!
Mein Leben! Mein Ein und Alles!"
603,4230,,"Ecco perché sono conosciuto come... l'""Uomo delle Medaglie""!",沒錯！大家都叫我做「獎牌大叔」！,,그래! 아저씨는 이름하여「메달 아저씨」!,"Deshalb kennt man mich als den ...
Medaillensammler!"
604,4230,,"Allooora, se ti capita di trovare delle Digimon Medal,
portale a me e sarò felice di comprartene!","因此，
只要你拿「數碼寶貝獎牌」來找我，
我就會花錢跟你收購，請多指教啦～",,"…그러니
「디지몬 메달」을 가져와 주면
아저씨가 매입해 줄 테니까, 잘 부탁해~","Wenn dir also Digimon-Medaillen unterkommen,
dann bring sie her und ich kaufe sie dir gerne ab!"
610,4230,,Allora? Hai qualche medaglia per me?,如何？你有在收集獎牌嗎？,,"어때? 메달, 잘 모으고 있어?",Na? Hast du Medaillen für mich?
620,4230,,...So che mi stai nascondendo qualcosa.,我等你拿獎牌來哦。,,"…메달, 기다릴게","... Ich weiß, dass du mir was vorenthältst."
630,4230,,"Heheh, quindi vuoi vedere la mia collezione.
...Non dirlo a mia moglie, okay?","呵呵呵，你想看我的收藏品嗎？
……不可以告訴我老婆哦。",,"우후후, 아저씨의 콜렉션이 보고 싶니?
…마누라에게는 비밀이야","Hihi, du willst also meine Sammlung sehen.
Sag meiner Frau nichts davon, ja?"
640,4230,,"Un giorno, li collezionerò tutti... tutti e 500...
Con il tuo aiuto, sono un passo più vicino...!","總有一天，我會將所有的獎牌……
一共500種全部收集完整的。
今後也要麻煩你多多幫忙了，呵呵呵。",,"언젠가, 금메달…
500종류 전부 다 컴플리트하고 말겠어
앞으로도 협력 잘 부탁해, 우후후","Eines Tages werde ich sie alle haben ... alle 500.
Dank dir bin ich dem einen Schritt näher ...!"
650,4230,,"Se trovi delle medaglie, portale a me!
Ti darò il prezzo migliore in circolazione! Promesso!
...Non dirlo a mia moglie, okay?","如果有得到獎牌，就拿來給我吧。
我會高價向你收購的。
……這件事可別告訴我老婆啊。",,"메달을 손에 넣으면 가져와 줘
아저씨가, 고가로 매입해 줄 테니까
…마누라에게는 비밀로 말이야","Wenn du Medaillen findest, dann bring sie mir!
Ich zahle dir den besten Preis, versprochen!
Aber sag meiner Frau nichts, ja?"
660,4230,,"Ohhh, quindi mi hai portato altre medaglie?",喔喔！你拿獎牌來給我啦！？,,오오! 메달을 가져와 준 거니!?,"Ui, du hast mir also noch mehr Medaillen gebracht?"
661,4230,,"Okay! Allora, ti darò...
[n0] yen!
Abbiamo un accordo, giusto?","……好！一共是
[n0]YEN！
我全部買下了！",,"…좋아! 전부 해서
[n0]YEN이다!
매입하게 해 줘!","So! Alles in allem gebe ich dir ...
[n0] Yen!
Abgemacht?"
662,4230,,"...Nessuna? Non hai nessuna medaglia? Che tristezza.
Vai a prenderne un po' e torna, okay?","……什麼嘛，你身上沒有獎牌啊。
下次來記得帶一堆獎牌來啊。",,"…뭐야, 안 갖고 있는 거니, 메달
잔뜩 가져와 줘, 메달","... Gar keine? Du hast keine Medaillen? Schade.
Besorg ein paar und komm dann wieder, ja?"
