ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,4341,,"Sono qui a Shinjuku per visitare un sacco di clienti.
...Ma prima, è ora di mangiare qualcosa.","今天也要在「新宿」這裡熱情拜訪每位老客戶。
不過在開工之前，就先吃點東西填飽肚子吧。",,"이곳「신주쿠」에서, 오늘도 기운차게 거래처를 돌고 있어
…그 전에, 배를 채워 둘까","Ich bin hier in Shinjuku, um ein paar Klienten zu
besuchen. ... Aber erst mal esse ich was."
1001,4341,,"Non vedo l'ora che arrivi questo momento ogni giorno.
Shinjuku ha così tanti posti economici e deliziosi dove mangiare!","我每天都很期待這個時間的到來呢……
畢竟新宿有很多便宜又好吃的店。",,"이게, 매일의 즐거움이야…
신주쿠에는 싸고 맛있는 가게가 잔뜩 있거든","Jeden Tag freue ich mich darauf.
In Shinjuku gibt es so viel günstiges, leckeres
Essen!"
1100,4342,,"Urgh... Per lavoro devo andare a Shibuya, poi
a Roppongi, poi ad Akihabara... Corro più della
linea ferroviaria!","嗚，接下來得搭電車到涉谷、六本木、秋葉原等地方
去跑業務。",,"으―… 이제 일 때문에, 시부야, 롯폰기, 아키하바라…
기타 등등으로, 전철로 이동해야 해―…","Argh ... Für die Arbeit muss ich nach Shibuya,
dann Roppongi, dann Akihabara ... Ich komme mehr
herum als die Bahnlinie!"
1101,4342,,"Agh... Se solo tutte queste compagnie fossero su EDEN...
Allora potrei semplicemente andarci velocemente con il loro URL...","唉～，要是所有的公司都在EDEN裡面的話，不知道該有多好。
那樣的話就可以靠URL直接飛過去了……",,"아―… 회사란 회사가 전부 EDEN에 있으면 좋을 텐데―…
그러면 URL로 휙 하고 날아갈 수 있는데―…","Ach ... Wenn diese Firmen doch nur in EDEN
wären ... Dann könnte ich einfach mit ihrer URL
rüberdüsen ..."
1200,4343,,Vai dritto da qui per andare in centro.,從這裡往前一直走就會到繁華街囉。,,"이 앞으로 쭉 가면, 번화가야",Von hier aus geht es geradeaus zur Innenstadt. 
1300,4344,,"Questi televisori della grande città sono davvero enormi!
Devono essere cento volte più grandi del mio!","城市裡的電視還真大台呢！
應該比我家的大上100倍吧！",,"도시의 TV는, 엄청 크구나!
우리 집 TV의 100배 정도는 되겠지―!","Die Bildschirme hier in der Metropole sind riesig!
Die sind sicher hundertmal so groß wie meiner!"
1301,4344,,"Lo schermo è molto più bello del mio, poi.
Guarda che colori! Pensi che sia al plasma?","畫面也比我家的還漂亮耶……
這是叫電、電漿什麼的玩意兒嗎？",,"화질도, 우리 집 TV보다 깔끔하네…
프, 플라즈마 어쩌고라는 건가?","Der Bildschirm ist auch viel besser als meiner.
Schau dir die Farben an! Meinst du, das ist ein
Plasmabildschirm?"
1400,4345,,"Non posso credere di aver portato questo buzzurro con me...
Che imbarazzo...","討厭，你一直大驚小怪的很蠢耶。
早知道就不要跟你一起來玩了，好丟臉。",,"정말, 시골서 올라온 티를 마구 내서 바보 같아…
같이 놀러 온 내가 다 부끄러워","Warum habe ich diesen Typen bloß mitgebracht?
Wie peinlich ..."
1500,4346,,"Forse dovrei pranzare in quel caffè alla moda...
Oppure, potrei prendere cotoletta di maiale come faccio sempre.
...Sì, non c'è competizione su questa.","今天中午就到那間咖啡廳享受優雅的午餐時光……
不，還是吃平常那家豬排店好了。",,"오늘 점심은 저기 있는 카페에서 우아하게…
아니, 역시 항상 가는 돈카츠 가게로 갈까","Vielleicht esse ich in dem tollen Café ...
Oder ich hol mir ein Schweineschnitzel, wie sonst
auch ... Ja, da muss ich nicht lang überlegen."
2000,4348,,"Il mio amico sta impazzendo per un certo ""fantasma invisibile""... Dice che brillava di blu e che si poteva vedere attraverso!","我朋友一直鬧說她在新宿看見了“透明妖怪＂。
聽說那個妖怪會發出藍色光芒，而且全身都是透明的哦。",,"친구가 신주쿠에서 ""투명한 요괴""를 봤다고 떠들고 있어
파랗게 빛나면서, 투명했다고 해","Ein Freund von mir dreht ab, wegen einem
„unsichtbaren Phantom“ ... Es soll wohl blau
leuchten und durchsichtig sein!"
2001,4348,,"Ho fatto delle ricerche e a quanto pare i social network sono
esplosi con discorsi e avvistamenti simili.
Ovviamente, nessuno ha prove fotografiche.","在網路上搜尋後，是有在SNS等處找到幾則
目擊到類似物體的訊息啦……
不過每一篇留言都沒有附上照片或影片。",,"인터넷에서 검색해 보니까, 비슷한 걸 봤다는 정보가
SNS 같은 곳에서 몇 개 있었는데… 모두
사진이나 동영상은 없단 말이지","Ich habe da nachgeforscht. Anscheinend gibt es bei
SNS ähnliche Berichte. Natürlich gibt es keine
fotografischen Beweise."
2002,4348,,Tutta quella roba è comunque completamente incredibile.,誰會相信那種無稽之談啊！,,"…그런 이야기, 믿을 리 없잖아",Das ist doch eh alles völlig unglaubwürdig.
2100,4349,,"Stavano facendo delle riprese clandestine per un qualche
film di mostri qui intorno. Hanno persino fatto un inseguimento
in auto proprio in mezzo alla città... che rischio!","之前好像有特攝電影的游擊拍攝呢。
聽說還是在這種街道上演飛車追逐，
真的很有膽量耶。",,"얼마 전에, 특촬 영화의 게릴라 촬영이 있었던 모양이야
이런 거리에서 카 액션까지 했다고 하니
꽤 대담하단 말이지","Hier in der Nähe wurde impromptu ein Monsterfilm
gedreht. Es gab sogar eine Verfolgungsjagd mit
Autos, mitten in der Stadt! Ganz schön gefährlich!"
