ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
0,4352,,"Senti, se hai qualcosa da dire, te ne esci
subito e ti sentirai meglio. È così che ti
comporti come un buon membro della società.","有話想說時，比起忍著不說，
不如乾脆講明會比較輕鬆……
這就是能巧妙活在社會上的方法。",,"말하고 싶은 것이 있다면 참는 것보단
차라리 털어놓는 편이 편해져…
그게 훌륭한 회사 생활 요령이야","Schau, wenn du was sagen willst, dann werde es
einfach los. Dann fühlst du dich besser. So
macht man das als guter Bürger."
1,4353,,"Sì, l'alacrità con cui hai riferito di aver
PERSO I DOCUMENTI è ammirevole. Rifallo e
sei licenziato.","雖然資料遺失的當下能立刻回報是很了不起……
但下次再犯的話……你就給我回家吃自己。",,"확실히 서류를 잃어버린 걸 바로 보고한 것은 잘했지만…
또 저질렀다간 해고다…넌","Ja, du hast bewundernswert eifrig gemeldet, dass
du die DOKUMENTE VERLOREN hast. Mach das noch
mal und du bist gefeuert."
2,4354,,"Quindi avevi intenzione di non portarmi
la mia bevanda finché non morivo di sete, o...?","真是的，太慢了吧！
不過就是去買個果汁，到底是要讓我等多久？",,"정말, 늦었잖아!
주스 하나 사러 가는데 언제까지 기다리게 할 생각이야?","Wolltest du warten, bis ich verdurste, bevor du
mir etwas zu trinken bringst, oder ...?"
3,4355,,"I-I-I... guarda, mi dispiace! Il posto era così, così affollato per qualche ragione...",不、不知道為什麼，店裡人很多……,,"어, 어째서인지는 모르겠지만, 가게가 혼잡해서…","I-I-Ich ... Es tut mir leid! Hier war es nur
irgendwie so voll ..."
4,4354,,"Uhm, sì, non sei mai stato in un negozio che
ha una stella Chimelin prima d'ora? Oh, guarda, ti sei dimenticato
anche la cannuccia! Ottimo!","那是當然的啊！　那是修米拉介紹過的名店喔！
啊，你還忘了拿吸管！",,"당연하잖아! 슐미랭에 소개된 인기 가게니까!
앗, 거기다가 빨대 깜박했잖아!","Äh, ja, warst du noch nie in einem Laden mit
Chimelin-Stern? Ach, und den Strohhalm hast du
auch vergessen, na prächtig!"
5,4355,,"Gah! Ci vado, ci vado a prenderne uno...",對、對不起，我馬上回去拿……,,"죄, 죄송해요, 바로 받아올게요…",Urks! I-Ich gehe einen holen ...
6,4354,,Faresti meglio a portarne due! ...Così io e te possiamo dividerle.,"要記得拿兩根吸管喔！
……我想跟你一起喝。",,"제대로 2개 받아오란 말이야!
…너하고 같이 마시고 싶으니까","Bring besser zwei mit! ... Damit wir es uns
teilen können."
7,4464,,La metropolitana di Shinjuku? È proprio giù per quelle scale.,"新宿的地下？
啊，只要下了這個樓梯就能到了……",,"신주쿠의 지하? 아아, 거기 계단을 내려가면 갈 수 있는데…","Die U-Bahnstation für Shinjuku?
Die ist gleich die Treppe da runter."
8,4465,,"Mi sono iscritto a un forum di buongustai su EDEN e ho scoperto la
ricetta più appetitosa che ci sia! Proverò
a prepararla stasera.","在EDEN喜歡料理人的討論區裡
得到了美味的食譜，今晚就來試試看吧。",,"EDEN에서 요리를 좋아하는 사람들의 포럼에 들어갔어.
맛있는 레시피를 배웠으니까, 오늘 밤에 시험해봐야지","Ich bin einem Forum für Gourmets in EDEN
beigetreten und habe ein Rezept gefunden, das
köstlich aussieht! Ich probiere es heute Abend."
9,4466,,Sembra che faremmo meglio a fare un salto al supermercato sulla via di casa!,那在回家的路上順便去買食材吧。,,"그럼, 돌아가는 길에 시장이라도 볼까","Wir sollten auf dem Heimweg wohl lieber im
Supermarkt vorbeischauen!"
