ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,4408,"","Eeeee! I found Jimiken's first single!!!
Jimiken was so cute even back then!!!","呀啊～！　發現吉米肯的第一張單曲了！
這時候的吉米肯還很可愛呢！！","","꺄―! 지미켄의 퍼스트 싱글을 찾았어!
이 시절의 지미켄, 엄청 귀여워―!!","Oooh! Ich habe die erste Single von Jimiken
gefunden! Schon damals war Jimiken so süß!"
150,4409,"","I listened to this album on a whim and really
liked it. Ever since, I've always enjoyed coming
by this store.","這張專輯聽起來的感覺非常棒。
就是因為會有這樣意外的發現，我才喜歡逛唱片行呢。","","이 앨범, 한번 들어 봤는데 엄청 좋은 느낌이었어
이런 뜻밖의 만남도 있어서, 매장에 들르는 게 좋아","Ich habe mir das Album zufällig angehört und es
hat mir sehr gefallen. Seitdem komme ich immer
gern in diesen Laden."
200,4060,"","If you don't see the CD you'd like, I can
backorder it for you, so don't hesitate to ask.","如果找不到想聽的CD，我們也可以為您調貨哦。
若有需要請儘管提出。","","듣고 싶은 CD가 없으면, 주문도 가능해요
편하게 상담하러 와 주세요","Wenn du die CD, die du möchtest, nicht finden
kannst, kann ich sie für dich bestellen.
Frag also ruhig nach."
250,4003,"","There's just something about flipping through a
rack of CDs that's not like anything else!","CD這種東西，果然還是要到店裡邊看封面邊找，
感覺才對啊！","","역시 CD는, 매장에서 커버를 보면서 찾지 않으면
기분이 안 난다니깐―!","Ach, nichts ist schöner, als in einem Regal mit
CDs zu stöbern!"
300,4001,"","Look at this spectacular lineup!
Surrounded by all these CDs, I just... I feel...!","請看看這些種類豐富的商品！　
光是受到這麼多CD包圍……我就、我就……！！","","보세요, 이 상품들을!
많은 CD에 둘러싸여 있는 것만으로도… 저는, 저는…!!","Schau dir diese spektakuläre Zusammenstellung an!
Umgeben von all diesen CDs bin ich ... Hach!"
350,4012,"","There, um, there are so many anime CDs here...
It's really the best. And, um, also, today,
Miss Reiko looks really, c-cute...","這、這裡連動畫的CD也很豐富……真的是太棒了。
……不、不過話說回來，田和玲子小姐今天也……很、很可愛啊。","","여, 여기는 애니메이션의 CD도 충실해서… 정말 최고예요
…그, 그건 그렇고 오늘의 타와 레이코 씨도… 귀, 귀여워","Hier, ähm, gibt es so viele Anime-CDs ...
Der Laden ist wirklich der beste. Ach und, äh,
Fräulein Reiko sieht so s-süß aus ..."
5000,4060,"","It's [p], master Cyber Sleuth!
Thank you for your help before!
Etemon and I have become fast friends.","啊！　是電腦偵探[p]！
上次真的很感謝你！
我跟悟空獸已經成為好朋友了♪","","아! 전뇌탐정 [p] 씨!
그때는 감사했습니다!
에테몬 씨와는, 이제 완전히 친구가 됐어요♪","[p], der meisterhafte Cyber-Detektiv!
Danke noch mal für deine Hilfe!
Etemon und ich haben uns schnell angefreundet."
5001,4060,"","...Hm? You're surprised I'm not afraid of Digimon?","……咦？　你問我會不會怕數碼寶貝？","","…에? 디지몬이 무섭지 않냐고요?","Hm? Du bist überrascht, dass ich vor Digimon
keine Angst habe?"
5002,4060,"","Of course I'm not! Music is what joins the world
together... Once we could commune together through
music, it didn't take long to become friends.","我完全不怕哦！　音樂能把不同的世界連結在一起……
只要一起談論音樂，馬上就成為朋友了！","","전혀 괜찮아요! 음악은 세계를 잇는 것…
함께 음악으로 이야기를 나누면, 바로 친구가 될 수 있어요!","Natürlich nicht! Musik bringt Leute zusammen ...
Seit wir musikalisch kommunizieren können,
sind wir schnell Freunde geworden."
5010,4060,"","Did you hear about what the Demons' Jimiken did?
Using music for evil...unforgivable!","你有聽說由惡魔亂舞的吉米肯所引發的那個事件嗎？
居然把音樂用在做壞事上，我饒不了他！","","데몬즈의 지미KEN이란 사람이 일으킨 사건,
들으셨어요? 음악을 나쁜 일에 사용하다니… 용서할 수 없어요!","Hast du gehört, was Jimiken von den Demons getan
hat? Er hat Musik für böse Zwecke eingesetzt ...
Unverzeihlich!"
5011,4060,"","...Ah? [p],
you were the one who resolved everything?","……咦？　
解決那個事件的人是[p]？","","…에?
사건을 해결한 게, [p] 씨인 건가요?","... Ach? [p],
du hast den ganzen Fall gelöst?"
5012,4060,"","That's wonderful! As befitting a Cyber Sleuth.
As a music-lover, I give you my thanks!","好厲害！　真不愧是電腦偵探呢♪
身為一個熱愛音樂的人，我要好好感謝你！","","굉장해요! 역시 전뇌탐정님이네요♪
음악을 사랑하는 한 사람으로서, 감사를 표할게요!","Wunderbar! Wie es sich für einen Cyber-Detektiv
gehört. Als jemand, dem Musik wichtig ist,
danke ich dir!"
5020,4060,"","Etemon's CD has been selling rather steadily.","最近悟空獸的CD賣得還不錯呢。","","최근, 에테몬 씨의 CD가 가끔 팔리고 있어요","Die CD von Etemon hat sich über längere Zeit gut
verkauft."
5021,4060,"","With such musicality at its core, it can only be
received well.","這表示大家慢慢接受
他那熱情的曲風了對吧！","","그 독창적인 음악성이
받아들여지고 있다는 거겠죠!","Wenn man so musikalisch ist,
kann das einfach nur gut ankommen."
5022,4060,"","While Etemon has some frightening sides, his
single-minded attention to music is wonderful.","悟空獸有些地方是挺可怕的，
不過他總是很認真地面對音樂，所以我很喜歡他♪","","에테몬 씨는, 조금 무서운 점도 있지만
진지하게 음악을 바라보고 있어서, 전 좋아해요♪","Etemon mag furchterregende Seiten haben, aber
seine völlige Hingabe zur Musik ist wunderbar."
5030,4060,"","Actually, Etemon and I have grown quite close.
After hours, we debate music late into the night.","其實我跟悟空獸的私交還不錯，
常常會在店裡打烊後跟他暢談音樂呢。","","실은 저, 에테몬 씨와 개인적으로 친하게 지내서
폐점 후에, 자주 음악 이야기로 꽃을 피우고 있어요","Ehrlich gesagt, stehen Etemon und ich uns wirklich
nah. Nach dem Feierabend reden wir nachts
stundenlang über Musik."
5031,4060,"","Lately he invited me to come visit his world...","他最近一直邀請我到他那邊的世界去……","","최근에,「이쪽 세계로 놀러 와」라고
초대를 받았는데요…","Vor Kurzem hat er mich eingeladen,
ihn in seiner Welt zu besuchen ..."
5032,4060,"","It's not a problem to go there, is it?
I mean, it's not as though I could never return to
the real world...right?","去那邊也沒關係吧？
應該不會發生再也回不了現實世界……之類的事吧？對吧？","","이건, 가도 괜찮겠죠?
두 번 다시 현실 세계로 돌아오지 못한다던가… 그럴 일은 없겠죠? 네?","Es ist kein Problem, dort hinzukommen, oder?
Schließlich kann ich ja immer in die echte
Welt zurückkehren ... nicht wahr?"
5040,4060,"","Hello, [p]!
I went to visit Etemon the other day.","啊，[p]！
其實我之前有到悟空獸那裡去玩了一趟。","","아, [p] 씨!
저 실은, 얼마 전에 에테몬 씨가 계신 곳에 놀러 갔다 왔어요","Hallo, [p]!
Ich habe Etemon neulich besucht."
5041,4060,"","Our passions for music burned the whole night
through... Etemon told me I was his soulmate.","我們互相吐露彼此對音樂的熱情，忘我地聊到了天亮……
悟空獸還說我是他的靈魂伴侶呢。","","서로의 음악을 향한 열정을 아침까지 이야기해서…
에테몬 씨, 저를 소울메이트라고 말씀해 주셨어요","Wir sind die ganze Nacht lang unserer Leidenschaft
für Musik nachgegangen ... Etemon meinte, wir
seien Seelenverwandte."
5042,4060,"","To think a human from the real world and a Digimon
from the digital world could have such a
relationship... Isn't it wonderful?","現實世界的人類居然能跟電腦世界的數碼寶貝
發展成這種關係……　真的很棒對吧♪","","현실 세계의 인간과, 전뇌세계의 디지몬이
그런 관계가 되다니… 멋지네요♪","Dass ein Mensch aus der echten Welt und ein
Digimon aus der Digitalen Welt sich so gut verstehen
können ... Ist das nicht wunderbar?"
5050,4060,"","Oh! [p],
I hope you've been all right!","啊！　[p]！
原來你平安無事啊！","","아! [p] 씨
무사하셨군요!","Ach! [p],
ich hoffe, dir geht es gut!"
5051,4060,"","What a thing to happen!
I'm used to it, due to Etemon, but still...","總覺得事情變得很棘手呢。
我因為跟悟空獸相處較久，已經很習慣了，
所以並不會感到特別在意，可是……","","왠지 큰일이 되어 버렸네요
전 에테몬 씨와 지낸 적이 있어서 익숙하니까 괜찮지만…","Was für ein Schock!
Ich bin wegen Etemon dran gewöhnt,
aber trotzdem ..."
5052,4060,"","...What's to become of us now?","接下來，
究竟會變得如何呢……","","…앞으로,
대체 어떻게 되는 걸까요","... Was wird jetzt aus uns werden?"
5060,4060,"","When the Digimon started appearing in the real
world, I was startled at first...","當數碼寶貝們開始在現實世界裡現身後，
我一開始也感到有些害怕……","","디지몬들이 현실 세계에 나타나게 돼서
처음엔 조금 무서웠지만…","Als die Digimon anfingen, in der echten Welt
zu erscheinen, war ich erst erschrocken ..."
5061,4060,"","But it meant I could speak directly with Etemon,
and music-loving Digimon could come to the shop.","但現在能直接跟悟空獸玩，
而且喜歡音樂的數碼寶貝也會到店裡來光顧。","","에테몬 씨와 직접 놀 수 있기도 하고
음악을 좋아하는 디지몬도 매장에 찾아오게 되었어요","Aber es bedeutete, dass ich direkt mit Etemon
sprechen konnte und dass Musik liebende Digimon
in den Laden kamen."
5062,4060,"","A world with that isn't so bad.","像這種世界也不錯吧♪","","이런 세계도, 나쁘지 않네요♪","Eine Welt, in der das passiert, ist nicht
schlecht."
5070,4060,"","The other day, Etemon gave me a pair of sunglasses
as a ""soulmate gift.""","之前悟空獸送了我一副墨鏡，
說是作為靈魂伴侶的證明。","","얼마 전에, 에테몬 씨에게서
소울메이트의 증표로, 선글라스를 받았어요","Neulich hat Etemon mir eine Sonnenbrille gegeben,
als ein „Geschenk für Seelenverwandte“."
5071,4060,"","I think they're actually one of Etemon's spares,
so they really seem expensive and rare...","那副墨鏡跟悟空獸戴的好像是一對的，
而且似乎是很昂貴的稀有款式……","","아무래도 에테몬 씨가 쓰고 계시는 선글라스의 예비용인 모양이라
고가에 레어한 물건인 것 같은데요…","In Wirklichkeit ist es wohl die Ersatzbrille von
Etemon. Sie sieht sehr teuer und exklusiv aus ..."
5072,4060,"","But I can't wear them while speaking with
customers... I don't know what to do.","但是我不能在店裡戴著墨鏡接待客人……
該怎麼辦才好呢……","","매장에서 선글라스를 쓰고 접객할 수도 없고…
어떻게 해야 좋을까요…","Ich kann sie aber nicht tragen, wenn ich mit
Kunden spreche ...
Ich weiß nicht, was ich tun soll."
5080,4060,"","Ehh-feee-mee-ralll hummingbiiiird~","苦～戀～的蜂鳥♪","","애달~ 프은~ 허밍 버드으으♪","Kuuurzleeebiiigeeer Koliiibriiiii~"
5081,4060,"","Oh! [p]!
Sorry, I'm still working...","啊！　[p]！
對不起，我這人真是的，居然在上班時唱起歌來……","","앗! [p] 씨!
죄송해요, 저도 참 근무중에…","Ach! [p]!
Ich muss leider noch arbeiten ..."
5082,4060,"","Lately, more than just listening to music,
I've been interested in singing...
I wonder if I could form a band with anyone?","我最近不只是聽音樂，還對唱歌產生了興趣。
啊～啊，我也好想跟別人組個樂團哦。","","저 최근, 음악을 듣는 것만이 아니라, 부르는 쪽에도 흥미가 있어서…
아~아, 저도 누군가랑 밴드 같은 걸 짜고 싶어요","In letzter Zeit höre ich nicht nur Musik, ich habe
auch angefangen zu singen ... Ob ich wohl mit
jemandem eine Band gründen könnte?"
