ID,Japanese,English,Chinese,EnglishCensored,Korean,German
501,"","05/01/20XX","20XX/05/01","","20XX/05/01","01.05.20XX"
504,"","05/04/20XX","20XX/05/04","","20XX/05/04","04.05.20XX"
508,"","05/08/20XX","20XX/05/08","","20XX/05/08","08.05.20XX"
515,"","05/15/20XX","20XX/05/15","","20XX/05/15","15.05.20XX"
521,"","05/21/20XX","20XX/05/21","","20XX/05/21","21.05.20XX"
527,"","05/27/20XX","20XX/05/27","","20XX/05/27","27.05.20XX"
601,"","06/01/20XX","20XX/06/01","","20XX/06/01","01.06.20XX"
603,"","06/03/20XX","20XX/06/03","","20XX/06/03","03.06.20XX"
604,"","06/04/20XX","20XX/06/04","","20XX/06/04","04.06.20XX"
607,"","06/07/20XX","20XX/06/07","","20XX/06/07","07.06.20XX"
610,"","06/10/20XX","20XX/06/10","","20XX/06/10","10.06.20XX"
612,"","06/12/20XX","20XX/06/12","","20XX/06/12","12.06.20XX"
615,"","06/15/20XX","20XX/06/15","","20XX/06/15","15.06.20XX"
620,"","06/20/20XX","20XX/06/20","","20XX/06/20","20.06.20XX"
621,"","06/21/20XX","20XX/06/21","","20XX/06/21","21.06.20XX"
623,"","06/23/20XX","20XX/06/23","","20XX/06/23","23.06.20XX"
626,"","06/26/20XX","20XX/06/26","","20XX/06/26","26.06.20XX"
630,"","06/30/20XX","20XX/06/30","","20XX/06/30","30.06.20XX"
1000,"","??/??/20XX","20XX/??/??","","20XX/??/??","??.??.20XX"
1001,"","07/01/20XX","20XX/07/01","","20XX/07/01","01.07.20XX"
1002,"","07/01/20XX","20XX/07/01","","20XX/07/01","01.07.20XX"
