ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","・Level 50 fixed/enhancements invalid
・Maximum memory 100
・CRT +50%","．等級固定在50／強化值無效
．隊伍容量100以內
．CRT發生率提昇50%","","・레벨 50 고정/강화치 무효
・메모리 100 이내
・크리티컬 발생률 50% 상승","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 100
・KRT +50 %"
2,"","・Level 50 fixed/enhancements invalid
・Maximum memory 30
・Form a party of only Champion level or lower
・Duplicate Digimon not permitted in party","．等級固定在50／強化值無效
．隊伍容量30以內
．僅能使用成熟期以下數碼寶貝
．隊伍內禁止使用相同數碼寶貝","","・레벨 50 고정/강화치 무효
・메모리 30 이내
・성숙기 이하 한정으로 파티 구성
・파티 내에서 같은 디지몬 사용 금지","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 30
・Gruppe nur mit Champion-Level oder darunter
・Doppelte Digimon nicht in Gruppe erlaubt"
3,"","・No level restriction/enhancements invalid
・Maximum memory 150
・Basic stats +50% for Earth attribute Digimon
・Physical damage +100%, magic damage -50%","．等級無限制／強化值無效
．隊伍容量150以內
．地屬性數碼寶貝基本屬性強化50%
．物理威力提昇100%，魔法威力下降50%","","・레벨 제한 없음/강화치 무효
・메모리 150 이내
・땅속성 디지몬의 기본 스테이터스 50% 상승
・물리위력 100% 상승 & 마법위력 50% 저하","・Keine Level-Einschr./Verbesserungen ungültig
・Speicher maximal 150
・Grundwerte für Erd-Digimon +50 %
・Phys. Schaden +100 %, mag. Schaden –50 %"
4,"","・No level restriction/enhancements invalid
・Maximum memory 100
・Basic stats +50% for Vaccine type Digimon
・Grants random abnormal status at end of turn","．等級無限制／強化值無效
．隊伍容量100以內
．疫苗種數碼寶貝基本屬性強化50%","","・레벨 제한 없음/강화치 무효
・메모리 100 이내
・백신종의 기본 스테이터스 50% 상승
・턴 종료 시 랜덤으로 상태이상 부여","・Keine Level-Einschr./Verbesserungen ungültig
・Speicher maximal 100
・Grundwerte für Serum-Digimon +50 %
・Zufällige Statusleiden am Ende des Zugs"
5,"","・Level 50 fixed/enhancements invalid
・Maximum memory 35
・Form a party of only Champion level or lower","．等級固定在50／強化值無效
．隊伍容量35以內
．僅能使用成熟期以下數碼寶貝","","・레벨 50 고정/강화치 무효
・메모리 35 이내
・성숙기 이하 한정으로 파티 구성","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 35
・Gruppe nur mit Champion-Level oder darunter"
6,"","・Level 50 fixed/enhancements invalid
・Maximum memory 100
・Basic stats +50% for Wind attribute Digimon
・Move order reversed","．等級固定在50／強化值無效
．隊伍容量100以內
．風屬性數碼寶貝基本屬性強化50%
．行動順序逆轉","","・레벨 50 고정/강화치 무효
・메모리 100 이내
・바람속성 디지몬의 기본 스테이터스 50% 상승
・행동 순서 역전","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 100
・Grundwerte für Wind-Digimon +50 %
・Aktionsreihenfolge umgekehrt"
7,"","・No level restriction/enhancements invalid
・Maximum memory 50
・Form a party of only Ultimate level or lower
・Duplicate Digimon not permitted in party","．等級無限制／強化值無效
．隊伍容量50以內
．僅能使用完全體以下數碼寶貝
．隊伍內禁止使用相同數碼寶貝","","・레벨 무제한/강화치 무효
・메모리 50 이내
・완전체 이하 한정으로 파티 구성
・파티 내에서 같은 디지몬 사용 금지","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 50
・Gruppe nur mit Ultra-Level oder darunter
・Doppelte Digimon nicht in Gruppe erlaubt"
8,"","・Level 99 fixed/enhancements invalid
・Maximum memory 150
・Basic stats +50% for Data type Digimon
・Physical damage +100%, magic damage -50%","．等級固定在99／強化值無效
．隊伍容量150以內
．資料種數碼寶貝基本屬性強化
．物理威力提昇100%，魔法威力下降50%","","・레벨 99 고정/강화치 무효
・메모리 150 이내
・데이터종의 기본 스테이터스 50% 상승
・물리공격력 100% 상승 & 마법위력 50% 저하","・Level 99 festgelegt/Verbesserungen ungültig
・Speicher maximal 150
・Grundwerte für Datei-Digimon +50 %
・Phys. Schaden +100 %, mag. Schaden –50 %"
9,"","・Level 50 fixed/enhancements invalid 
・Rookie HP and SP +50% ・Max. mem. 30
・Basic stats +200% for Rookie Digimon
・Duplicate Digimon not permitted in party","．等級固定在50／強化值無效．隊伍容量30以內
．成長期數碼寶貝HP、SP提昇50%
．成長期數碼寶貝基本屬性強化200%
．隊伍內禁止使用相同數碼寶貝","","・레벨 50 고정/강화치 무효, 메모리 30 이내
・성장기의 HP, SP 50% 상승
・HP, SP 이외의 스테이터스 200% 상승
・파티 내에서 같은 디지몬 사용 금지","・Level 50 festg./Verb. ung.・Speicher max. 30
・TP und SP für Rookies +50 %
・Grundwerte für Rookie-Digimon +200 %
・Doppelte Digimon nicht in Gruppe erlaubt"
10,"","・Level 50 fixed/enhancements invalid
・Maximum memory 100
・Basic stats +50% for Plant attribute Digimon
・Nullifies effect of type affinity","．等級固定在50／強化值無效
．隊伍容量100以內
．木屬性數碼寶貝基本屬性強化50%
．種族相性無效","","・레벨 50 고정/강화치 무효
・메모리 100 이내
・풀속성 디지몬의 기본 스테이터스 50% 상승
・종족별 상성 무효","・Level 50 festgelegt/Verbesserungen ungültig
・Speicher maximal 100
・Grundwerte für Pflanzen-Digimon +50 %
・Negiert Wirkung von Typ-Affinität"
