ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Ranking Battle","排名戰","","랭킹 배틀","Rangkampf"
2,"","Local Battle","區域對戰","","로컬 배틀","Lokaler Kampf"
3,"","Opponent Search","搜尋對戰對手","","대전 상대를 찾는다","Gegnersuche"
4,"","See Top 100","檢視TOP 100","","TOP 100을 본다","Top 100 zeigen"
5,"","See My Rank","檢視個人排名","","마이 랭킹을 본다","Mein Rang"
1001,"","*Cannot battle if Party Memory is more than
150.
*All Digimon levels in transmission battles
are set to Lv. 50 for the battle.","・隊伍上限超過150的玩家無法進行對戰。

・連線對戰時使用的數碼寶貝的等級一律為50
  （僅限戰鬥中）。","","*파티 메모리가 150 이하가 아니면 대전할 수 없습니다.
*통신 배틀에서 사용하는 디지몬의 레벨은 배틀 중 
60이 됩니다.","*Kein Kampf möglich, wenn der Gruppenspeicher
über 150 liegt.
Alle Digimon-Level werden für die Kampfdauer
auf Lv. 50 gesetzt."
9900,"","000DENNOUTANNTEI","000DENNOUTANNTEI","","000DENNOUTANNTEI","000DENNOUTANNTEI"
9901,"","001TYPHOONGIRLSN","001TYPHOONGIRLSN","","001TYPHOONGIRLSN","001TYPHOONGIRLSN"
9902,"","002DENSETUHACKER","002DENSETUHACKER","","002DENSETUHACKER","002DENSETUHACKER"
9903,"","003GOHANNDAISUKI","003GOHANNDAISUKI","","003GOHANNDAISUKI","003GOHANNDAISUKI"
9904,"","004OTAKUHACKERSA","004OTAKUHACKERSA","","004OTAKUHACKERSA","004OTAKUHACKERSA"
9905,"","005TETTOUTETSUBI","005TETTOUTETSUBI","","005TETTOUTETSUBI","005TETTOUTETSUBI"
9906,"","006AKEMICHANSHOP","006AKEMICHANSHOP","","006AKEMICHANSHOP","006AKEMICHANSHOP"
9907,"","007RIECHANMOEMOE","007RIECHANMOEMOE","","007RIECHANMOEMOE","007RIECHANMOEMOE"
9908,"","008SJMATAGIKEIJI","008SJMATAGIKEIJI","","008SJMATAGIKEIJI","008SJMATAGIKEIJI"
9909,"","009STHUMMINGBIRD","009STHUMMINGBIRD","","009STHUMMINGBIRD","009STHUMMINGBIRD"
9910,"","010TOMODACIDOSUE","010TOMODACIDOSUE","","010TOMODACIDOSUE","010TOMODACIDOSUE"
9911,"","011MOTOYANKIGIRL","011MOTOYANKIGIRL","","011MOTOYANKIGIRL","011MOTOYANKIGIRL"
9912,"","012KUUHAKUNOSEKI","012KUUHAKUNOSEKI","","012KUUHAKUNOSEKI","012KUUHAKUNOSEKI"
9913,"","013OISUTERVFORCE","013OISUTERVFORCE","","013OISUTERVFORCE","013OISUTERVFORCE"
9914,"","014MIKATAWASMALL","014MIKATAWASMALL","","014MIKATAWASMALL","014MIKATAWASMALL"
9915,"","015CAFEDEOSUWARI","015CAFEDEOSUWARI","","015CAFEDEOSUWARI","015CAFEDEOSUWARI"
9916,"","016GANNKONAOYAJI","016GANNKONAOYAJI","","016GANNKONAOYAJI","016GANNKONAOYAJI"
9917,"","017DEBANNSUKUNAI","017DEBANNSUKUNAI","","017DEBANNSUKUNAI","017DEBANNSUKUNAI"
9918,"","018TEKKENNSEIBAI","018TEKKENNSEIBAI","","018TEKKENNSEIBAI","018TEKKENNSEIBAI"
9919,"","019TUUITEKOREMAI","019TUUITEKOREMAI","","019TUUITEKOREMAI","019TUUITEKOREMAI"
9920,"","020DKCRIMSONMODE","020DKCRIMSONMODE","","020DKCRIMSONMODE","020DKCRIMSONMODE"
9921,"","021BUSHIDOSEISIN","021BUSHIDOSEISIN","","021BUSHIDOSEISIN","021BUSHIDOSEISIN"
9922,"","022YGGDRASILLISI","022YGGDRASILLISI","","022YGGDRASILLISI","022YGGDRASILLISI"
9923,"","023PLASMASHOOOOT","023PLASMASHOOOOT","","023PLASMASHOOOOT","023PLASMASHOOOOT"
9924,"","024ROSEKNIGHTMON","024ROSEKNIGHTMON","","024ROSEKNIGHTMON","024ROSEKNIGHTMON"
101,"","Event Battle: [d0]","【活動戰鬥】[d0]","","【이벤트 배틀】[d0]","Eventkampf: [d0] "
102,"","Limited-Time Item","期間限定道具","","기간 한정 아이템","Zeitlich begrenztes Item"
