ID,Japanese,English,Chinese,EnglishCensored,Korean,German
301,"","Max HP +50
/Equipment","最大HP+50
／裝備","","최대 HP+50
/장비품","Max. TP +50
/Ausrüstung"
302,"","Max HP +100
/Equipment","最大HP+100
／裝備","","최대 HP+100
/장비품","Max. TP +100
/Ausrüstung"
303,"","Max HP +150
/Equipment","最大HP+150
／裝備","","최대 HP+150
/장비품","Max. TP +150
/Ausrüstung"
304,"","Max HP +200
/Equipment","最大HP+200
／裝備","","최대 HP+200
/장비품","Max. TP +200
/Ausrüstung"
305,"","Max HP +250
/Equipment","最大HP+250
／裝備","","최대 HP+250
/장비품","Max. TP +250
/Ausrüstung"
306,"","Max SP +5
/Equipment","最大SP+5
／裝備","","최대 SP+5
/장비품","Max. SP +5
/Ausrüstung"
307,"","Max SP +10
/Equipment","最大SP+10
／裝備","","최대 SP+10
/장비품","Max. SP +10
/Ausrüstung"
308,"","Max SP +15
/Equipment","最大SP+15
／裝備","","최대 SP+15
/장비품","Max. SP +15
/Ausrüstung"
309,"","Max SP +20
/Equipment","最大SP+20
／裝備","","최대 SP+20
/장비품","Max. SP +20
/Ausrüstung"
310,"","Max SP +25
/Equipment","最大SP+25
／裝備","","최대 SP+25
/장비품","Max. SP +25
/Ausrüstung"
311,"","ATK +5
/Equipment","ATK+5
／裝備","","공격력+5
/장비품","ANG +5
/Ausrüstung"
312,"","ATK +10
/Equipment","ATK+10
／裝備","","공격력+10
/장비품","ANG +10
/Ausrüstung"
313,"","ATK +15
/Equipment","ATK+15
／裝備","","공격력+15
/장비품","ANG +15
/Ausrüstung"
314,"","ATK +20
/Equipment","ATK+20
／裝備","","공격력+20
/장비품","ANG +20
/Ausrüstung"
315,"","ATK +25
/Equipment","ATK+25
／裝備","","공격력+25
/장비품","ANG +25
/Ausrüstung"
316,"","DEF +5
/Equipment","DEF+5
／裝備","","방어력+5
/장비품","VER +5
/Ausrüstung"
317,"","DEF +10
/Equipment","DEF+10
／裝備","","방어력+10
/장비품","VER +10
/Ausrüstung"
318,"","DEF +15
/Equipment","DEF+15
／裝備","","방어력+15
/장비품","VER +15
/Ausrüstung"
319,"","DEF +20
/Equipment","DEF+20
／裝備","","방어력+20
/장비품","VER +20
/Ausrüstung"
320,"","DEF +25
/Equipment","DEF+25
／裝備","","방어력+25
/장비품","VER +25
/Ausrüstung"
321,"","INT +5
/Equipment","INT+5
／裝備","","지력+5
/장비품","INT +5
/Ausrüstung"
322,"","INT +10
/Equipment","INT+10
／裝備","","지력+10
/장비품","INT +10
/Ausrüstung"
323,"","INT +15
/Equipment","INT+15
／裝備","","지력+15
/장비품","INT +15
/Ausrüstung"
324,"","INT +20
/Equipment","INT+20
／裝備","","지력+20
/장비품","INT +20
/Ausrüstung"
325,"","INT +25
/Equipment","INT+25
／裝備","","지력+25
/장비품","INT +25
/Ausrüstung"
326,"","SPD +5
/Equipment","SPD+5
／裝備","","민첩+5
/장비품","GES +5
/Ausrüstung"
327,"","SPD +10
/Equipment","SPD+10
／裝備","","민첩+10
/장비품","GES +10
/Ausrüstung"
328,"","SPD +15
/Equipment","SPD+15
／裝備","","민첩+15
/장비품","GES +15
/Ausrüstung"
329,"","SPD +20
/Equipment","SPD+20
／裝備","","민첩+20
/장비품","GES +20
/Ausrüstung"
330,"","SPD +25
/Equipment","SPD+25
／裝備","","민첩+25
/장비품","GES +25
/Ausrüstung"
331,"","ACU +5%
/Equipment","ACU+5%
／裝備","","명중률+5%
/장비품","GEN +5 %
/Ausrüstung"
332,"","ACU +10%
/Equipment","ACU+10%
／裝備","","명중률+10%
/장비품","GEN +10 %
/Ausrüstung"
333,"","ACU +15%
/Equipment","ACU+15%
／裝備","","명중률+15%
/장비품","GEN +15 %
/Ausrüstung"
334,"","EVA +3%
/Equipment","EVA+3%
／裝備","","회피율+3%
/장비품","AWN +3 %
/Ausrüstung"
335,"","EVA +6%
/Equipment","EVA+6%
／裝備","","회피율+6%
/장비품","AWN +6 %
/Ausrüstung"
336,"","EVA +9%
/Equipment","EVA+9%
／裝備","","회피율+9%
/장비품","AWN +9 %
/Ausrüstung"
337,"","CRT +5%
/Equipment","CRT+5%
／裝備","","크리티컬 발생 확률+5%
/장비품","KRT +5 %
/Ausrüstung"
338,"","CRT +10%
/Equipment","CRT+10%
／裝備","","크리티컬 발생 확률+10%
/장비품","KRT +10 %
/Ausrüstung"
339,"","CRT +15%
/Equipment","CRT+15%
／裝備","","크리티컬 발생 확률+15%
/장비품","KRT +15 %
/Ausrüstung"
340,"","HP +100, SP +10
/Equipment","HP+100　SP+10
／裝備","","HP+100, SP+10 
/장비품","TP +100, SP +10
/Ausrüstung"
341,"","HP +100, ATK +10
/Equipment","HP+100　ATK+10
／裝備","","HP+100, 공격력+10 
/장비품","TP +100, ANG +10
/Ausrüstung"
342,"","HP +100, DEF +10
/Equipment","HP+100　DEF+10
／裝備","","HP+100, 방어력+10 
/장비품","TP +100, VER +10
/Ausrüstung"
343,"","HP +100, INT +10
/Equipment","HP+100　INT+10
／裝備","","HP+100, 지력+10 
/장비품","TP +100, INT +10
/Ausrüstung"
344,"","HP +100, SPD +10
/Equipment","HP+100　SPD+10
／裝備","","HP+100, 민첩+10 
/장비품","TP +100, GES +10
/Ausrüstung"
345,"","SP +10, ATK +10
/Equipment","SP+10　ATK+10
／裝備","","SP+10, 공격력+10 
/장비품","SP +10, ANG +10
/Ausrüstung"
346,"","SP +10, DEF +10
/Equipment","SP+10　DEF+10
／裝備","","SP+10, 방어력+10 
/장비품","SP +10, VER +10
/Ausrüstung"
347,"","SP +10, INT +10
/Equipment","SP+10　INT+10
／裝備","","SP+10, 지력+10 
/장비품","SP +10, INT +10
/Ausrüstung"
348,"","SP +10, SPD +10
/Equipment","SP+10　SPD+10
／裝備","","SP+10, 민첩+10 
/장비품","SP +10,GES +10
/Ausrüstung"
349,"","ATK +10, DEF +10
/Equipment","ATK+10　DEF+10
／裝備","","공격력+10, 방어력+10 
/장비품","ANG +10, VER +10
/Ausrüstung"
350,"","ATK +10, INT +10
/Equipment","ATK+10　INT+10
／裝備","","공격력+10, 지력+10 
/장비품","ANG +10, INT +10
/Ausrüstung"
351,"","ATK +10, SPD +10
/Equipment","ATK+10　SPD+10
／裝備","","공격력+10, 민첩+10
/장비품","ANG +10, GES +10
/Ausrüstung"
352,"","DEF +10, INT +10
/Equipment","DEF+10　INT+10
／裝備","","방어력+10, 지력+10 
/장비품","VER +10, INT +10
/Ausrüstung"
353,"","DEF +10, SPD +10
/Equipment","DEF+10　SPD+10
／裝備","","방어력+10, 민첩+10 
/장비품","VER +10, GES +10
/Ausrüstung"
354,"","INT +10, SPD +10
/Equipment","INT+10　SPD+10
／裝備","","지력+10, 민첩+10 
/장비품","INT +10, GES +10
/Ausrüstung"
355,"","INT +10, ACU +5%
/Equipment","INT+10　ACU+5%
／裝備","","지력+10, 명중률+5%
/장비품","INT +10, GEN +5 %
/Ausrüstung"
356,"","SPD +10, EVA +5%
/Equipment","SPD+10　EVA+5%
／裝備","","민첩+10, 회피율+5%
/장비품","GES +10, AWN +5 %
/Ausrüstung"
357,"","ATK +10, CRT +5%
/Equipment","ATK+10　CRT+5%
／裝備","","공격력+10, 크리티컬 발생 확률+5%
/장비품","ANG +10, KRT +5 %
/Ausrüstung"
358,"","Max HP +50, Max SP +5, ATK +5
DEF +5, INT +5, SPD +5 /Equipment","最大HP+50　最大SP+5　ATK+5
DEF+5　INT+5　SPD+5／裝備","","최대HP+50, 최대SP+5, 공격력+5
방어력+5, 지력+5, 민첩+5 /장비품","Max. TP +50, max. SP +5, ANG +5,
VER +5, INT +5, GES +5 /Ausrüstung"
359,"","Fire attribute damage -20%
/Equipment","火屬性傷害減少20%
／裝備","","불속성 대미지 20% 감소
/장비품","Feuerschaden –20 %
/Ausrüstung"
360,"","Fire attribute damage -30%,
Plant attribute damage +10% /Equipment","火屬性傷害減少30%，
木屬性傷害增加10%／裝備","","불속성 대미지 30% 감소
풀속성 대미지 10% 증가 /장비품","Feuerschaden –30 %,
Pflanzenschaden +10 % /Ausrüstung"
361,"","Water attribute damage -20%
/Equipment","水屬性傷害減少20%
／裝備","","물속성 대미지 20% 감소
/장비품","Wasserschaden –20 %
/Ausrüstung"
362,"","Water attribute damage -30%,
Fire attribute damage +10% /Equipment","水屬性傷害減少30%，
火屬性傷害增加10%／裝備","","물속성 대미지 30% 감소
불속성 대미지 10% 증가 /장비품","Wasserschaden –30 %,
Feuerschaden +10 % /Ausrüstung"
363,"","Plant attribute damage -20%
/Equipment","木屬性傷害減少20%
／裝備","","풀속성 대미지 20% 감소
/장비품","Pflanzenschaden –20 %
/Ausrüstung"
364,"","Plant attribute damage -30%,
Water attribute damage +10% /Equipment","木屬性傷害減少30%，
水屬性傷害增加10%／裝備","","풀속성 대미지 30% 감소
물속성 대미지 10% 증가 /장비품","Pflanzenschaden –30 %,
Wasserschaden +10 % /Ausrüstung"
365,"","Electric attribute damage -20%
/Equipment","雷屬性傷害減少20%
／裝備","","전기속성 대미지 20% 감소
/장비품","Elektroschaden –20 %
/Ausrüstung"
366,"","Electric attribute damage -30%,
Wind attribute damage +10% /Equipment","雷屬性傷害減少30%，
風屬性傷害增加10%／裝備","","전기속성 대미지 30% 감소
바람속성 대미지 10% 증가 /장비품","Elektroschaden –30 %,
Windschaden +10 % /Ausrüstung"
367,"","Earth attribute damage -20%
/Equipment","土屬性傷害減少20%
／裝備","","땅속성 대미지 20% 감소
/장비품","Erdschaden –20 %
/Ausrüstung"
368,"","Earth attribute damage -30%,
Electric attribute damage +10% /Equipment","土屬性傷害減少30%，
雷屬性傷害增加10%／裝備","","땅속성 대미지 30% 감소
전기속성 대미지 10% 증가 /장비품","Erdschaden –30 %,
Elektroschaden +10 % /Ausrüstung"
369,"","Wind attribute damage -20%
/Equipment","風屬性傷害減少20%
／裝備","","바람속성 대미지 20% 감소
/장비품","Windschaden –20 %
/Ausrüstung"
370,"","Wind attribute damage -30%,
Earth attribute damage +10% /Equipment","風屬性傷害減少30%，
土屬性傷害增加10%／裝備","","바람속성 대미지 30% 감소
땅속성 대미지 10% 증가 /장비품","Windschaden –30 %,
Erdschaden +10 % /Ausrüstung"
371,"","Light attribute damage -20%
/Equipment","光屬性傷害減少20%
／裝備","","빛속성 대미지 20% 감소
/장비품","Lichtschaden –20 %
/Ausrüstung"
372,"","Light attribute damage -30%,
Dark attribute damage +10% /Equipment","光屬性傷害減少30%，
闇屬性傷害增加10%／裝備","","빛속성 대미지 30% 감소
어둠속성 대미지 10% 증가 /장비품","Lichtschaden –30 %,
Dunkelheitsschaden +10 % /Ausrüstung"
373,"","Dark attribute damage -20%
/Equipment","闇屬性傷害減少20%
／裝備","","어둠속성 대미지 20% 감소
/장비품","Dunkelheitsschaden –20 %
/Ausrüstung"
374,"","Dark attribute damage -30%,
Light attribute damage +10% /Equipment","闇屬性傷害減少30%，
光屬性傷害增加10%／裝備","","어둠속성 대미지 30% 감소
빛속성 대미지 10% 증가 /장비품","Dunkelheitsschaden –30 %,
Lichtschaden +10 % /Ausrüstung"
375,"","Neutral attribute damage -20%
/Equipment","無屬性傷害減少20%
／裝備","","무속성 대미지 20% 감소
/장비품","Neutralschaden –20 %
/Ausrüstung"
376,"","Neutral attribute damage -30%,
Non-neutral attribute damage +5% /Equipment","無屬性傷害減少30%，
無屬性以外的傷害增加5%／裝備","","무속성 대미지 30% 감소
무속성 외의 대미지 5% 증가 /장비품","Neutralschaden –30 %,
sonstiger Schaden +5 % /Ausrüstung"
377,"","All attribute damage -10%
/Equipment","全屬性傷害減少10%
／裝備","","모든 속성 대미지 10% 감소
/장비품","Jeglicher Schaden –10 %
/Ausrüstung"
378,"","Halves Poison success rate
/Equipment","陷入“劇毒”狀態的機率減半
／裝備","","""맹독""에 걸릴 확률 반감
/장비품","Halbe Vergiftungsrate
/Ausrüstung"
379,"","Prevents Poison
/Equipment","不會陷入“劇毒”狀態
／裝備","","""맹독""에 걸리지 않게 됨
/장비품","Verhindert Vergiftung
/Ausrüstung"
380,"","Halves Confusion success rate
/Equipment","陷入“混亂”狀態的機率減半
／裝備","","""혼란""에 걸릴 확률 반감
/장비품","Halbe Verwirrungsrate
/Ausrüstung"
381,"","Prevents Confusion
/Equipment","不會陷入“混亂”狀態
／裝備","","""혼란""에 걸리지 않게 됨
/장비품","Verhindert Verwirrung
/Ausrüstung"
382,"","Halves Paralysis success rate
/Equipment","陷入“麻痺”狀態的機率減半
／裝備","","""마비""에 걸릴 확률 반감
/장비품","Halbe Lähmungsrate
/Ausrüstung"
383,"","Prevents Paralysis
/Equipment","不會陷入“麻痺”狀態
／裝備","","""마비""에 걸리지 않게 됨
/장비품","Verhindert Lähmung
/Ausrüstung"
384,"","Halves Sleep success rate
/Equipment","陷入“睡眠”狀態的機率減半
／裝備","","""수면""에 걸릴 확률 반감
/장비품","Halbe Schlafrate
/Ausrüstung"
385,"","Prevents Sleep
/Equipment","不會陷入“睡眠”狀態
／裝備","","""수면""에 걸리지 않게 됨
/장비품","Verhindert Schlaf
/Ausrüstung"
386,"","Halves Stun success rate
/Equipment","陷入“暈眩”狀態的機率減半
／裝備","","""마비""에 걸릴 확률 반감
/장비품","Halbe Betäubungsrate
/Ausrüstung"
387,"","Prevents Stun
/Equipment","不會陷入“暈眩”狀態
／裝備","","""마비""에 걸리지 않게 됨
/장비품","Verhindert Betäubung
/Ausrüstung"
388,"","Halves Dot success rate
/Equipment","陷入“液晶化”狀態的機率減半
／裝備","","""액정화""에 걸릴 확률 반감
/장비품","Halbe Verpixelungsrate
/Ausrüstung"
389,"","Prevents Dot
/Equipment","不會陷入“液晶化”狀態
／裝備","","""액정화""에 걸리지 않게 됨
/장비품","Verhindert Verpixeln
/Ausrüstung"
390,"","Halves Bug success rate
/Equipment","陷入“Bug”狀態的機率減半
／裝備","","""버그""에 걸릴 확률 반감
/장비품","Halbe Fehlerrate
/Ausrüstung"
391,"","Prevents Bug
/Equipment","不會陷入“Bug”狀態
／裝備","","""버그""에 걸리지 않게 됨
/장비품","Verhindert Fehler
/Ausrüstung"
392,"","Halves Instant Death success rate
/Equipment","陷入“即死”狀態的機率減半
／裝備","","""즉사""에 걸릴 확률 반감
/장비품","Halbe Soforttodrate
/Ausrüstung"
393,"","Prevents Instant Death
/Equipment","不會陷入“即死”狀態
／裝備","","""즉사""에 걸리지 않게 됨
/장비품","Verhindert Soforttod
/Ausrüstung"
394,"","Halves Instant Death success rate
/Equipment","陷入“所有異常狀態”的機率減半
／裝備","","""모든 상태이상""에 걸릴 확률 반감
/장비품","Halbiert die Wahrscheinlichkeit 
von Statusleiden /Ausrüstung"
395,"","Combo rate +10%
/Equipment","連擊發生機率+10%
／裝備","","콤보 발생 확률+10%
/장비품","Komborate +10 %
/Ausrüstung"
396,"","Always successful escaping from battle.
/Equipment","逃脫必定成功
／裝備","","도주에 반드시 성공
/장비품","Immer erfolgreiche Flucht
/Ausrüstung"
397,"","Increases EXP earned in battle.
/Equipment","增加戰鬥時獲取的EXP
／裝備","","배틀로 얻는 EXP가 증가
/장비품","Mehr EP durch Kämpfe
/Ausrüstung"
398,"","Increases yen earned in battle.
/Equipment","增加戰鬥時獲取的YEN
／裝備","","배틀로 얻는 YEN가 증가
/장비품","Mehr Yen durch Kämpfe
/Ausrüstung"
399,"","Increases foe drop rate for items.
/Equipment","增加敵人掉落道具的機率
／裝備","","적이 아이템을 드롭할 확률 증가
/장비품","Mehr Items von 
Gegnern. /Ausrüstung"
400,"","Increases data obtained when scanning.
/Equipment","增加掃描時獲取的數據
／裝備","","스캔 시 획득하는 데이터 증가
/장비품","Mehr Daten durch Scannen
/Ausrüstung"
401,"","All attribute damage -10%
/Equipment","全屬性傷害減少10%
／裝備","","모든 속성 대미지 10% 감소
/장비품","Jeglicher Schaden –10 %
/Ausrüstung"
402,"","Reduces DEF/INT-penetrating
damage 100%. /Equipment","DEF．INT貫穿損傷減少100%
／裝備","","방어와 지력 관통 대미지 100% 감소
/장비품","Reduziert ABW-/INT-durchdringenden
Schaden um 100 %. /Ausrüstung"
403,"","Reduces DEF/INT-penetrating
damage 30%. /Equipment","DEF．INT貫穿損傷減少30%
／裝備","","방어와 지력 관통 대미지 30% 감소
/장비품","Reduziert ABW-/INT-durchdringenden
Schaden um 30 %. /Ausrüstung"
10101,"","Latest Digivice worn by a certain Cyber
Sleuth. /Accessory","某位電腦偵探也有配戴的
最新型Digivice/飾品","","어떤 전뇌탐정이 사용했다는
최신형 디지바이스 /액세서리","Aktuelles Digivice, getragen von einem
gewissen Cyber-Detektiv. /Accessoire"
12401,"","Color swap for the latest Digivice worn
by a certain Cyber Sleuth. /Accessory","某位電腦偵探戴的
最新型Digivice別色款／飾品","","어떤 전뇌탐정이 사용했다는
최신형 디지바이스 /액세서리","Neue Farbe für das aktuelle Digivice
des Cyber-Detektivs. /Accessoire"
10201,"","High-powered visor worn by a certain
hacker. /Accessory","某位駭客戴的
高性能顯示器／飾品","","어떤 해커가 사용했다는
고성능 바이저 /액세서리","Leistungsfähiges Visier eines gewissen
Hackers. /Accessoire"
12501,"","Color swap for the high-powered visor
worn by a certain hacker. /Accessory","某位駭客戴的
高性能顯示器別色款／飾品","","어떤 해커가 사용했다는
색다른 고성능 바이저 /액세서리","Neue Farbe für leistungsfähiges Visier
eines gewissen Hackers. /Accessoire"
10301,"","A Japanese New Year's decoration.
The standard fare. /Accessory","日本傳統新年飾品。
標準的貢品麻糬／飾品","","일본의 전통적인 정월 장식.
표준적인 찰떡 /액세서리","Eine japanische Neujahrs-Deko.
Ganz traditionell. /Accessoire"
10302,"","A Japanese New Year's decoration.
Red and white for extra pep. /Accessory","日本傳統新年飾品。
紅白能提昇喜氣？／飾品","","일본의 전통적인 정월 장식.
홍백이라 상서로움이 상승? /액세서리","Eine japanische Neujahrs-Deko.
Schicker in Rot und Weiß. /Accessoire"
12601,"","A Japanese New Year's decoration.
Have a gorgeous New Year! /Accessory","日本傳統新年飾品。能過個
豪華的一年……大概吧／飾品","","일본의 전통적인 정월 장식. 
멋진 1년이 될…지도 모른다 /액세서리","Eine japanische Neujahrs-Deko.
Für ein luxuriöses Neujahr! /Accessoire"
10401,"","Bold use of Motimon in a Japanese New
Year's decoration. Do not eat! /Accessory","大膽用年糕獸來當日本傳統
新年飾品。不能吃喔！／飾品","","일본의 전통적인 정월 장식에 모티몬을
대담하게 기용. 먹으면 안 돼! /액세서리","Kühner Einsatz von Motimon für
Neujahrs-Deko. Nicht essen! /Accessoire"
10501,"","Heart-shaped chocolate. Slightly bitter
flavor for adults. /Accessory","心型的巧克力。
有點成熟的苦味／飾品","","하트형 초콜릿
조금 어른스러운 쓴 맛 /액세서리","Leicht bittere, herzförmige Schokolade
für Erwachsene. /Accessoire"
10502,"","Heart-shaped white chocolate. Overflows
with a happy sweetness. /Accessory","心型的白巧克力。
滿滿甜味的幸福滋味／飾品","","하트형 화이트 초콜릿
달콤함이 가득한 행복의 맛 /액세서리","Herzförmige weiße Schokolade.
So richtig schön süß. /Accessoire"
12701,"","Heart emoji. Slap it on the person you
like and they like you back! /Accessory","愛心的表情符號。給喜歡的人裝，
心情就是兩情相悅！／飾品","","하트 이모션 마크. 좋아하는 아이에게
붙여주면 사랑이 이루어진 기분! /액세서리","Herz-Emoji. Verpass es deiner geliebten
Person für erwiderte Liebe! /Accessoire"
12702,"","Broken heart emoji. Perfect for the
lovelorn... /Accessory","破碎愛心的表情符號。
心情進入失戀模式...／飾品","","갈라진 하트 이모션 마크.
기분이 순식간에 실연 모드로… /액세서리","Gebrochenes-Herz-Emoji. Perfekt
für Liebeskummer ... /Accessoire"
12801,"","Golden heart emoji. Shows the strength
of your feelings!(?) /Accessory","黃金愛心的表情符號。
能展現出感情的強度！？／飾品","","금색 하트 이모션 마크.
강한 감정을 표현할 수 있나?! /액세서리","Goldenes-Herz-Emoji. Zeigt, wie stark
deine Gefühle sind! /Accessoire"
12901,"","A popular flower that blooms in spring.
Famous bloom from Holland. /Accessory","春天綻放的知名花種。
出產國的荷蘭也跟著出名／飾品","","봄 무렵에 피는 인기있는 꽃.
생산국으로는 네덜란드가 유명 /액세서리","Ein beliebter Frühlingsblüher aus
Holland. /Accessoire"
13001,"","A golden tulip. It should mean ""shining
love"" in flower language. /Accessory","金色鬱金香。
想展現「耀眼的愛情」／飾品","","금색 튤립. 꽃말은
「빛나는 사랑」을 이루고 싶다 /액세서리","Eine goldene Tulpe. Sie bedeutet:
„wunderbare Liebe“. /Accessoire"
10701,"","Replica of Taomon's headgear. Wearing it
won't let you use spells. /Accessory","道士獸戴的烏帽子複製品。
戴上也使不出陰陽術／飾品","","도사몬이 쓰고 있는 모자의 레플리카.
써봤자 음양술은 사용하지 못한다 /액세서리","Kopie von Taomons Kopfbedeckung.
Verhindert Zauberei. /Accessoire"
10801,"","Replica of BanchoLeomon's hat.
It should suit some Digimon. /Accessory","番長獅子獸的帽子複製品。
給適合的數碼寶貝戴吧／飾品","","반쵸레오몬 모자의 레플리카.
어울리는 디지몬에게 씌워보자 /액세서리","Kopie von BanchoLeomons Hut.
Passt einigen Digimon. /Accessoire"
10901,"","Replica of a police officer's hat. Lets
you police Digimon. ...Maybe? /Accessory","警察帽子複製品。能以數碼寶貝警察
來大幅活躍……大概吧／飾品","","경찰 모자의 레플리카. 디지몬 경찰로서
활약할 수 있을…지도 모른다 /액세서리","Kopie einer Polizistenmütze. Sorgt bei
Digimon für Ordnung? /Accessoire"
10902,"","Replica of a captain's hat. Set sail to
protect the seas. ...Or don't? /Accessory","艦長帽子複製品。負起守護
海洋和平的任務……大概吧／飾品","","함장 모자의 레플리카. 바다의 평화를 지키는
임무에 취임…할 지도 모른다 /액세서리","Kopie einer Kapitänsmütze. Segle los und
schütze die Meere. Oder so. /Accessoire"
