ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Case solved: Facing Lust","完成委託「與色慾的相會」","","의뢰「색욕과의 대면」을 해결했다","Fall gelöst: Im Angesicht des Begehrens"
2,"","Case solved: Confrontation with Gluttony","完成委託「與暴食的對峙」","","의뢰「폭식과의 상대」를 해결했다","Fall gelöst: Kampf gegen die Völlerei"
3,"","Case solved: Reunion with Greed","完成委託「與貪婪的重逢」","","의뢰「탐욕과의 재회」를 해결했다","Fall gelöst: Wieder vereint mit Gier"
4,"","Case solved: Chance Meeting with Envy","完成委託「與嫉妒的邂逅」","","의뢰「질투와의 해후」를 해결했다","Fall gelöst: Zufallsbegegnung mit Neid"
5,"","Case solved: Encountering Wrath","完成委託「與憤怒的遭遇」","","의뢰「분노와의 조우」를 해결했다","Fall gelöst: Auf Zorn gestoßen"
6,"","Case solved: Greeting Pride","完成委託「對傲慢的拜見」","","의뢰「오만과의 만남」을 해결했다","Fall gelöst: Es grüßt der Hochmut"
7,"","Case solved: Greeting Pride","完成委託「對傲慢的拜見」","","의뢰「오만과의 만남」을 해결했다","Fall gelöst: Es grüßt der Hochmut"
8,"","Case solved: Witnessing Sloth","完成委託「與怠惰的接觸」","","의뢰「나태와의 접촉」을 해결했다","Fall gelöst: Der Anblick von Faulheit"
9,"","Case solved: Great Challenge 7","完成委託「偉大的挑戰⑦」","","의뢰「위대한 도전⑦」을 해결했다","Fall gelöst: Große Herausforderung 7"
10,"","Case solved: Greeting Pride","完成委託「對傲慢的拜見」","","의뢰「오만과의 만남」을 해결했다","Fall gelöst: Es grüßt der Hochmut"
11,"","Case solved: Great Challenge 3","完成委託「偉大的挑戰③」","","의뢰「위대한 도전③」을 해결했다","Fall gelöst: Große Herausforderung 3"
12,"","Case solved: Great Challenge 7","完成委託「偉大的挑戰⑦」","","의뢰「위대한 도전⑦」을 해결했다","Fall gelöst: Große Herausforderung 7"
13,"","Case solved: Great Challenge 7","完成委託「偉大的挑戰⑦」","","의뢰「위대한 도전⑦」을 해결했다","Fall gelöst: Große Herausforderung 7"
14,"","Case solved: Great Challenge 5","完成委託「偉大的挑戰⑤」","","의뢰「위대한 도전⑤」를 해결했다","Fall gelöst: Große Herausforderung 5"
15,"","Case solved: Great Challenge 1","完成委託「偉大的挑戰①」","","의뢰「위대한 도전①」을 해결했다","Fall gelöst: Große Herausforderung 1"
16,"","Case solved: Great Challenge 7","完成委託「偉大的挑戰⑦」","","의뢰「위대한 도전⑦」을 해결했다","Fall gelöst: Große Herausforderung 7"
17,"","Case solved: Rina Shinomiya Challenge","完成委託「四之宮莉娜的挑戰書」","","의뢰「시노미야 리나의 도전장」을 해결했다","Fall gelöst: Rina Shinomiyas Herausforderung"
18,"","Case solved: Great Challenge 8","完成委託「偉大的挑戰⑧」","","의뢰「위대한 도전⑧」을 해결했다","Fall gelöst: Große Herausforderung 8"
19,"","Case solved: Great Challenge 6","完成委託「偉大的挑戰⑥」","","의뢰「위대한 도전⑥」을 해결했다","Fall gelöst: Große Herausforderung 6"
20,"","Case solved: Great Challenge 6","完成委託「偉大的挑戰⑥」","","의뢰「위대한 도전⑥」을 해결했다","Fall gelöst: Große Herausforderung 6"
21,"","Case solved: Great Challenge 4","完成委託「偉大的挑戰④」","","의뢰「위대한 도전④」를 해결했다","Fall gelöst: Große Herausforderung 4"
22,"","Case solved: Great Challenge 3","完成委託「偉大的挑戰③」","","의뢰「위대한 도전③」을 해결했다","Fall gelöst: Große Herausforderung 3"
23,"","Case solved: Great Challenge 4","完成委託「偉大的挑戰④」","","의뢰「위대한 도전④」를 해결했다","Fall gelöst: Große Herausforderung 4"
24,"","Case solved: Great Challenge 2","完成委託「偉大的挑戰②」","","의뢰「위대한 도전②」를 해결했다","Fall gelöst: Große Herausforderung 2"
25,"","The door to another dimension opened.","成功開啟通往異次元的門扉","","다른 차원의 문을 열었다","Das Tor zu einer anderen Dimension ist offen."
26,"","Case solved: Great Challenge 6","完成委託「偉大的挑戰⑥」","","의뢰「위대한 도전⑥」를 해결했다","Fall gelöst: Große Herausforderung 6"
27,"","Case solved: Great Challenge 7","完成委託「偉大的挑戰⑦」","","의뢰「위대한 도전⑦」를 해결했다","Fall gelöst: Große Herausforderung 7"
28,"","DLC: Obtained 1st edition-exclusive Digimon!","【DLC】取得初回封入特典的數碼寶貝","","【DLC】초회 봉입 특전 디지몬을 입수했다.","DLC: Exklusives 1.-Edition-Digimon erhalten!"
29,"","DLC: Saved a punished Digimon!","【DLC】成功拯救遭受懲罰的數碼寶貝","","【DLC】벌을 받은 디지몬을 구제했다.","DLC: Bestraftes Digimon gerettet!"
30,"","Cleared ""Hacker's Memory"".","已通過駭客追憶","","해커스 메모리를 클리어했다","„Hacker's Memory“ abgeschlossen."
