ID,Japanese,English,Chinese,EnglishCensored,Korean,German
0,""," "," ",""," "," "
1,"","Baby Cyber Sleuth","新生電腦偵探","","전뇌탐정의 알","Cyber-Detektiv-Baby"
2,"","Starter Cyber Sleuth","新手電腦偵探","","시작의 전뇌탐정","Cyber-Det.-Anfänger"
3,"","Young Cyber Sleuth","菜鳥電腦偵探","","신출내기 전뇌탐정","Junger Cyber-Detektiv"
4,"","Apprentice Sleuth","見習生電腦偵探","","견습 전뇌탐정","Detektivazubi"
5,"","Training Sleuth","電腦偵探修行中","","전뇌탐정 수행중","Detektiv im Training"
6,"","Almost Cyber Sleuth","半吊子電腦偵探","","반인분 전뇌탐정","Baldiger Cyber-Detektiv"
7,"","Rising Cyber Sleuth","走紅的電腦偵探","","발매중인 전뇌탐정","Aufstreb. Cyber-Det."
8,"","Real Cyber Sleuth","獨當一面(？)的電腦偵探","","일인분? 전뇌탐정","Echter Cyber-Detektiv"
9,"","Budding Cyber Sleuth","嶄露頭角的電腦偵探","","신진기예 전뇌탐정","Angehender Cyber-Det."
10,"","Good Cyber Sleuth","實力派的電腦偵探","","실력파 전뇌탐정","Guter Cyber-Detektiv"
11,"","Capable Cyber Sleuth","能幹的電腦偵探","","솜씨좋은 전뇌탐정","Fähiger Cyber-Detektiv"
12,"","Skilled Cyber Sleuth","有才能的電腦偵探","","유능한 전뇌탐정","Geübter Cyber-Detektiv"
13,"","Strong Cyber Sleuth","傳聞中的電腦偵探","","소문의 전뇌탐정","Starker Cyber-Detektiv"
14,"","Shrewd Cyber Sleuth","技術精湛的電腦偵探","","민완 전뇌탐정","Schlauer Cyber-Detektiv"
15,"","Famed Cyber Sleuth","著名的電腦偵探","","평판높은 전뇌탐정","Berühmter Cyber-Det."
16,"","Top Cyber Sleuth","一流的電腦偵探","","일류 전뇌탐정","Spitzen-Cyber-Detektiv"
17,"","Sweet Cyber Sleuth","傑出的電腦偵探","","수완가 전뇌탐정","Toller Cyber-Detektiv"
18,"","Great Cyber Sleuth","超一流的電腦偵探","","초일류 전뇌탐정","Super-Cyber-Detektiv"
19,"","Amazing Cyber Sleuth","最強的電腦偵探","","최강의 전뇌탐정","Fantasti. Cyber-Det."
20,"","Best Cyber Sleuth","世界第一的電腦偵探","","세계 최고의 전뇌탐정","Bester Cyber-Detektiv"
101,"","Rookie Hacker","新人駭客","","신인 해커","Angehender Hacker"
102,"","Amateur Hacker","業餘駭客","","아마추어 해커","Amateur-Hacker"
103,"","Beginner Hacker","初級駭客","","초급 해커","Anfänger-Hacker"
104,"","Newbie Hacker","新手駭客","","뉴비급 해커","Hacker-Neuling"
105,"","Sophomoric Hacker","中二病駭客","","중2병 해커","Hacker-Lehrling"
106,"","Average Hacker","一般駭客","","일반 해커","Normaler Hacker"
107,"","Intermediate Hacker","中級駭客","","중급 해커","Aufstrebender Hacker"
108,"","Veteran Hacker","專業駭客","","베테랑 해커","Erfahrener Hacker"
109,"","High-Level Hacker","上級駭客","","상급 해커","Hochrangiger Hacker"
110,"","Professional Hacker","職業級駭客","","프로급 해커","Profi-Hacker"
111,"","Elite Hacker","菁英級駭客","","엘리트 해커","Elite-Hacker"
112,"","Special-Class Hacker","特級駭客","","특급 해커","Begabter Hacker"
113,"","Supreme Hacker","最高級駭客","","최상급 해커","Überlegener Hacker"
114,"","Super Hacker","超級駭客","","슈퍼 해커","Super-Hacker"
115,"","Virtuoso Hacker","超絕技術駭客","","초절기교 해커","Virtuoser Hacker"
116,"","Master Hacker","大師駭客","","마스터 해커","Meister-Hacker"
117,"","Wizard-Class Hacker","巫師級駭客","","위저드급 해커","Zauberhafter Hacker"
118,"","Demigod-Class Hacker","半神級駭客","","데미갓급 해커","Gottgleicher Hacker"
119,"","Guru-Class Hacker","古魯級駭客","","구루급 해커","Hacker-Guru"
120,"","Vanguard","先鋒","","뱅 가드","Vorreiter"
