ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,"Hai ottenuto un
""Pass gratuito"".",獲得【通行車票】,,"【프리패스】
를 입수했습니다.","Du hast eine „Freikarte“
erhalten."
2,,Tutorial sul Campo 1,新手教學1,,필드 튜토리얼 1,Praxisanleitung 1
3,,"Questo è un mondo digitale creato da un
programma per computer.",這裡是由電腦程式所創造出來的電腦世界。,,"이곳은 컴퓨터 프로그램에 의해서
창조된 전뇌세계입니다.","Dies ist eine digitale Welt, die von einem
Computerprogramm erschaffen wird."
4,,"Puoi attraversare un varco da un
punto di accesso situato nel mondo reale.","可以透過現實世界中所設置的登入地點
穿越出入口來到電腦世界。",,"현실세계에 설치된 액세스 포인트로부터
게이트를 통해 올 수 있습니다.","Zugangspunkte in der echten Welt fungieren als
Tor."
5,,"Se scegli di disconnetterti,
tornerai nel mondo reale.","只要選擇登出
就可以回到現實世界",,"로그아웃을 선택하면
원래의 현실세계로 돌아갈 수 있습니다.","Wenn du dich ausloggst, kehrst du in die echte
Welt zurück."
6,,Tutorial sul campo 2,新手教學2,,필드 튜토리얼 2,Praxisanleitung 2
7,,Nel mondo digitale ci sono delle DigiFarm dove puoi cambiare la tua squadra.,電腦世界裡有可以整編隊伍的數碼農場,,"전뇌세계에는 파티 편성을 변경할 수 있는
디지팜이 있습니다.","In der Digitalen Welt gibt es Digifarmen, auf denen du
deine Gruppe verändern kannst."
8,,"Una volta che hai raccolto dati di Digimon scansionati, vai a una DigiFarm e prova a cambiare il tuo party!","掃描完的數碼寶貝數據累積到一定程度後
就回到數碼農場裡試著重新整編隊伍吧",,"스캔한 디지몬 데이터가 쌓이면
디지팜에 가서
파티 편성을 변경해 봅시다.","Wenn du Digimon-Scandaten gesammelt hast, versuche
auf einer Digifarm deine Gruppe zu verändern."
9,,Tutorial sul Campo 3,新手教學3,,필드 튜토리얼 3,Praxisanleitung 3
10,,"Sembra che tu abbia raccolto dei
dati di scansione Digimon.",數碼寶貝的掃描數據已經累積完成了,,"디지몬의 스캔 데이터가
모여있는 것 같습니다.",Anscheinend hast du Digimon-Scandaten gesammelt.
11,,"Vai in una DigiFarm e prova ad aggiungere il
Digimon scansionato alla tua squadra!","回到數碼農場
將掃描完的數碼寶貝加到隊伍裡吧！",,"디지팜에 가서
스캔한 디지몬을
파티에 넣어봅시다!","Besuche eine Digifarm und füge das gescannte
Digimon zu deiner Gruppe hinzu."
