ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,"","The first keyword to
remember from
Mr. Navit.","在來自NAVIT的通話中
獲得的值得紀念的
第一個關鍵字","","내빗군과의 통신으로
입수한 기념할만한
첫번째 키워드","Das erste
Stichwort von
Herr Navit."
1200,"","A keyword got from a
Flashy Dude when
investigating.","在調查帳號狩獵的過程中
從輕浮男身上
得知的關鍵字","","계정 사냥 조사 도중
경박한 남자를 통해
얻은 키워드","Ein Stichwort
von einem Angeber."
1210,"","A keyword from
Kyoko that will help
with the case.","完成山科悠子的委託，
從杏子身上獲得的關鍵字","","야마시나 유코의 의뢰를
해결하기 위해 쿄코에게서
받은 키워드","Ein Stichwort
von Kyoko, das im
Fall helfen wird."
1300,"","A keyword from the
hacker in Kowloon
blocking the way.","阻擋去路
從Kowloon的駭客身上
獲得的關鍵字","","길을 막은 
쿠롱의 해커로부터
얻은 키워드","Ein Stichwort
von dem „Türsteher“-
Hacker aus Kowloon."
1310,"","A keyword you heard from
a Kowloon youngster as a
way to get a girlfriend.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字","","여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1320,"","A keyword you heard from
a Kowloon youngster as a
way to get a girlfriend.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字","","여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1330,"","A keyword you heard from
a Kowloon youngster as a
way to get a girlfriend.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字","","여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1340,"","A keyword you heard from
a Kowloon youngster as a
way to get a girlfriend.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字","","여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1500,"","A keyword from Chika
when investigating
Yamashina.","在調查山科誠的過程中
從女兒千夏身上
獲得的關鍵字","","야마시나 마코토를 조사하던 중
딸인 치카로부터
얻은 키워드","Ein Stichwort
von Chika im
Yamashina-Fall."
1600,"","A keyword from
Makiko that will
help in Akihabara.","在秋葉原神祕失蹤事件的
委託中，從伊達真希子
身上獲得的關鍵字","","아키바하라의 행방불명 사건
의뢰로 다테 마키코에게서
얻은 키워드","Ein Stichwort
von Makiko für
Akihabara."
1610,"","A keyword got from
the nerd boy when
in Akihabara.","在調查秋葉原神祕失蹤
事件的過程中從御宅族青年
身上得知的關鍵字","","아키하바라의 행방불명 조사 중
오타쿠 청년으로부터
얻은 키워드","Ein Stichwort
vom jungen Nerd in
Akihabara."
2400,"","A keyword got from
the nurse when
investigating.","在調查山科誠的過程中
從醫院的護理師身上
得知的關鍵字","","야마시나 마코토를 조사하던 중
병원의 간호사로부터
얻은 키워드","Ein Stichwort
von einer
Krankenschwester."
3000,"","A keyword obtained
in the case from
Reiko Tawa.","在淘兒唱片的店員
田和玲子的委託中
獲得的關鍵字","","타워레코드 점원
타와 레이코로부터 받은 의뢰로
얻은 키워드","Ein Stichwort
von Reiko Tawa."
4000,"","A keyword from
Kyoko that will help
with Matayoshi.","協助又吉刑警
在杏子的委託中
獲得的關鍵字","","마타요시 형사를 돕기 위해
쿄코로부터 받은 의뢰로
얻은 키워드","Ein Stichwort
von Kyoko, das mit
Matayoshi hilft."
4010,"","A keyword from
the hacker that will
help in the case.","在調查怪人數碼面相的
過程中從反覆無常的
駭客身上得知的關鍵字","","괴인 디지면상을 조사하던 중
변덕쟁이 해커로부터
얻은 키워드","Ein Stichwort
von dem Hacker, das
bei dem Fall hilft."
