ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Caso chiuso: fai rapporto al BBS.,向BBS報告委託完成吧,,BBS로 의뢰 완료를 보고하자.,Abschließender Fallbericht an der ATL.
2,,Contatta gli amici.,聯絡夥伴,,동료들에게 연락하자.,Rede mit Freunden.
3,,Elimina il boss hacker,打倒敵人駭客隊伍的首領,,적 해커 팀 보스를 쓰러뜨리자.,Besiege Hackerboss.
4,,Missione Sconfiggi Hacker!,接下討伐駭客任務,,해커 토벌 퀘스트를 받자.,Besiege Hackerquest!
5,,Elimina l'hacker.,打倒討伐目標的駭客,,토벌 대상 해커를 쓰러뜨리자.,Den Hacker erledigen.
6,,"(Ho trovato un hacker nella lista nera! È ora di batterlo
in ritirata.)","（好像找到了黑名單上的駭客……
　前去討伐駭客吧）",,"(블랙리스트 해커를 발견한 모양이다…
 해커 토벌에 나서자)","(Ich habe einen Hacker von der schwarzen Liste
gefunden! Zeit, ihn zurückzuschlagen.)"
7,,"(Sembra che ci sia un Digimon in difficoltà. Andrò
ad ascoltare cosa ha da dire.)","（好像有困擾的數碼寶貝在……
　先過去問問情況吧）",,"(난처해하는 디지몬이 있는 모양이다…
 우선 이야기를 들으러 가자)","(Ein Digimon scheint in Schwierigkeiten zu
stecken. Ich hör mir mal an, was es zu sagen hat.)"
20,,Funzionerà a Ikebukuro!,可以在池袋辦到的事！,,이케부쿠로에서 할 수 있는걸!,Das geht in Ikebukuro!
21,,Chitose,千歲,,치토세,Chitose
22,,"C'è un Tokyo Handy a Ikebukuro.
Mi servono delle cose da lì.
Ti manderò una lista quando accetterai un caso.","池袋不是有東京手創館嗎？
在店裡有些東西希望你能去買。
要是你接下委託，我就發給你購物清單。",,"이케부쿠로에 도쿄 핸디가 있잖아?
거기서 몇 가지 사와줬으면 하는 것이 있어.
의뢰를 받아주면 사야 할 목록을 보낼게.","Es gibt einen Laden namens
„Tokyo Handy“ in Ikebukuro.
Ich schicke eine Einkaufsliste."
23,,Ryuji,龍司,,류지,Ryuji
24,,Niente imboscate!,可別偷懶，完成工作啊,,농땡이 부리지 말고 해,Kneifen gilt nicht!
30,,Lista della spesa controllata.,已確認購物清單,,구매할 목록을 확인했다.,Einkaufsliste überprüft.
31,,Recati al Tokyo Handy a Ikebukuro.,前往池袋的東京手創館,,이케부쿠로에 있는 도쿄 핸디로 향하자.,Geh zu „Tokyo Handy“ in Ikebukuro.
32,,Occupati dell'incarico Tokyo Handy.,在東京手創館完成委託,,도쿄 핸디에 가서 심부름을 마치자.,Besorgung bei „Tokyo Handy“.
40,,Questo funzionerà a Nakano!,可以在中野辦到的事！,,나카노에서 할 수 있는걸!,Das geht in Nakano!
41,,Chitose,千歲,,치토세,Chitose
42,,C'è un negozio di roba informatica usata a Nakano dove si ritrovano gli hacker. Ti manderò una lista della spesa.,"在中野有駭客認證的PC商店，
我會把要買的購物清單發給你，麻煩你跑腿啦。",,"나카노 해커 상인들의 PC 정크상이 있어.
사 왔으면 하는 목록 보낼 테니까, 심부름 부탁할게.","In Nakano gibt’s einen Ersatzteilladen.
Ich schicke eine Einkaufsliste."
43,,Erika,艾莉卡,,에리카,Erika
44,,Più commissione che caso.,與其說這是委託，不如說只是“跑腿”吧。,,"의뢰라기보단 이건 그냥 ""심부름""",Eher Bitte als Fall.
45,,Chitose,千歲,,치토세,Chitose
46,,Inizia con questo!,一開始做這些就好了啦！,,처음엔 이 정도면 충분하다니까!,Fang hiermit an!
50,,Controllato la lista della spesa.,已確認購物清單,,구입할 목록을 확인했다.,Einkaufsliste überprüft.
51,,Vado a Nakano!,前往中野,,나카노로 향하자.,Auf nach Nakano!
52,,Occupati del compito del negozio di cianfrusaglie.,在廢品店完成委託,,정크상에 가서 심부름을 마치자.,Erledige das im Ersatzteilladen.
53,,"Al K-Cafe, per Yu.",前往K-Café聽優說話吧,,유우의 이야기를 들으러 K-카페로 향하자.,Ins K-Café für Yu.
60,,Evangelista dell'Amore! Sistermon!,愛的傳教！修女獸！,,사랑의 전도! 시스터몬!,Liebespredigerin Sistermon!
61,,Noir,漆黑,Ciel,느와르,Ciel
62,,Serve aiuto alla palestra Digimon di Noir & Blanc! Vuoi un capo tosto e carino? Vieni a trovarci a Kowloon Livello 3!,"漆黑與雪白的數碼寶貝健身房，現正徵求助手！！
想在強悍的女孩底下工作的你！想不想來我們身邊
工作啊！？　我們在Kowloon Lv.3等著你！","Help needed at Ciel & Blanc’s Digimon
gym! You want a tough, cute boss?
Come see us at Kowloon Lv. 3!","느와르&블랑의 디지몬 체육관을 도와줄 사람 구함!!
강하고 귀여운 여자아이 밑에서 일하고 싶은 당신!
우리가 있는 곳에서 일하지 않겠어!? 쿠롱 Lv.3에서 너를 기다릴게!","Aushilfe gesucht im Studio Ciel & Blanc
für Digimon! Strenge, aber niedliche
Chefs! Ebene 3 von Kowloon!"
63,,Nonamemon,無名獸,,이름없는몬,Inkognitomon
64,,Richiesta di una palestra?,有人會需要數碼寶貝訓練健身房嗎？,,디지몬 체육관같은 게 수요가 있어?,Fitness gefällig?
65,,Bau!,呼啊呼啊,,이영차,Wau!
66,,Nota le carine!,居然有可愛的女孩，我好在意啊,,귀여운 여자애라니 엄청 신경 쓰여,Schaue dir die Süßen an!
67,,"Più una lettera d'amore che un caso...
Per il momento, dirigiti a Kowloon Lv. 3.","總覺得這文章比起委託更像是推銷……
總之，先到Kowloon Lv.3去吧",,"왠지 의뢰라기보다는 권유 같은 글이다……
일단, 쿠롱 Lv.3로 향하자.","Mehr Liebesbrief als Fall ... Geh zuerst
zur Ebene 3 von Kowloon."
70,,Vai dal cliente a Kowloon Lv. 3.,前往位在Kowloon Lv.3的委託人所在地,,쿠롱 Lv.3에 의뢰인이 있는 곳으로 향하자.,"Geh zum Klienten, Eb. 3 in Kowloon."
71,,Allena Agumon e Gabumon.,鍛鍊亞古獸、加布獸,,"아구몬, 파피몬을 단련시키자.",Trainiere Agumon und Gabumon.
72,,Mostra l'allenamento di Noir e Blanc.,讓漆黑跟雪白見識特訓成果,Show off training from Ciel & Blanc.,느와르와 블랑에게 특훈의 성과를 보여주자.,Zeig das Training von Ciel & Blanc vor.
80,,Battaglia per il DigiMercato,數碼市場存活戰爭,,디지마켓 존속 전쟁,Kampf um den DigiMarkt
81,,Erika,艾莉卡,,에리카,Erika
82,,"Casi sia da chi si oppone che da chi è a
favore di DigiMarket. Che seccatura.
[p] potrebbe davvero dare una mano.","同時來了數碼市場保存派與廢除派的委託
狀況變得麻煩了啊
[p]能夠接下委託就太好了",,"디지마켓의 폐지파와 존속파의 의뢰가 겹쳐서
귀찮은 상황이 되어버렸어.
[p], 네가 받아들여 줬으면 좋겠어.","Fälle von Befürwortern und Gegnern des
DigiMarkts. Wie ätzend. [p]
könnte uns wirklich helfen."
83,,Fanta Pops,歐耶歐爺,,환타영감,Ururopa
84,,Sia pro che contro?,居然有廢存派跟保存派嗎？,,폐지파하고 존속파란 게 있어?,Befürworter und Gegner?
85,,Maru Puzzolente,噴噴丸,,풍풍마루,Wütende Maru
86,,Potrebbe rovinare Kowloon.,這是Kowloon會大亂的預感,,이건 쿠롱이 거칠어질 예감,Kowloons Ruin?
90,,Vai da Erika.,前往艾莉卡的房間,,에리카의 방으로 향하자.,Gehe zu Erika nach Hause.
91,,Descrizione del caso ricevuta da Erika.,聽艾莉卡說明委託,,에리카에게 의뢰 설명을 들었다.,Beschreibung von Erika erhalten.
92,,Ascolta la fazione truffaldina all'Hacker Forum.,到駭客討論區聽廢存派的意見,,해커 포럼에서 폐지파의 의견을 듣자.,Argumente im Hackerforum.
93,,Ascolta la fazione pro nell'Area Libera.,到自由區域聽保存派的意見,,프리 에어리어에서 존속파의 의견을 듣자.,Argumente im Freien Bereich.
94,,Chiedi a Erika da che parte sta,跟艾莉卡討論要幫助哪邊,,어느 쪽에 협력할지 에리카와 상의하자.,Erikas Seite erfragen.
95,,Vai all'Hacker Forum,前往駭客討論區,,해커 포럼으로 향하자.,Geh zum Hackerforum.
96,,Decidi da che parte stare,決定要幫助那邊,,어느 쪽에 협력할지 결정하자.,Entscheide dich.
100,,Sig. Navit,「NAVIT」,,「내빗씨」,Navit-san
101,,V.P. Alba Dorata,黃金黎明團-副團長-,,황금 여명회 부단장,V.P. Golden Dawn
102,,"Trova Mr. Navit, la misteriosa persona
che appare a Ikebukuro, dalle voci che girano!","請你找出最近到處流傳，
在池袋出沒的神秘角色「NAVIT」吧！",,"최근 거리에서 이케부쿠로에 출몰하는 소문의 수수께끼의
마스코트 캐릭터 ""내빗씨""를 찾아주세요!","Finde den mysteriösen Navit-san in
Ikebukuro, durch die Gerüchte!"
103,,Audrey,奧戴利,,오드리,Audrey
104,,Leggenda Urbana!,都市傳說來啦！,,도시 전설 떴다~!,Stadtlegende!
105,,Nonamemon,無名獸,,이름없는몬,Inkognitomon
106,,Cos'è quello? È un'imitazione di Mr. Navit?,那啥鬼啊？　不是NAVIT吧？,,뭐야 그거? 내빗군을 잘못 쓴 거잖아?,"Was ist das? Ist das eine
Fälschung von Herr Navit?"
110,,Accettato il caso misterioso.,接下神秘委託,,수수께끼의 의뢰를 받았다.,Den mysteriösen Fall angenommen.
111,,Raccogli dati sul Signor Navit a Ikebukuro.,在池袋收集NAVIT的情報,,이케부쿠로에서 내빗씨에 대해 탐문을 하자.,Daten zu Navit-san in Ikebukuro.
112,,Dirigiti dove si trovavano i testimoni.,前往有目擊情報的場所,,목격 정보가 있던 장소로 향하자.,"Gehe dorthin, wo die Zeugen waren."
113,,Entra di soppiatto in Hudie!,逃進hudie！,,후디에로 도망치자!,Schnell zu Hudie!
114,,Ascolta l'Occulto di Inoden!,向井之電靈異研究社打聽目擊情報,,이노덴 오컬트 연구부에게 목격정보를 들어보자.,Inoden-Club anhören!
115,,Dirigiti dove si trovavano i testimoni.,前往有目擊情報的遊樂中心,,목격정보가 있던 게임 센터로 향하자.,"Gehe dorthin, wo die Zeugen waren."
120,,Il ritorno di Mr. Navit!,「NAVIT」之夜,,「내빗씨」리턴즈,Navit-san kehrt zurück!
121,,Makiko Date,伊達真希子,,다테 마키코,Makiko Date
122,,"C'è un delinquente a Shinjuku. Vai ad aiutarlo,
ma cerca di non attirare l'attenzione.
C'è qualcosa che non quadra qui.","新宿好像有很可怕的傢伙在
不過，要是不清楚實情就無法逮捕他
來幫我吧，那傢伙很危險……集中精神上吧",,"신주쿠에 위험한 녀석이 있다고 하더군.
하지만 뒤를 잡지 못하면 연행할 수 없으니까 협력해라.
그놈은 상당히 화가 나 있다고 해……기합 넣고 가자.","Es gibt Ärger in Shinjuku.
Wir sollten verdeckt ermitteln.
Hilfst du mir dabei?"
130,,Incontra il cliente a Shinjuku.,在新宿跟委託人會合,,신주쿠에서 의뢰인과 합류하자.,Geh zum Klienten in Shinjuku.
131,,Tocca l'immobile Sig. Navit.,接觸無法行動的NAVIT,,움직이지 않는 내빗씨에게 접촉하자.,Berühre den unbeweglichen Navit-san.
132,,Raccogli dati sul Signor Navit fuggitivo.,收集逃走的NAVIT的情報,,도망친 내빗씨에 대해 탐문을 하자.,Daten zum flüchtigen Navit-san.
133,,Dirigiti dove si trovavano i testimoni.,前往有目擊情報的場所,,목격 정보가 있던 장소로 향하자.,"Gehe dorthin, wo die Zeugen waren."
140,,Mr. Navit Dei Morti,「NAVIT」活屍,,「내빗씨」오브 더 데드,Navit-san des Todes
141,,V.P. Alba Dorata,黃金黎明團-副團長-,,황금 여명회 부단장,V.P. Golden Dawn
142,,"Hai già controllato Mr. Navit, ma
ora ci è giunta voce che si trovi a Nakano BW! Fermalo!
Ce lo chiede il Boss, quindi per favore!","之前委託調查的神秘吉祥物“NAVIT”
這次有出現在中野的情報！
找出他的真實身份吧！……部長是這麼說的，拜託你了！",,"전에 조사를 부탁했던 수수께끼의 마스코트 캐릭터 ""내빗씨""말입니다만
이번에는 나카노BW에 나타났다는 정보가 있었습니다!
정체를 알고 싶어! ……하고 부장이 말하니 부탁드리겠습니다!","Du warst Navit-san schon mal auf der
Spur, aber jetzt ist er im Broadway!
Halte ihn auf! Der Boss bittet dich!"
143,,Takkun,小拓,,탓군,Takkun
144,,"Ho visto Mr. Navit a
Shinjuku! Spaventoso!","我有在新宿看到NAVIT喔
超可怕的啦",,"내빗씨라면 신주쿠에서 봤는데
엄청 무서웠어","Ich habe Navit-san
in Shinjuku gesehen!"
145,,Kristina Sachiyo,克莉絲汀幸代,,크리스티나 사치요,Kristina Sachiyo
146,,"Non Ikebukuro? Non è tanto spaventosa quanto
interessante.","不是在池袋嗎？
但與其說可怕……我覺得他的動作很好笑",,"이케부쿠로를 잘못 말한 거겠지?
무섭다고 할까…움직임이 기묘한 것 같은데","Nicht Ikebukuro? Es ist eher interessant
als furchterregend."
150,,Incontra il cliente al BW di Nakano.,在中野BW跟委託人會合,,나카노BW에서 의뢰인과 합류하자.,Zum Klienten im Nakano-Broadway.
151,,"Raccogli i dati dei testimoni al Nakano BW, 1F.",在中野BW1F蒐集NAVIT的目擊情報,,나카노BW 1F에서 목격정보를 모으자.,"Befrage Zeugen in Broadway, 1. St."
152,,"Raccogli dati sui testimoni a Nakano BW, 3F.",在中野BW3F蒐集NAVIT的目擊情報,,나카노BW 3F에서 내빗씨의 목격정보를 모으자.,"Befrage Zeugen in Broadway, 3. St."
153,,"Raccogli dati testimoniali a Nakano BW, 4F.",在中野BW4F蒐集NAVIT的目擊情報,,나카노BW 4F에서 목격정보를 모으자.,"Befrage Zeugen in Broadway, 4. St."
154,,Insegui il fuggitivo Mr. Navit.,追上逃走的NAVIT,,도망친 내빗씨를 쫓아가자.,Jage den flüchtigen Navit-san.
155,,Data di adesione a Ikebukuro.,在池袋跟伊達小姐會合,,이케부쿠로에서 다테 마키코와 합류하자.,Gehe zu Date in Ikebukuro.
160,,Un Sorriso Prezioso,那份笑臉便是寶物,,그 미소가 보물,Ein kostbares Lächeln
161,,Mina,米娜,,미나,Mina
162,,"Voglio un biglietto per l'anteprima dell'aggiornamento di EDEN.
Ho bisogno che tu me ne prenda uno. Aspetterò nell'
area comune.","我想要EDEN辦的“版本升級體驗會”參加票喔！
拜託便利店幫我拿到票
米娜會在公共區域等你",,"EDEN ""버전 업 체험회""라는 것이 있대.
해결사 씨, 부탁이야! 미나에게 티켓을 구해줬으면 해.
미나는 커뮤니티 에어리어에서 기다리고 있을게.","Ich will eine Eintrittskarte zur
Upgrade-Vorschau. Besorg mir eine.
Ich warte im Gemeinschaftsbereich."
163,,Gelatina,明明膠,,제라찡,Gelatine
164,,Non c'è niente sugli aggiornamenti in EDEN.,我沒聽說EDEN要版本升級啊？,,EDEN에서 버전 업이라니 들어본 적 없는데?,Ich weiß nichts zu Updates in EDEN.
165,,Nonamemon,無名獸,,이름없는몬,Inkognitomon
166,,Finisce con delle medaglie! LOL!,報酬只有獎牌喔～有夠窮酸的啦～,,보수가 메달ㅋㅋㅋㅋ김 빠지네ㅋㅋㅋㅋ,Gibt Medaillen! LOL!
170,,Trova informazioni sull'anteprima dell'upgrade.,調查版本升級體驗會的情報,,EDEN 버전 업 체험회 정보를 모아보자.,Informationen zur Upgrade-Vorschau.
171,,Chiedi direttamente al cliente per maggiori informazioni.,直接向委託人問詳細情報,,의뢰인에게서 직접 자세한 이야기를 들어보자.,Klienten nach mehr Infos fragen.
172,,Chiedi a Erika come ottenere i biglietti.,跟艾莉卡商量獲得參加票的方法,,티켓 입수 방법에 대해 에리카에게 상담하자.,"Frag Erika, wie du Tickets bekommst."
173,,Cerca il Venditore di Biglietti a Ikebukuro.,在池袋找賣票商人,,이케부쿠로에 있는 티켓 판매자를 찾아보자.,Suche den Tickethändler in Ikebukuro.
174,,Vai a Kowloon Lv. 2.,前往Kowloon Lv.2,,쿠롱 Lv.2로 향하자.,"Geh nach Kowloon, Ebene 2."
175,,Vai in profondità a Kowloon Lv. 2.,前往Kowloon Lv.2的最深處,,쿠롱 Lv.2의 가장 안쪽으로 향하자.,"Geh tief nach Kowloon, Ebene 2."
176,,Consegna il biglietto al cliente.,把獲得的票交給委託人,,손에 넣은 티켓을 의뢰인에게 가져다주자.,Bring dem Klienten das Ticket.
180,,Prestami la tua fidanzata per un giorno.,請當我的一日女友,,"1일 애인, 빌려주세요",Leih mir deine Freundin für einen Tag.
181,,Yu Nogi,乃木優,,노기 유우,Yu Nogi
