ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Buy","購買","","구입한다","Kaufen"
2,"","Sell","販賣","","매각한다","Verkaufen"
3,"","Exit","取消","","그만둔다","Verlassen"
1000,"","Welcome!","歡迎光臨","","어서오세요","Willkommen!"
1001,"","Thank you very much.","謝謝惠顧","","감사합니다","Vielen Dank."
1002,"","How can I help you?","請問您有什麼需求呢？","","무슨 용건이시죠?","Wie kann ich dir helfen?"
1003,"","What do you want to buy?","您要購買什麼商品呢？","","무엇을 구입하겠습니까?","Was möchtest du kaufen?"
1004,"","How many do you want to buy?","您要購買幾個呢？","","몇 개 구입하겠습니까?","Wie viel davon möchtest du kaufen?"
1005,"","What do you want to sell?","您要販賣什麼商品呢？","","무엇을 매각하겠습니까?","Was möchtest du verkaufen?"
1006,"","How many do you want to sell?","您要販賣幾個呢？","","몇 개 매각하겠습니까?","Wie viel davon möchtest du verkaufen?"
1007,"","I'm waiting for your order.","請說出需求","","주문해주세요","Ich erwarte deine Bestellung."
1008,"","Come again soon.","誠摯恭候您的再度光臨","","다음 방문을 기다리겠습니다","Komm bald wieder."
1011,"","Is there anything I can help you with?","有什麼能夠為您服務的嗎？","","도움이 필요하십니까?","Kann ich dir behilflich sein?"
1012,"","There is a strong digital reaction on the train
platform...","車站的月臺傳來了強烈的數碼反應呢……","","역 플랫폼에 강한 디지털 반응이 있네요...","Auf dem Bahnsteig gibt es eine starke digitale
Reaktion ..."
1019,"","Welcome!?
It may be an emergency, but I'll still take your
money!","歡、歡迎光臨～！
在這種非常時期下，還是要收錢的！
要收錢的啊－－！！","","어, 어서오세요~!?
이런 비상시라도 돈은 받습니다!
받고말고요!!","Willkommen?!
Es ist vielleicht ein Notfall, aber ich nehme
trotzdem dein Geld!"
1020,"","Umm... We-we-welcome!?
It is always service with a smile,
no matter what!","歡、歡、歡迎光臨～！
無、無、無論發生什麼事，都要在顧客前保持笑容！
這才叫做專業！","","어,어,어, 어서오세요오오오~!
어,어, 어떤 때라도 손님 앞에서는 미소로!
그것이 프로입니다!","Ähm ... W-Wi-Willkommen?!
Hier wirst du immer mit einem Lächeln bedient,
egal was passiert!"
1021,"","Please don't hesitate to come again.","若有什麼需求，歡迎再度光臨","","또 용건이 있으면 다시 찾아와주세요","Schau jederzeit wieder vorbei."
1050,"","Welcome!","歡迎光臨","","어서오세요","Willkommen!"
1051,"","Please select a transaction.","請選擇您要交易的項目","","거래할 내용을 선택해주세요","Bitte wähle eine Transaktion."
1052,"","What do you want to buy?","您要購買什麼商品呢？","","무엇을 구입하겠습니까?","Was möchtest du kaufen?"
1053,"","Enter the amount you want to buy.","請輸入您要購買的數量","","구입할 개수를 선택해주세요","Gib die gewünschte Kaufmenge ein."
1054,"","What do you want to sell?","您要販賣什麼商品呢？","","무엇을 매각하겠습니까?","Was möchtest du verkaufen?"
1055,"","Enter the amount you want to sell.","請輸入您要販賣的數量","","매각할 개수를 입력해주세요","Gib die gewünschte Verkaufsmenge ein."
1056,"","Thank you very much.","謝謝您的惠顧","","이용 감사합니다","Vielen Dank."
1057,"","Welcome!
This is the DigiMarket.","歡迎光臨。
歡迎來到數碼市場。","","어서오세요.
디지마켓에 온 것을 환영합니다.","Willkommen!
Dies ist der DigiMarkt."
1058,"","Please select the Digimon of your choice.","請選一隻喜歡的數碼寶貝。","","좋아하는 디지몬을 선택해 주세요.","Bitte wähle das gewünschte Digimon aus."
1059,"","Thank you very much!
Please come again.","謝謝惠顧。
期待您再度利用。","","감사합니다.
다시 방문하시길 기다리고 있겠습니다.","Vielen Dank!
Bis bald."
1060,"","Welcome!
We've added products that are sure to be useful
to a Hudie like yourself.","歡迎光臨。
進了一批對hudie很有用的商品喔。","","어서오세요.
후디에 멤버에게 도움이 될 만한
상품을 들여놨습니다.","Willkommen! Wir haben Produkte hinzugefügt, die
für ein Hudie-Mitglied wie dich bestimmt nützlich
sind."
1061,"","Please select a transaction.","請選擇交易內容","","거래 내용을 선택해줘","Bitte wähle eine Transaktion."
1062,"","What're you buying?","要買什麼呢？","","뭘 구입할거야?","Was möchtest du kaufen?"
1063,"","Choose how many you want to buy.","請輸入要購買的數量","","구입할 개수를 입력해줘","Wähle, wie viel du kaufen möchtest."
1064,"","What're you selling?","要賣什麼呢？","","뭘 매각할거야?","Was möchtest du verkaufen?"
1065,"","Choose how many you want to sell.","請輸入要販賣的數量","","매각할 개수를 입력해줘","Wähle, wie viel du verkaufen möchtest."
1066,"","Thanks for your patronage!
Come back if you need anything else.","謝謝惠顧
如有需要，請再次利用","","고마워.
필요하면 또 이용해줘.","Danke für deinen Einkauf! Komm wieder, wenn du
noch etwas brauchst."
1067,"","I'm the medal master. I can help with your
collection.","嗨，我是獎牌大師
會幫忙你收集獎牌喔","","여어, 나는 메달 마스터.
너의 메달 수집을 서포트 해주지","Ich bin der Medaillenmeister. Ich kann dir mit
deiner Sammlung helfen."
1068,"","You can be a medal master too!","你也加油吧！獎牌大師！","","너도 노려봐! 메달 마스터!","Du kannst auch ein Medaillenmeister sein!"
1069,"","You'll have to pay me. I'm not a charity.","我會確實收取金額的喔
這可是確認你對獎牌的愛啊","","대금은 착실하게 받아갈게.
네 메달 사랑을 확인하고 싶으니까","Du musst mich bezahlen. Ich bin kein
Wohlfahrtsverein."
1070,"","Which medal do you want?","想要那個獎牌呢？","","어떤 메달이 필요해?","Welche Medaille willst du?"
1071,"","How many do you want to buy?","要買幾個呢？","","몇 개 구입할래?","Wie viel davon möchtest du kaufen?"
1072,"","Which one do you want to sell?","要賣什麼呢？","","뭘 매각할래?","Was möchtest du verkaufen?"
1073,"","How many do you want to sell?","要賣幾個呢？","","몇 개 구입할래?","Wie viel davon möchtest du verkaufen?"
