ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Increases ATK by 15%.","ATK提升15%。","","공격력이 15% 상승한다.","Erhöht ANG um 15 %."
2,"","Increases DEF by 15%.","DEF提升15%。","","방어력이 15% 상승한다.","Erhöht VER um 15 %."
3,"","Increases INT by 15%.","INT提升15%。","","지력이 15% 상승한다.","Erhöht INT um 15 %."
4,"","Increases SPD by 15%.","SPD提升15%。","","민첩이 15% 상승한다.","Erhöht GES um 15 %."
5,"","Increases ACU by 15%.","ACU提升15%。","","명중률이 15% 상승한다.","Erhöht GEN um 15 %."
6,"","Increases EVA by 7%.","EVA提升15%。","","회피율이 15% 상승한다.","Erhöht AWN um 7 %."
7,"","Increases CRT by 15%.","CRT提升15%。","","크리티컬 발생률이 15% 상승한다.","Erhöht KRT um 15 %."
8,"","Increases damage from
Neutral skills by 15%.","無屬性技能造成的傷害增加15%。","","무속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Neutralfertigkeiten
um 15 %."
9,"","Increases damage from
Fire skills by 15%.","火屬性技能造成的傷害增加15%。","","불속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Feuerfertigkeiten
um 15 %."
10,"","Increases damage from
Water skills by 15%.","水屬性技能造成的傷害增加15%。","","물속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Wasserfertigkeiten
um 15 %."
11,"","Increases damage from
Plant skills by 15%.","木屬性技能造成的傷害增加15%。","","풀속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Pflanzenfertigkeiten
um 15 %."
12,"","Increases damage from
Electric skills by 15%.","雷屬性技能造成的傷害增加15%。","","전기속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Elektrofertigkeiten
um 15 %."
13,"","Increases damage from
Earth skills by 15%.","土屬性技能造成的傷害增加15%。","","땅속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Erdfertigkeiten
um 15 %."
14,"","Increases damage from
Wind skills by 15%.","風屬性技能造成的傷害增加15%。","","바람속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Windfertigkeiten
um 15 %."
15,"","Increases damage from
Light skills by 15%.","光屬性技能造成的傷害增加15%。","","빛속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Lichtfertigkeiten
um 15 %."
16,"","Increases damage from
Dark skills by 15%.","闇屬性技能造成的傷害增加15%。","","어둠속성 스킬의 대미지가
15% 증가한다.","Erhöht den Schaden von Dunkelfertigkeiten
um 15 %."
17,"","Prevents poison.","不會陷入劇毒狀態","","맹독에 걸리지 않는다.","Verhindert Vergiftung."
18,"","Prevents confusion.","不會陷入混亂狀態","","혼란에 걸리지 않는다.","Verhindert Verwirrung."
19,"","Prevents paralysis.","不會陷入麻痺狀態","","마비에 걸리지 않는다.","Verhindert Lähmung."
20,"","Prevents sleep.","不會陷入睡眠狀態","","수면에 걸리지 않는다.","Verhindert Schlaf."
21,"","Prevents stunning.","不會陷入暈眩狀態","","스턴에 걸리지 않는다.","Verhindert Betäubung."
22,"","Prevents dotting.","不會陷入液晶化狀態","","액정화에 걸리지 않는다.","Verhindert Verpixelung."
23,"","Prevents instant death.","不會陷入即死狀態","","즉사에 걸리지 않는다.","Verhindert Soforttod."
24,"","10% chance of poisoning target
when attacking.","發動攻擊時，
有10%的機率使對方中毒。","","공격을 할 때 10%의 확률로 
대상을 맹독 상태로 만든다.","10 % Chance, das Ziel bei einem Angriff zu
vergiften."
25,"","10% chance of confusing target
when attacking.","發動攻擊時，
有10%的機率使對方混亂。","","공격을 할 때 10%의 확률로 
대상을 혼란 상태로 만든다.","10 % Chance, das Ziel bei einem Angriff zu
verwirren."
26,"","10% chance of paralyzing target
when attacking.","發動攻擊時，
有10%的機率使對方麻痺。","","공격을 할 때 10%의 확률로 
대상을 마비 상태로 만든다.","10 % Chance, das Ziel bei einem Angriff zu
lähmen."
