ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Dragon's Wrath","龍之憤怒","","용의 분노","Drachenzorn"
2,"","Ironclad Defense","鐵壁的守護","","철벽의 보호","Eiserne Verteidigung"
3,"","Adroit Wisdom","巧妙的智慧","","교묘한 계략","Scharfer Verstand"
4,"","Feral Pulse","野性的鼓動","","야생의 고동","Wilder Impuls"
5,"","Bull's-Eye","百發百中","","백발백중","Adlerauge"
6,"","Feint","假動作","","페인트","Finte"
7,"","Haymaker","奮力的一擊","","혼신의 일격","Niedermähen"
8,"","Primal Trooper","第一騎兵","","프라이멀 트루퍼","Ursoldat"
9,"","Dragon's Roar","龍之怒吼","","드래곤즈 로어","Drachengebrüll"
10,"","Deep Savers","深海救星","","딥 세이버즈","Rettung aus der Tiefe"
11,"","Nature Spirits","自然靈魂","","네이처 스피리츠","Naturgeister"
12,"","Metal Empire","鋼鐵帝國","","메탈 엠파이어","Leitfähigkeit"
13,"","Animal Colosseum","動物競技場","","애니멀 콜로세움","Tierkolosseum"
14,"","Wind Guardians","風之守衛","","윈드 가디언즈","Windwächter"
15,"","Justice Genome","正義基因","","저스티스 게놈","Gerechtigkeitsgen"
16,"","Nightmare Soldiers","惡夢軍團","","나이트메어 솔져스","Albtraumsoldaten"
17,"","Flower Guard","花朵守衛","","플라워 가드","Blütendeckung"
18,"","Supreme Focus","心頭滅卻","","심두멸각","Maximale Konzentration"
19,"","Numbing Waves","麻痺如水流","","저림 흘리기","Wellenbrecher"
20,"","Full Functionality","全天運作機器","","풀 가동 머신","Volle Funktionsfähigkeit"
21,"","Immobility","屹立不搖","","부동","Beweglichkeit"
22,"","High Resolution","高畫質","","고화질","Hohe Auflösung"
23,"","Phoenix Feathers","不死鳥之羽","","불사조의 날개","Phönixfedern"
24,"","Poison Thorns","劇毒的荊棘","","맹독의 가시","Giftdornen"
25,"","Strange Dance","奇異的舞蹈","","기괴한 춤","Seltsamer Tanz"
26,"","Royal Commando","皇家突擊隊","","로얄 커맨드","Königlicher Befehl"
27,"","Deep Sea Slumber","深海的睡眠","","심해의 수면","Tiefseeschlaf"
28,"","Menace","威嚇","","위협","Bedrohung"
29,"","Trickster","魔術師","","트릭스타","Trickser"
30,"","Destroyer","破壞神","","파괴신","Zerstörer"
31,"","Justice Union","正義的團結","","정의의 결속","Bande der Gerechtigkeit"
32,"","To Fight Another Day","走為上策","","도망쳤지만 승리","Feigling"
33,"","Platinum Bonus","白金紅利","","플라티나 보너스","Platinbonus"
34,"","Millionaire","百萬富翁","","밀리어네어","Millionär"
35,"","Scavenge","撿拾","","픽업","Plündern"
36,"","Analyze","分析","","애널라이즈","Analysieren"
37,"","Fairy Protection","妖精的庇佑","","요정의 가호","Feenschutz"
38,"","Mysterious Scale","不可思議的鱗片","","이상한 비늘","Geheimnisvolle Schuppe"
39,"","Meditation","冥想","","메디테이션","Meditation"
40,"","Ocean Love","海洋之愛","","오션 러브","Liebesattacke"
41,"","Holy Ring","神聖環","","홀리링","Heiliger Ring"
42,"","Backwater Camp","背水之陣","","배수진","Ausgleich"
43,"","Fight or Flight","火災現場的怪力","","위급한 순간의 저력","Kampf oder Flucht"
44,"","Muscle Monkey Suit","強化猴子裝","","강화 원숭이슈츠","Muskelaffen-Anzug"
45,"","Hermitic Loner","孤高的隱士","","고고한 은자","Einsiedler"
46,"","Swiftness","神速","","신속","Wendigkeit"
47,"","Caledfwlch Dive","卡里德福洛斯","","칼라드볼그","Caledfwlch-Sprung"
48,"","Holy Knight","聖騎士","","성기사","Heiliger Ritter"
49,"","Obsidian Knight","漆黑的騎士","","칠흑의 기사","Obsidianritter"
50,"","Master's Disposition","師父的氣概","","사부의 고집","Meisterliches Talent"
51,"","Ironclad Fortification","鐵壁要塞","","철벽요새","Eiserne Festung"
52,"","Mystic Protection","神祕的守護","","신비한 가호","Mystischer Schutz"
53,"","All-Rounder","萬能","","올라운더","Alleskönner"
54,"","Chaos Expert","混沌專家","","카오스 엑스퍼트","Chaosexperte"
55,"","Wyvern","飛龍","","비룡","Lindwurm"
56,"","Strategist","戰略家","","전략가","Stratege"
57,"","Leopard Mode","獵豹型態","","레오파드 모드","Leopardenmodus"
58,"","Battle Sense","戰鬥天分","","배틀센스","Kampfgespür"
59,"","Miracle","奇蹟","","기적","Wunder"
60,"","Unmatched Cruelty","冷酷無情","","냉혹무비","Unerreichte Grausamkeit"
61,"","Wrath","憤怒","","분노","Zorn"
