ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Access the Digital World?","您要登入至電腦世界嗎？","","전뇌세계에 접속하겠습니까?","Die Digitale Welt betreten?"
2,"","Logout?","您要登出嗎？","","로그아웃하겠습니까?","Ausloggen?"
5,"","Are you sure you want to Connect Jump?","您要登入跳躍嗎？","","커넥트 점프를 하겠습니까?","Möchtest du wirklich einen Verbindungssprung durchführen?"
6,"","Logout from the hospital?","您要登出至醫院嗎？","","병원으로 로그아웃하겠습니까?","Aus dem Krankenhaus ausloggen?"
7,"","You have some case reports to make. Do this now?","有可以報告的委託，您要報告嗎？","","보고 가능한 의뢰가 있습니다. 보고하겠습니까?","Einige Fallberichte sind offen. Jetzt erledigen?"
8,"","Accept this case?","您要接受這份委託嗎？","","이 의뢰를 수락하겠습니까?","Diesen Fall annehmen?"
9,"","Postpone this case?","您要中止這份委託嗎？","","이 의뢰를 중단하겠습니까?","Diesen Fall verschieben?"
10,"","Which way will you go?","您要前往什麼地點？","","어디로 가겠습니까?","Welchen Weg wählst du?"
11,"","Go to the DigiLab?","您要前往數碼實驗室嗎？","","디지랩에 가겠습니까?","Zum DigiLab gehen?"
12,"","Connect Jump on the staff cellphone?","您要登入跳躍至職員的手機嗎？","","사원의 핸드폰으로 커넥트 점프 하겠습니까?","Verbindungssprung in das Mitarbeiterhandy?"
13,"","Connect Jump on the Boxing Association site?","您要登入跳躍至拳擊協會的網站嗎？","","복싱협회 사이트로 커넥트 점프 하겠습니까?","Verbindungssprung zur Website des Boxverbands?"
14,"","Go to the client?","您要前往委託人的所在地嗎？","","의뢰인이 있는 곳으로 가겠습니까?","Zum Klienten gehen?"
15,"","Investigate the Hot Guy's cellphone?","您要調查帥氣男子的手機嗎？","","훈남의 핸드폰을 조사하겠습니까?","Das Handy des heißen Typen untersuchen?"
16,"","Return to the Detective Agency?","您要返回偵探事務所嗎？","","탐정사무소로 돌아가겠습니까?","Ins Detektivbüro zurückkehren?"
17,"","Go to the EDEN lobby?","您要移動至EDEN大廳嗎？","","EDEN 로비로 이동하겠습니까?","Zur Lobby von EDEN gehen?"
18,"","Are you ready?","您準備好了嗎？","","준비됐나요?","Bist du bereit?"
19,"","Logout from the DigiLab?","您要從數碼實驗室登出嗎？","","디지랩에서 로그아웃하겠습니까?","Aus dem DigiLab ausloggen?"
100,"","Play as male?","您要以男性身份開始遊戲嗎？","","남성으로 플레이하겠습니까?","Als Junge spielen?"
1000,"","Are you sure you want to overwrite?","您確定要覆蓋保存資料嗎？","","덮어쓰기 하겠습니까?","Wirklich überschreiben?"
1001,"","Load this data?","您要讀取這個保存資料嗎？","","이 데이터를 불러오겠습니까?","Diese Daten laden?"
1002,"","Delete this saved data?","您要刪除這個保存資料嗎？","","이 저장 데이터를 삭제하겠습니까?","Diese gespeicherten Daten löschen?"
1100,"","Buy this?","您要購買嗎？","","구입하겠습니까?","Das kaufen?"
1101,"","Sell this?","您要販賣嗎？","","매각하겠습니까?","Das verkaufen?"
1200,"","Empty your Farm?","您確定要將農場島淨空嗎？","","팜이 비어도 괜찮습니까?","Deine Farm räumen?"
1201,"","Digivolve to [d0]?","要進化成[d0]嗎？","","[d0]으로 진화하겠습니까?","Zu [d0] digitieren?"
1202,"","Consume [d0] for DNA Digivolution?","您要消耗[d0]進行融合進化嗎？","","[d0]을 소비해 조그레스 진화하겠습니까?","[d0] für DNA-Digitation absorbieren?"
1203,"","De-Digivolve to [d0]?","要退化成[d0]嗎？","","[d0]으로 퇴화하겠습니까?","Zu [d0] de-digitieren?"
1204,"","Mode Change to [d0]?","您要變更模式為[d0]嗎？","","[d0]으로 모드체인지 하겠습니까?","Moduswechsel zu [d0]?"
1205,"","Load the Digimon?","您要吸收數碼寶貝嗎？","","디지몬 로드를 실행하겠습니까?","Das Digimon laden?"
1206,"","Convert [d0]?","您要孵化[d0]嗎？","","[d0]을 컨버트하겠습니까?","[d0] umwandeln?"
1207,"","Return [d0] to scan data?","您要將[d0]回復為掃描數據嗎？","","[d0]을 스캔 데이터로 되돌리겠습니까?","[d0] in Scandaten umwandeln?"
1300,"","Start investigating this case?","您要開始調查這個委託嗎？","","이 의뢰의 조사를 시작하겠습니까?","Mit den Ermittlungen in diesem Fall beginnen?"
1301,"","Postpone investigating this case?","您要中止調查這份委託嗎？","","이 의뢰의 조사를 중지하겠습니까?","Die Ermittlungen in diesem Fall verschieben?"
1302,"","Quit this case?","您要中斷調查這份委託嗎？","","이 의뢰의 조사를 중단하겠습니까?","Diesen Fall abbrechen?"
1500,"","Login with the entered data?","您確定要以此輸入內容登入嗎？","","이 입력 내용으로 로그인 합니다. 괜찮겠습니까?","Mit den eingegebenen Daten einloggen?"
1700,"","Discard the selected skill?","您要捨棄選中的技能嗎？","","선택한 스킬을 포기하겠습니까?","Die ausgewählte Fertigkeit entfernen?"
1900,"","Return to your base?","您要返回據點嗎？","","거점으로 돌아가겠습니까?","Zum Unterschlupf zurückkehren?"
1901,"","Return to the entrance?","您要返回入口嗎？","","입구로 돌아가겠습니까?","Zum Eingang zurückkehren?"
2200,"","Option changes have not been saved. Continue?","您變更的選項內容並不會被記錄，仍然要執行嗎？","","옵션 변경은 저장되지 않습니다만 괜찮겠습니까?","Änderungen wurden nicht gespeichert. Fortfahren?"
2600,"","Revert the change?","您要取消交換嗎？","","교체를 취소하겠습니까?","Änderung rückgängig machen?"
2601,"","Escape?","您要逃脫嗎？","","도주하겠습니까?","Fliehen?"
2900,"","Fight [d0]?","您要和[d0]對戰嗎？","","[d0]과 대전하겠습니까?","Gegen [d0] kämpfen?"
2901,"","Fight again?","您要再次對戰嗎？","","다시 한번 대전하겠습니까?","Erneut kämpfen?"
2902,"","Continue looking for an opponent?","您要繼續尋找對戰對手嗎？","","이어서 대전 상대를 탐색하겠습니까?","Weiter nach einem Gegner suchen?"
2903,"","Continue to fight?","您要繼續進行對戰嗎？","","이어서 대전하겠습니까?","Weiterkämpfen?"
2904,"","Sign in to Nintendo Switch Online?","要登入Nintendo Switch Online嗎？","","Nintendo Switch Online에 로그인하시겠습니까?","Bei Nintendo Switch Online anmelden?"
3000,"","This will interrupt commands in progress. Proceed?","進行中的指令將會中止，確定要執行嗎？","","실행중인 지시를 중지하겠습니까?","Dies unterbricht die aktuellen Befehle. Weiter?"
3001,"","Leave the DigiFarm?","您要結束數碼農場嗎？","","디지팜을 종료하겠습니까?","Die Digifarm verlassen?"
3002,"","Make [d0] the leader?","您要將隊長變更為[d0]嗎？","","리더를 [d0]으로 변경하겠습니까?","[d0] zum Anführer machen?"
3003,"","[d0] is at max size. Feed anyway?","[d0]已成長至最大，確定要給予食物嗎？","","[d0]은 이미 최대입니다. 음식을 주겠습니까?","[d0] ist auf höchster Stufe. Trotzdem füttern?"
5000,"","Go to another area?","您要前往其他區域嗎？","","다른 에어리어로 이동하겠습니까?","In ein anderes Gebiet gehen?"
5001,"","Fight in the Colosseum?","您要挑戰競技場嗎？","","콜로세움에 도전하겠습니까?","Im Kolosseum kämpfen?"
5002,"","Go to the Nakano Underpass?","您要前往中野地下道嗎？","","나카노 지하도로 향하겠습니까?","Zur Nakano-Unterführung gehen?"
5003,"","Leave the DigiLab?","您要離開數碼實驗室嗎？","","디지랩에서 나오겠습니까?","Das DigiLab verlassen?"
