ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Nakano,中野,,나카노,Nakano
2,,Ospedale Centrale,中央醫院,,센트럴 병원,Zentralkrankenhaus
3,,Shinjuku,新宿,,신주쿠,Shinjuku
4,,Shibuya,涉谷,,시부야,Shibuya
5,,Akihabara,秋葉原,,아키하바라,Akihabara
6,,Asakusa,淺草,,아사쿠사,Asakusa
7,,Ueno,上野,,우에노,Ueno
8,,Odaiba,御台場,,오다이바,Odaiba
9,,Condomini di Toyosu,豐洲集合大廈,,토요스 집합 맨션,Toyosu: Eigentumswohnungen
10,,Sottopassaggio di Nakano,中野地下道,,나카노 지하도,Nakano-Unterführung
11,,Ufficio Metropolitano di Tokyo,東京新都廳,,도쿄 신 도청,Tokio: Metropolitan-Gebäude
12,,Ikebukuro,池袋,,이케부쿠로,Ikebukuro
