ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Server Avalon,阿瓦隆伺服器,,아발론 서버,Avalon-Server
2,,Memoria di Makoto Yamashina,山科誠的記憶,,야마시나 마코토의 기억,M. Yamashinas Erinnerungen
3,,Akihabara: Trasferimento Digitale,秋葉原-Digital Shift,,아키하바라 - 디지털 시프트,Akihabara (Digit. Verschiebung)
4,,Inizio in EDEN,EDEN的起源,,시작의 EDEN ,Anfang in EDEN
5,,Spazio Digitale 01,數碼空間01,,디지털 스페이스 01,Digitalraum 01
6,,Spazio Digitale 02,數碼空間02,,디지털 스페이스 02,Digitalraum 02
7,,Spazio Digitale 03,數碼空間03,,디지털 스페이스 03,Digitalraum 03
8,,Spazio Digitale 04,數碼空間04,,디지털 스페이스 04,Digitalraum 04
9,,Spazio Digitale 05,數碼空間05,,디지털 스페이스 05,Digitalraum 05
10,,Spazio Digitale 06,數碼空間06,,디지털 스페이스 06,Digitalraum 06
11,,Spazio Digitale 07,數碼空間07,,디지털 스페이스 07,Digitalraum 07
12,,Spazio Digitale 08,數碼空間08,,디지털 스페이스 08,Digitalraum 08
13,,Spazio Digitale 09,數碼空間09,,디지털 스페이스 09,Digitalraum 09
14,,Spazio Digitale 10,數碼空間10,,디지털 스페이스 10,Digitalraum 10
15,,Spazio Digitale 11,數碼空間11,,디지털 스페이스 11,Digitalraum 11
16,,Spazio Digitale 12,數碼空間12,,디지털 스페이스 12,Digitalraum 12
17,,Network Digitale I,數碼網路世界Ⅰ,,디지털 네트워크Ⅰ,Digitales Netzwerk I
18,,Rete Digitale II,數碼網路世界Ⅱ,,디지털 네트워크Ⅱ,Digitales Netzwerk II
19,,Rete Digitale III,數碼網路世界Ⅲ,,디지털 네트워크Ⅲ,Digitales Netzwerk III
20,,Rete Digitale IV,數碼網路世界Ⅳ,,디지털 네트워크Ⅳ,Digitales Netzwerk IV
21,,Linea Digitale,數碼線,,디지털 라인,Digitale Leitung
22,,Rete Digitale V,數碼網路世界Ⅴ,,디지털 네트워크Ⅴ,Digitales Netzwerk V
23,,Rete Digitale VI,數碼網路世界Ⅵ,,디지털 네트워크Ⅵ,Digitales Netzwerk VI
24,,Rete Digitale IX,數碼網路世界Ⅸ,,디지털 네트워크Ⅸ,Digitales Netzwerk IX
25,,Digital Network X,數碼網路世界Ⅹ,,디지털 네트워크Ⅹ,Digitales Netzwerk X
26,,Server di K,K的伺服器,,K의 서버,Ks Server
27,,Network Digitale,數碼網路,,디지털 네트워크,Digitales Netzwerk
